identifier,name,popularity,Wikipedia
1HA8thv9ItOdtF5CBeqLcc,Bennett,1,Bennett
1HGEwuPKYa9eQ8IW3PoGsT,Howard,194,Howard
1HSHvjjOO0zcuCkYJeELRV,Arthur D. Levinson,41,Arthur%20D.%20Levinson
1Jr2aXqpFIyeadf2jW4xka,Jeffrey_Jordan,1,Jeffrey_Jordan
1KHyxvkE5XKePaVXMdDuvt,William L. Ballhaus,7,William%20L.%20Ballhaus
1KvHbZGEQNecSYQdQgG4PQ,Elon Muskrat,1,Elon%20Muskrat
1LxgefyKqjjepJc1wuvB96,Ellen Siminoff,7,Ellen%20Siminoff
1M08rJ7s3IgcLLVwUXTmqS,Monumental Sports and Entertainment,3,Monumental%20Sports%20and%20Entertainment
1M99pWWwr03fEztr1w3Pm9,"Murdoch, Rupert",2,Murdoch%2C%20Rupert
1MKs4po3kqwc2q6pNzUSJl,J. Hunt,1,J.%20Hunt
1MiWsGbUbDxfuHQjpDsKxj,Don Slager,1,Don%20Slager
1MuChIumu7LbOGKRp7ySQ9,Stefano Pessina,50,Stefano%20Pessina
1OEPMDfEOopewwzCH440Oh,C. Michael Petters,8,C.%20Michael%20Petters
1OJtcgv8fPObr3hsdyegkm,Carolyn McCall,28,Carolyn%20McCall
1OSuggUFWjtf28RQIWfDQ6,Hajime Satomi,26,Hajime%20Satomi
1PQS79uttQfewiz5VbvtmK,Noel Tata,21,Noel%20Tata
1PUNeP2nPRyf7QRhf0wXnT,Gwynne Shotwell,47,Gwynne%20Shotwell
1R7mPajiQQxaWErlnQ0Emw,Jimmy John Liautaud,22,Jimmy%20John%20Liautaud
1RBehNxDhp7cGbJ2yFapxc,Edward D. Breen,12,Edward%20D.%20Breen
1ReuBqJ3NgpbBtUIVH3l4d,Katherine August-deWilde,4,Katherine%20August-deWilde
1Rn4Dzjo98ed4HTBqoFz8R,Vagelos,1,Vagelos
1SoRCU9nY3obxmvlIUWNyt,Bill Rhodes,1,Bill%20Rhodes
1TEVikfCwsXeLJja84mYJP,Wyman Roberts,1,Wyman%20Roberts
1TVSzC2UN4wdoPNMDQe71M,Altman Family,1,Altman%20Family
1TxCtk8Zfv4ezhn2N80QsV,Peter Long,10,Peter%20Long
1UUoNJlm5I4bkuCpyL3USd,Paul Walker (businessman),2,Paul%20Walker%20%28businessman%29
1UXl7pxYfxTcMSvEZz9LOV,Jan du Plessis,12,Jan%20du%20Plessis
1VP166o3PpUfk10qdje2hA,Carlos A. Rodriguez,4,Carlos%20A.%20Rodriguez
1ZeNSYEIrohbrKqq3dfF6r,Joseph Tsai,70,Joseph%20Tsai
1a1oOiDItmddBNIvAMa0RV,Brennan,1,Brennan
1a7WqMfKzijczNpVXIMSKD,Ronald & nbsp;A. & nbsp;Fisher,2,Ronald%20%26%20nbsp%3BA.%20%26%20nbsp%3BFisher
1aAgnAwJtYTeGjc6E4JU0Z,Mitchell Lewis,162,Mitchell%20Lewis
1aB6UqSSgchfoSc0p3mpQa,Edsel Bryant Ford,1,Edsel%20Bryant%20Ford
1aS0wxPvRrlfsvXLIt9pR8,Dame Sharon White DBE,1,Dame%20Sharon%20White%20DBE
1adiJVQSeSvdSyK4pUnQRl,Knight,3,Knight
1bunODeig9Te1FPXqMWgXd,Leif Johansson,11,Leif%20Johansson
1cF4YEbxiAxfdnHkXp4gT5,John Deere  &  Company,1,John%20Deere%20%20%26%20%20Company
1cdvGTijyNxaraT16uInXa,H. Andersen,1,H.%20Andersen
1cyDDpOVS6sd8Higw9g9VI,Thomas Bach,255,Thomas%20Bach
1dE383gxgI8eBt180gnA7m,Shantanu Narayen,37,Shantanu%20Narayen
1dFJ70h6VJ5cQVV4Aq6XUZ,"Oleksiy Miller, head of  "" Gazprom "" ",1,Oleksiy%20Miller%2C%20head%20of%20%20%22%20Gazprom%20%22%20
1ecILGi4qebdBCNVOGxoI2,Anand Mahindra,63,Anand%20Mahindra
1f1FQHNjWOibmGg6uu6k4F,John P. Manley,2,John%20P.%20Manley
1fKAee06OzGdHDooOiMoy0,Mellody Hobson,49,Mellody%20Hobson
1gVajnXVAylfkBkDzlgoS2,Issy Sharp,2,Issy%20Sharp
1gbunxcDq0BbLFjC4NNLnJ,Brian Humphries,4,Brian%20Humphries
1gxddm0posAdEMyzdrzSbW,"Sharpe, Robert J.",1,Sharpe%2C%20Robert%20J.
1hlzkWUZmplcq0ZXjzAK2y,Hasso Plattner Foundation,1,Hasso%20Plattner%20Foundation
1hvCDQfceGcbuZsCW6xd42,Bill Brown,1,Bill%20Brown
1iEu9GDk3ujaX08SyKWKJi,John_Deere,2,John_Deere
1iwrkIkT78Uc5xPhhCnJWr,John P. Surma,12,John%20P.%20Surma
1jSE0fD0VbRftL9icn37ho,Cassaday,1,Cassaday
1k8LWrQGNtWd5tUmeRl4Zw,Mark Pincus,57,Mark%20Pincus
1lNvRgu1EVUeoceTcM8QGU,Carl Douglas,163,Carl%20Douglas
1m5gpMOIepjd4MnK4pn7Pw,Stephen A. Schwarzman,75,Stephen%20A.%20Schwarzman
1nMaEg6wL1Eahr5PiMNKdI,article on Boyer,1,article%20on%20Boyer
1ndYlwZofxdb0PrEynPszV,Charles Noski,7,Charles%20Noski
1oLCZYfObpeaaaqmpiSHKh,Fred Luddy,24,Fred%20Luddy
1rqCGXoARKxbOhNdyX4FVJ,Sonia Syngal,9,Sonia%20Syngal
1s6DrgaEdloevSkSJVat2f,Francis Blake,3,Francis%20Blake
1sQB4A3eetycH8GkhIbte2,Rodney Sacks,9,Rodney%20Sacks
1sRpJZ1JrZIeVRm8BVULxn,Ken Frazier,1,Ken%20Frazier
1uQRnk3TQZLcE5eK6M4MkG,Ramon Laguarta,12,Ramon%20Laguarta
1ufTLPNYgBffVPMmEgSee4,"Bezos, Jeff",2,Bezos%2C%20Jeff
1vaWtxmBPwrfjuPvDtk9pf,Aditya Udit Narayan,1,Aditya%20Udit%20Narayan
1vsQ7PanKUneSdYHslwBRq,Tan Sri Dr.Tony Fernandes,1,Tan%20Sri%20Dr.Tony%20Fernandes
1w47j0BuTA5bPjHqpVBROs,Martin Scicluna,6,Martin%20Scicluna
1xxJjYNSiaXfwGHRcz1iEf,Charles R. Rinehart,1,Charles%20R.%20Rinehart
1yJrcasy5kZbgbxnqUOYv4,Andrew Forrest,78,Andrew%20Forrest
1yd0wnwmmNRd5M9B6eAz9P,Fred W. Smith,1,Fred%20W.%20Smith
1ykIBhOyXwMd961h7YdNnH,Franck Riboud,15,Franck%20Riboud
1yuLKu5qu2cce4A9zK6Pcz,Kimbal Musk,39,Kimbal%20Musk
1yuv9S8IYCdeJpUu7TJltA,Ronald Sugar,13,Ronald%20Sugar
1zX2CSbJ1PHfl0e62bhOJH,Edsel B. Ford,1,Edsel%20B.%20Ford
20jhza86vfJaydsqh9BQsU,Thomas_Secunda,1,Thomas_Secunda
20n39n0HVFUf8L8wG1frdW,Arundhati Bhattacharya,30,Arundhati%20Bhattacharya
221NvRs5lLvbKVvETNo1sf,Jan Hammer,371,Jan%20Hammer
22h6iNqREI6aqzQOfY78LJ,Thomas_Pritzker,1,Thomas_Pritzker
23Lv0wrcHhBc7dhzW4JYUt,Under Armour,1,Under%20Armour
2441huFAJ3UbNK5fDeZjmk,Gregory J. Hayes,17,Gregory%20J.%20Hayes
2478aMVDou7ehDT628b32e,Secretary of State Condoleezza Rice,2,Secretary%20of%20State%20Condoleezza%20Rice
248L49PYlwXdlw2MfKb9Jb,Noel White,9,Noel%20White
24IR6rQowGebyrUvuOeJUW,Terra Ryzing,2,Terra%20Ryzing
24MQLOjxtUyeJdpShntuC2,Susan Crown,8,Susan%20Crown
24UJ0mBY6J5al1vX3qfx8M,German Gref,2,German%20Gref
24YScODGF7ib7PcA5wGNjy,Ted Leo,1,Ted%20Leo
24fMxkqT1sEbVbwoQmNtVi,Sir Howard Davies,16,Sir%20Howard%20Davies
25qub8owN9ifkXWdhoKODS,Amin H. Nasser,6,Amin%20H.%20Nasser
26dghsIuZAWcgaBKfGwYfk,Ilham Kadri,7,Ilham%20Kadri
270wvzm7L71dQBfvNGLJ83,Takahiro Hachigo,3,Takahiro%20Hachigo
27USzJ6PehDfql7wVfGiSj,Megan Brennan,22,Megan%20Brennan
27qiqOfPEncdIIaL6O8dEU,Sharon White,12,Sharon%20White
28CtGM62xEZbTBmz47gzDB,Richard_Carmona,1,Richard_Carmona
28F7hmigZvQcOTrEBN7k8s,Daniel Vasella,18,Daniel%20Vasella
28TQQABKYmmbUQXSS7pc56,arlos Brito,1,arlos%20Brito
28YYHXR1SOqbgGjA3lCE9H,Marion C. Blakey,3,Marion%20C.%20Blakey
29RHUctcsiccJng9NIywry,Presthus,3,Presthus
