guid,location_name,coordinates,lat,lon,Dupe,,,,,Coord - Rounded1,Coord - Rounded2,lat - Rounded1,lat - Rounded2,Mismatch Check,,
04d198d7d4f14e412c2639b980e1ac31,"Burberry Limited HQ, Louisville, KY, USA","38.1279979, -85.89371039999999",38.1279979,-85.8937104,1,,,,,38.128,-85.894,38.128,-85.894,Match,,
04d5a36ed0f4c69da15a6720b9cb4e68,"Pleasanton, CA, USA","37.6604484, -121.8757968",37.6604484,-121.8757968,1,,,,,37.66,-121.876,37.66,-121.876,Match,,
04d9e8b3ae29ff4d6b4c7c8dcd1eeea0,"Philadelphia, PA, USA","39.9525839, -75.1652215",39.9525839,-75.1652215,1,,,,,39.953,-75.165,39.953,-75.165,Match,,
05139777d94554250cfc2e868c327364,"George Town, Grand Cayman, Cayman Islands","19.2869323, -81.3674389",19.2869323,-81.3674389,1,,,,,19.287,-81.367,19.287,-81.367,Match,,
0548ac98ef4813bed2ad9e580108a8e3,"Orlando, FL, USA","28.5383355, -81.3792365",28.5383355,-81.3792365,1,,,,,28.538,-81.379,28.538,-81.379,Match,,
05504e905d4bece7b01a7bdeb2fd0920,"Jericho, NY, USA","40.7920441, -73.5398476",40.7920441,-73.5398476,1,,,,,40.792,-73.54,40.792,-73.54,Match,,
0550e43c304d63d2916ed7f3012d3d4f,"Malvern, PA, USA","40.0362184, -75.5138118",40.0362184,-75.5138118,1,,,,,40.036,-75.514,40.036,-75.514,Match,,
0553f8e34d361734e038e6f7a87d7276,"San Francisco, CA, USA","37.7749295, -122.4194155",37.7749295,-122.4194155,1,,,,,37.775,-122.419,37.775,-122.419,Match,,
0559f518f3b5cd8b3305247d9ab52461,"Marion, NY, USA","43.1431778, -77.1891456",43.1431778,-77.1891456,1,,,,,43.143,-77.189,43.143,-77.189,Match,,
0561c22457ce25c15c5251b4100d79e7,"Boston, MA, USA","42.3600825, -71.0588801",42.3600825,-71.0588801,1,,,,,42.36,-71.059,42.36,-71.059,Match,,
056d19f50cb870d0c52aa7c316fd1542,"Tulsa, OK, USA","36.1539816, -95.992775",36.1539816,-95.992775,1,,,,,36.154,-95.993,36.154,-95.993,Match,,
056e42ac2b9cace686c3a7e94702f778,"Greenville, SC, USA","34.8526176, -82.3940104",34.8526176,-82.3940104,1,,,,,34.853,-82.394,34.853,-82.394,Match,,
057dddea9e3d48aa9bfded5df9a21e9f,"Northville, MI,USA","42.4311464, -83.4832692",42.4311464,-83.4832692,1,,,,,42.431,-83.483,42.431,-83.483,Match,,
059dc0591efcd7246b622379fdb92f98,"Greenwood Village, CO, USA","39.6172101, -104.9508141",39.6172101,-104.9508141,1,,,,,39.617,-104.951,39.617,-104.951,Match,,
05af3420186d6514223a74998f5673ba,"Wilmington, DE, USA","39.744655, -75.5483909",39.744655,-75.5483909,1,,,,,39.745,-75.548,39.745,-75.548,Match,,
05b1d7e99d80edf72969d525463eb23e,"South Bend, IN, USA","41.6763545, -86.2519898",41.6763545,-86.2519898,1,,,,,41.676,-86.252,41.676,-86.252,Match,,
05bf34927d279dc170f54e732b5c231c,"Edmonton, Alberta, Canada","53.5461245, -113.4938229",53.5461245,-113.4938229,1,,,,,53.546,-113.494,53.546,-113.494,Match,,
05dd99403f4d6717ba53cbaf48804507,"Cranford, NJ, USA","40.6584212, -74.2995928",40.6584212,-74.2995928,1,,,,,40.658,-74.3,40.658,-74.3,Match,,
05df3095d5b5912bac0aaaec119bf6b4,"Fremont, CA, USA","37.5485396, -121.988583",37.5485396,-121.988583,1,,,,,37.549,-121.989,37.549,-121.989,Match,,
05e4d2af6a0d6df12504f104d8b789d9,"Newton, MA, USA","42.3370413, -71.2092214",42.3370413,-71.2092214,1,,,,,42.337,-71.209,42.337,-71.209,Match,,
05f0d4e14f2120f17cb5b24c14a3ed94,"San Francisco, CA, USA","37.7749295, -122.4194155",37.7749295,-122.4194155,1,,,,,37.775,-122.419,37.775,-122.419,Match,,
061ec168ac7ea7c1c1c2c68557ea99b0,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
062aad6e750fe6d20e403d1e63b05264,"Seoul, South Korea","37.566535, 126.9779692",37.566535,126.9779692,1,,,,,37.567,126.978,37.567,126.978,Match,,
06308c9d9157c7db43c4445225ef522b,"Tokyo, Japan","35.6761919, 139.6503106",35.6761919,139.6503106,1,,,,,35.676,139.65,35.676,139.65,Match,,
063788d09218cc8501be037f8e2ed7f0,"Jaguar Limited HQ, Coventry, UK","52.38720199999999, -1.4840122",52.387202,-1.4840122,1,,,,,52.387,-1.484,52.387,-1.484,Match,,
06387f7aebe7d22a6b656edbae04d794,"Philadelphia, PA, USA","39.9525839, -75.1652215",39.9525839,-75.1652215,1,,,,,39.953,-75.165,39.953,-75.165,Match,,
063eddff68b25a30f02dbffcba82627d,"North Canton, OH, USA","40.875891, -81.4023356",40.875891,-81.4023356,1,,,,,40.876,-81.402,40.876,-81.402,Match,,
0648b0a24c0fcd2ec09d8b2ad27f9765,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
064d08efc4391c713c4f18b50679ca77,"Schaumburg, IL, USA","42.0333607, -88.0834059",42.0333607,-88.0834059,1,,,,,42.033,-88.083,42.033,-88.083,Match,,
065f743e7fa46722c9c17924b59189de,"Springfield, MO, USA","37.2089572, -93.2922989",37.2089572,-93.2922989,1,,,,,37.209,-93.292,37.209,-93.292,Match,,
067c3067e7cf02e2593aacc41fc007f8,"Bedford, MA, USA","42.4906231, -71.2760089",42.4906231,-71.2760089,1,,,,,42.491,-71.276,42.491,-71.276,Match,,
06973892de1f09bf7d42c55af9c5c475,"Rio de Janeiro, Rio De Janeiro, Brazil","-22.9068467, -43.1728965",-22.9068467,-43.1728965,1,,,,,-22.907,-43.173,-22.907,-43.173,Match,,
06a3a77c3f4a0c4da81dff406a3261cb,"London, Greater London, UK","51.5073509, -0.1277583",51.5073509,-0.1277583,1,,,,,51.507,-0.128,51.507,-0.128,Match,,
06b535dfc53316611b04e0e8df1d416d,"Pasadena, CA, USA","34.1477849, -118.1445155",34.1477849,-118.1445155,1,,,,,34.148,-118.145,34.148,-118.145,Match,,
06e829c91f3120c2aead3dbe45eff375,"Denver, CO, USA","39.7392358, -104.990251",39.7392358,-104.990251,1,,,,,39.739,-104.99,39.739,-104.99,Match,,
06ee388512b35196d360ab2ca8beee7f,"Dublin, Co. Dublin, Ireland","53.3498053, -6.2603097",53.3498053,-6.2603097,1,,,,,53.35,-6.26,53.35,-6.26,Match,,
06f538a2fe974016ca8e0cbfd59fe07a,"Charleston, SC, USA","32.7764749, -79.9310512",32.7764749,-79.9310512,1,,,,,32.776,-79.931,32.776,-79.931,Match,,
06f755dd5aaea63035ec87a539cafc15,"Stockholm, Stockholm County, Sweden","59.3293235, 18.0685808",59.3293235,18.0685808,1,,,,,59.329,18.069,59.329,18.069,Match,,
06f83a3ade31d8af1ad177bf4c1d41d2,"Bengaluru, Karnataka, India","12.9715987, 77.5945627",12.9715987,77.5945627,1,,,,,12.972,77.595,12.972,77.595,Match,,
06fbeced9dbd80bad1f9fbedb6201aea,"Houston, TX, USA","29.7604267, -95.3698028",29.7604267,-95.3698028,1,,,,,29.76,-95.37,29.76,-95.37,Match,,
06ff3e399207a2c9c2fdf854777104a6,"Atlanta, GA, USA","33.7489954, -84.3879824",33.7489954,-84.3879824,1,,,,,33.749,-84.388,33.749,-84.388,Match,,
0720c46c57fa9e7f7b4025450c82b39b,"San Diego, CA, USA","32.715738, -117.1610838",32.715738,-117.1610838,1,,,,,32.716,-117.161,32.716,-117.161,Match,,
0728af0e10f246dd4cf153622bf4cb2c,"Weight Watchers International HQ, New York, NY, USA","40.7420901, -73.9941211",40.7420901,-73.9941211,1,,,,,40.742,-73.994,40.742,-73.994,Match,,
07347058f4708c0005a9deba3b0b313e,"Beverly Hills, CA, USA","34.0736204, -118.4003563",34.0736204,-118.4003563,1,,,,,34.074,-118.4,34.074,-118.4,Match,,
0738bbefd7f1bd3358486abd26355f52,"Glen Allen, VA, USA","37.665978, -77.5063739",37.665978,-77.5063739,1,,,,,37.666,-77.506,37.666,-77.506,Match,,
0749c8034743fed2ad8459be7dd01e62,"Norfolk, VA, USA","36.8507689, -76.2858726",36.8507689,-76.2858726,1,,,,,36.851,-76.286,36.851,-76.286,Match,,
0759649ceb6be879fa4fcc194c252214,"Reston, VA, USA","38.9586307, -77.3570028",38.9586307,-77.3570028,1,,,,,38.959,-77.357,38.959,-77.357,Match,,
077560f75e2995bc2d0c07cf4c1a576b,"Guangzhou, Guangdong Province, China","23.12911, 113.264385",23.12911,113.264385,1,,,,,23.129,113.264,23.129,113.264,Match,,
07762c479886bcd12670f2fcc90c7ad5,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
077d107e28b6bc71465663d3817cfa2d,"West Des Moines, IA, USA","41.5638902, -93.7593841",41.5638902,-93.7593841,1,,,,,41.564,-93.759,41.564,-93.759,Match,,
0785c056ea8da87d668aae9af8481579,"Leuven, Flemish Brabant, Belgium","50.8798438, 4.7005176",50.8798438,4.7005176,1,,,,,50.88,4.701,50.88,4.701,Match,,
0787668fd60b2617e780a79c1e3dc1fb,"South San Francisco, CA, USA","37.654656, -122.4077498",37.654656,-122.4077498,1,,,,,37.655,-122.408,37.655,-122.408,Match,,
078db488477a212f43cc3338ee0627fb,"Natick, MA, USA","42.2775281, -71.3468091",42.2775281,-71.3468091,1,,,,,42.278,-71.347,42.278,-71.347,Match,,
0799db3143cd37a2a41aab1e1ed5e96e,"Boca Raton, FL, USA","26.3683064, -80.1289321",26.3683064,-80.1289321,1,,,,,26.368,-80.129,26.368,-80.129,Match,,
07b309f2d7bd1d6134c9a8b3c3efa084,"Loveland, CO, USA","40.3977612, -105.0749801",40.3977612,-105.0749801,1,,,,,40.398,-105.075,40.398,-105.075,Match,,
07d20eb918083dcb298363913496b729,"Cambridge, Cambridgeshire, UK","52.205337, 0.121817",52.205337,0.121817,1,,,,,52.205,0.122,52.205,0.122,Match,,
07e2ce2b55c147e8f1512007578d494f,"Herndon, VA, USA","38.9695545, -77.3860976",38.9695545,-77.3860976,1,,,,,38.97,-77.386,38.97,-77.386,Match,,
07fa1235c0376ee16482b6fabb190ba2,"Charlotte, NC, USA","35.2270869, -80.8431267",35.2270869,-80.8431267,1,,,,,35.227,-80.843,35.227,-80.843,Match,,
08243122f53aa6314af2fa2c9360ae99,"West Warwick, RI, USA","41.7036711, -71.5215024",41.7036711,-71.5215024,1,,,,,41.704,-71.522,41.704,-71.522,Match,,
08443ef4f8fa5fc2a820342522794a86,"Solana Beach, CA, USA","32.991155, -117.2711481",32.991155,-117.2711481,1,,,,,32.991,-117.271,32.991,-117.271,Match,,
0869eeb47c5da402d8f65ab724f7e8ad,"Somerset, NJ, USA","40.497604, -74.4884868",40.497604,-74.4884868,1,,,,,40.498,-74.488,40.498,-74.488,Match,,
087a87b4ad6c6ed09581a3a39d132840,"Central Islip, NY, USA","40.7906538, -73.2017811",40.7906538,-73.2017811,1,,,,,40.791,-73.202,40.791,-73.202,Match,,
08b6f5cc751e4a08d7948284db613b64,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
08bd056593919023960821213c09f055,"San Diego, CA, USA","32.715738, -117.1610838",32.715738,-117.1610838,1,,,,,32.716,-117.161,32.716,-117.161,Match,,
08c2dc950b28a0bb33a8b20c750abc38,"Pittsburgh, PA, USA","40.4406248, -79.9958864",40.4406248,-79.9958864,1,,,,,40.441,-79.996,40.441,-79.996,Match,,
08ef68340c6194a3f94f08eabdbbb9fb,"Jackson, MI,USA","42.245869, -84.4013462",42.245869,-84.4013462,1,,,,,42.246,-84.401,42.246,-84.401,Match,,
08f493a3800313c3c66e36ba39c14997,"Boston, MA, USA","42.3600825, -71.0588801",42.3600825,-71.0588801,1,,,,,42.36,-71.059,42.36,-71.059,Match,,
08f8214e0f1aa6abd765b7121fac590b,"Tucker, GA, USA","33.8545479, -84.2171424",33.8545479,-84.2171424,1,,,,,33.855,-84.217,33.855,-84.217,Match,,
0904e9f7517bb6d81aefea77ac8c9027,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
090ba1bfcb7a04ac9c073d2915da52c9,"Chicago, IL, USA","41.8781136, -87.6297982",41.8781136,-87.6297982,1,,,,,41.878,-87.63,41.878,-87.63,Match,,
09162f395fdc7f73ee1c9e4f3fd5c9b7,"Mississauga, Ontario, Canada","43.5890452, -79.6441198",43.5890452,-79.6441198,1,,,,,43.589,-79.644,43.589,-79.644,Match,,
0927e9e306bf9f1956414b99caae1375,"Baltimore, MD, USA","39.2903848, -76.6121893",39.2903848,-76.6121893,1,,,,,39.29,-76.612,39.29,-76.612,Match,,
092c8a75f1c3b8eaf08d83e40eedf8d9,"Nicosia, Cyprus","35.1855659, 33.3822764",35.1855659,33.3822764,1,,,,,35.186,33.382,35.186,33.382,Match,,
0939229392ea43d9688fa72801fdc9f9,"Morrisville, NC, USA","35.823483, -78.8255621",35.823483,-78.8255621,1,,,,,35.823,-78.826,35.823,-78.826,Match,,
093cb038dad876c3511bdc59633e5cfa,"Paramus, NJ, USA","40.9445428, -74.0754189",40.9445428,-74.0754189,1,,,,,40.945,-74.075,40.945,-74.075,Match,,
093eff5394d3607edb13212302d09e7d,"Wyomissing, PA, USA","40.329537, -75.9652117",40.329537,-75.9652117,1,,,,,40.33,-75.965,40.33,-75.965,Match,,
