source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__Robert Jones,KP__19bc5f21bd07129d4517a35d7dd85f03,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Jones,mapping__7ead700f4809ad2bcc92481de642ba3a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Jones,mapping__583b05ed0b2917ceb6784596bcf1022f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Joyce,mapping__https://en.wikipedia.org/wiki/Kemper_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Joyce,mapping__621158cadb38b5a894b6223820323d65,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Joyce,mapping__5f03a26bcd07626b7fcb6bcf61671aa7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Joyce,mapping__67606959362320e7e8608b7025381ee9,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert Karofsky,mapping__https://en.wikipedia.org/wiki/UBS,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Karofsky,mapping__5c361aba7b7875771502cc6d4716d6eb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Karofsky,mapping__6115b5ae747d062b1a9e55f4ede2bd88,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Katz,mapping__https://en.wikipedia.org/wiki/Jabil,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Katz,mapping__f7352b31d4d7a7e9435e19ab67dbbc9f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Katz,mapping__b60f932171684590102d125e66ba2696,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Kelly,mapping__https://en.wikipedia.org/wiki/Zoetis,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Kelly,mapping__da96c6d4acba04d5cdf0cdf980dca479,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Kelly,mapping__b9ae20fb72f3afa6df534f9ad955f576,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Kirby,mapping__https://en.wikipedia.org/wiki/CDW,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Kirby,mapping__027c3663726fd6306f7cc6ba904ab57c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Kirby,mapping__ae203e593e4e68819b179e267a4fddf0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Klaczak,KP__8f0b0014acf32d6ffcb122e9093b3b96,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Klaczak,mapping__d57e0ef12269e20ef72375d20a379f3f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
