source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/Martin_Marietta_Inc.,mapping__b15046a7c8a9dd52621cb43a5b75e2cb,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Martin_Marietta_Inc.,mapping__1800928a21e88231fdfc176aaa7dec9a,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Martin_Marietta_Inc.,mapping__3decc8a9a85dcf6c7328e8aa3bfc24ef,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Matheson_(compressed_gas_&_equipment),mapping__d4490843cf36d6bc9b79edd7dde1fa84,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Matheson_(compressed_gas_&_equipment),mapping__84ba3dee566832732e27cb55397e6f1d,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Matheson_(compressed_gas_&_equipment),mapping__af8fc6374d5bf47ac70ec48d94b59499,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Milacron,KP__05507754f79f12dfd79c8de935cf5af8,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Milacron,mapping__a4fd04ecb89523dba7f8739321023bcd,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Milacron,mapping__3b4923df0383688cfaa0dd91752f81f0,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Millennium_Chemicals,mapping__0ce68032740a7beac4fa5bd5057b9337,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Millennium_Chemicals,mapping__c50f35e8ac6e7b7b9cb06407b45bcd91,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Minerals Technologies""",KP__faa85ccebc73084372cc2bc5c04abde5,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Minerals Technologies""",mapping__8f2dc41c05694f4f9e77f65e4ea43950,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Minerals Technologies""",mapping__a31e4b9dd83c34dd1d643fbb9895a631,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Minerals Technologies""",mapping__4ccdc55e2232a47f81343dc507f9d284,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Mobil,KP__ca7e1e10c738703f369aafb8278af324,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Mobil,mapping__d5dc2ca1145b88813aa4618f817450b8,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
