source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__https://en.wikipedia.org/wiki/AutoNation,logo_classes__172a322b2717ad5364f109c4c567f0ea,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/AutoNation,logo_classes__4ec2b8f7e1d115afb3fd5fcd34f88918,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Axa,KP__8cd0ee92541640f9c56a8ed1fd89b895,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Axa,logo_classes__f5e73a8da804946aaac1fa06976065ed,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Axa,logo_classes__a4dc7e65de81d66bf19460791e9325bc,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Axa,logo_classes__1d15889db4fd93a9cac628c35da3a187,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Axa,logo_classes__40a54f758cd02755167329b5e5ada978,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bacardi,KP__94a44ca9c69ae20c60bb5e9427e39976,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bacardi,logo_classes__21f248022304bc1905378e5278dd1983,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bank_of_America,KP__e672678f644ea6ca9d8396db9db0bdf0,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bank_of_America,logo_classes__b930bdffa9a83709cf47b7f9c0c55f1f,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bank_of_America,logo_classes__2ec182cad543e613ac88b22c83b8268a,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bank_of_America,logo_classes__88b91598d04a7dabfd72ed0ed2a01393,NAMEVARIANT,"{""from"":""external""}"
