handle,caption_name,location,type,location_lower,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
5187664653,Chinese actor Deng Chao,beijingbeijing,,beijingbeijing,,,Chinese actor Deng Chao,,dgm_weibo_publicfigures_mentioner,1a15d9acbfbcecc5e37649ce372cad56,dgm_weibo_publicfigures_mentioner__1a15d9acbfbcecc5e37649ce372cad56
2609400635,Chinese singer Wang Junkai,beijingbeijing,,beijingbeijing,,,Chinese singer Wang Junkai,,dgm_weibo_publicfigures_mentioner,07512a105a1ba1e6567f96fbd3950b68,dgm_weibo_publicfigures_mentioner__07512a105a1ba1e6567f96fbd3950b68
2706896955,Chinese singer Lay Zhang,beijingbeijing,,beijingbeijing,,,Chinese singer Lay Zhang,,dgm_weibo_publicfigures_mentioner,bcad087adb346692759a88dc5733cae8,dgm_weibo_publicfigures_mentioner__bcad087adb346692759a88dc5733cae8
3591355593,Chinese-Canadian singer Kris Wu,beijingbeijing,,beijingbeijing,,,Chinese-Canadian singer Kris Wu,,dgm_weibo_publicfigures_mentioner,d34dbd182febb7a084264adf9d8c9501,dgm_weibo_publicfigures_mentioner__d34dbd182febb7a084264adf9d8c9501
3952070245,Chinese actor Fan Bingbing,beijingbeijing,,beijingbeijing,,,Chinese actor Fan Bingbing,,dgm_weibo_publicfigures_mentioner,d6d0b29f8261caa23808e2281d9681d1,dgm_weibo_publicfigures_mentioner__d6d0b29f8261caa23808e2281d9681d1
1537790411,Chinese actor Lu Han,beijingbeijing,,beijingbeijing,,,Chinese actor Lu Han,,dgm_weibo_publicfigures_mentioner,0ccb2b7278bcd054b637042a35e13ce0,dgm_weibo_publicfigures_mentioner__0ccb2b7278bcd054b637042a35e13ce0
1826792401,Son of founder of Dalian Wanda Group Wang Sicong,beijingbeijing,,beijingbeijing,,,Son of founder of Dalian Wanda Group Wang Sicong,,dgm_weibo_publicfigures_mentioner,eb279e3b5b37ff115003efcb0d548e2d,dgm_weibo_publicfigures_mentioner__eb279e3b5b37ff115003efcb0d548e2d
1182391231,Soho China CEO Pan Shiyi,beijingbeijing,,beijingbeijing,,,Soho China CEO Pan Shiyi,,dgm_weibo_publicfigures_mentioner,50006c77d88b47112e920cdde977fd05,dgm_weibo_publicfigures_mentioner__50006c77d88b47112e920cdde977fd05
1749127163,Xiaomi founder Lei Jun,beijingbeijing,,beijingbeijing,,,Xiaomi founder Lei Jun,,dgm_weibo_publicfigures_mentioner,83b2067b9e46e2d3038998a257a95f8f,dgm_weibo_publicfigures_mentioner__83b2067b9e46e2d3038998a257a95f8f
2145291155,Alibaba founder Jack Ma,beijingbeijing,,beijingbeijing,,,Alibaba founder Jack Ma,,dgm_weibo_publicfigures_mentioner,bb6f15a77b5231604b8cc2dea386b442,dgm_weibo_publicfigures_mentioner__bb6f15a77b5231604b8cc2dea386b442
1866402485,JD.com founder Liu Qiangdong,beijingbeijing,,beijingbeijing,,,JD.com founder Liu Qiangdong,,dgm_weibo_publicfigures_mentioner,5d3673908faa317f3233b89f1daab582,dgm_weibo_publicfigures_mentioner__5d3673908faa317f3233b89f1daab582
3261134763,Chinese actor Liu Yifei,beijingbeijing,,beijingbeijing,,,Chinese actor Liu Yifei,,dgm_weibo_publicfigures_mentioner,69fb393d1256545dbfd51703c8ed688a,dgm_weibo_publicfigures_mentioner__69fb393d1256545dbfd51703c8ed688a
1792951112,Chinese actor Xiao Zhan,beijingbeijing,,beijingbeijing,,,Chinese actor Xiao Zhan,,dgm_weibo_publicfigures_mentioner,7e4ce3317e3c29dcadae1a7cf9ef61de,dgm_weibo_publicfigures_mentioner__7e4ce3317e3c29dcadae1a7cf9ef61de
1669879400,Chinese actor Dilraba Dilmurat,beijingbeijing,,beijingbeijing,,,Chinese actor Dilraba Dilmurat,,dgm_weibo_publicfigures_mentioner,ef1bbdb49e2faca389ab09703824eb9f,dgm_weibo_publicfigures_mentioner__ef1bbdb49e2faca389ab09703824eb9f
1705586121,Hong Kong singer G.E.M.,beijingbeijing,,beijingbeijing,,,Hong Kong singer G.E.M.,,dgm_weibo_publicfigures_mentioner,b33c32f2949a2809874963b1614c0989,dgm_weibo_publicfigures_mentioner__b33c32f2949a2809874963b1614c0989
1755370981,Taiwanese actor Eddie Peng,beijingbeijing,,beijingbeijing,,,Taiwanese actor Eddie Peng,,dgm_weibo_publicfigures_mentioner,8a09b57167db91baf940363256b7a2ee,dgm_weibo_publicfigures_mentioner__8a09b57167db91baf940363256b7a2ee
1594052081,Chinese actor Zhu Yilong,beijingbeijing,,beijingbeijing,,,Chinese actor Zhu Yilong,,dgm_weibo_publicfigures_mentioner,62de8b0b149fd8225edebf3d13ed26e1,dgm_weibo_publicfigures_mentioner__62de8b0b149fd8225edebf3d13ed26e1
2360812967,Chinese actor Li Xian,beijingbeijing,,beijingbeijing,,,Chinese actor Li Xian,,dgm_weibo_publicfigures_mentioner,7eab1e3485cd29496a2bf301fe7f0cc2,dgm_weibo_publicfigures_mentioner__7eab1e3485cd29496a2bf301fe7f0cc2
1624923463,Chinese actor Hua Chenyu,beijingbeijing,,beijingbeijing,,,Chinese actor Hua Chenyu,,dgm_weibo_publicfigures_mentioner,f248f7bb157d339626d2c1757f97259e,dgm_weibo_publicfigures_mentioner__f248f7bb157d339626d2c1757f97259e
