german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
parkaue,"Parkaue in Berlin, Germany",52.5163836,13.4778658,1,,,,,,,,AAEntity,"Parkaue in Berlin, Germany",,german_fires_berlin_locations,d9b22994ae332cc5cf8afd2ddaee18bd,german_fires_berlin_locations__d9b22994ae332cc5cf8afd2ddaee18bd
parkerweg,"Parkerweg in Berlin, Germany",52.5382868,13.5486676,1,,,,,,,,Media,"Parkerweg in Berlin, Germany",,german_fires_berlin_locations,854c6574b3bb166de349bdcc6ad79004,german_fires_berlin_locations__854c6574b3bb166de349bdcc6ad79004
parkringbrucke,"Parkringbrucke in Berlin, Germany",52.4810711,13.377479,1,,,,,,,,space,"Parkringbrucke in Berlin, Germany",,german_fires_berlin_locations,3a97a64ab3aa1e94439ba36196d05ef4,german_fires_berlin_locations__3a97a64ab3aa1e94439ba36196d05ef4
parkrosenweg,"Parkrosenweg in Berlin, Germany",52.4681681,13.154776,1,,,,,,,,IndustryTerm,"Parkrosenweg in Berlin, Germany",,german_fires_berlin_locations,bc17efdda5254e7c1c272ffd736de666,german_fires_berlin_locations__bc17efdda5254e7c1c272ffd736de666
parksiedlung spruch,"Parksiedlung Spruch in Berlin, Germany",52.4218643,13.4068253,1,,,,,,,,Media,"Parksiedlung Spruch in Berlin, Germany",,german_fires_berlin_locations,769a5d4b8e306ec36f8b57afb6cbdc8b,german_fires_berlin_locations__769a5d4b8e306ec36f8b57afb6cbdc8b
parksteig,"Parksteig in Berlin, Germany",52.4141153,13.579037,1,,,,,,,,Diplomat,"Parksteig in Berlin, Germany",,german_fires_berlin_locations,e4dde31207d6bb85fe88acc857c9f2a4,german_fires_berlin_locations__e4dde31207d6bb85fe88acc857c9f2a4
parkstrasse,"Parkstrasse in Berlin, Germany",52.55486,13.4580866,1,,,,,,,,Pipeline,"Parkstrasse in Berlin, Germany",,german_fires_berlin_locations,8b4ce181048583623f5680b81e3df68c,german_fires_berlin_locations__8b4ce181048583623f5680b81e3df68c
parkviertelallee,"Parkviertelallee in Berlin, Germany",52.463868,13.1551752,1,,,,,,,,DiplomaticFacilities,"Parkviertelallee in Berlin, Germany",,german_fires_berlin_locations,1a5639c3c17e518dd6d5aaf25752f8bc,german_fires_berlin_locations__1a5639c3c17e518dd6d5aaf25752f8bc
parkweg,"Parkweg in Berlin, Germany",52.5103271,13.5553815,1,,,,,,,,Media,"Parkweg in Berlin, Germany",,german_fires_berlin_locations,4f22c02f7b79ed36e278c51d03dcd895,german_fires_berlin_locations__4f22c02f7b79ed36e278c51d03dcd895
parkwegbrucke,"Parkwegbrucke in Berlin, Germany",52.4954264,13.4640675,1,,,,,,,,Diplomat,"Parkwegbrucke in Berlin, Germany",,german_fires_berlin_locations,0077f9bcbacb4838e6dd7ef2c20da54f,german_fires_berlin_locations__0077f9bcbacb4838e6dd7ef2c20da54f
parlerstrasse,"Parlerstrasse in Berlin, Germany",52.4964784,13.6087133,1,,,,,,,,Keyphrase,"Parlerstrasse in Berlin, Germany",,german_fires_berlin_locations,86175a5fa5bc9aa2a57c4b6862e63109,german_fires_berlin_locations__86175a5fa5bc9aa2a57c4b6862e63109
parnemannweg,"Parnemannweg in Berlin, Germany",52.4518376,13.1411317,1,,,,,,,,Refinery,"Parnemannweg in Berlin, Germany",,german_fires_berlin_locations,44b7c307e2fd3dc6f0ebb3b1366f3c3d,german_fires_berlin_locations__44b7c307e2fd3dc6f0ebb3b1366f3c3d
parochialstrasse,"Parochialstrasse in Berlin, Germany",52.5172201,13.4124301,1,,,,,,,,ForeignMinistry,"Parochialstrasse in Berlin, Germany",,german_fires_berlin_locations,fec3bfcfbc0b193cc103c835ab469016,german_fires_berlin_locations__fec3bfcfbc0b193cc103c835ab469016
parrisiusstrasse,"Parrisiusstrasse in Berlin, Germany",52.4565416,13.5821834,1,,,,,,,,ForeignMinistry,"Parrisiusstrasse in Berlin, Germany",,german_fires_berlin_locations,02d2a8e76a7dd60be9d53557aef3578a,german_fires_berlin_locations__02d2a8e76a7dd60be9d53557aef3578a
parsevalstrasse,"Parsevalstrasse in Berlin, Germany",52.4639518,13.5162878,1,,,,,,,,Refinery,"Parsevalstrasse in Berlin, Germany",,german_fires_berlin_locations,edd45979152c104d2eac5da6f1c5caeb,german_fires_berlin_locations__edd45979152c104d2eac5da6f1c5caeb
parsteiner ring,"Parsteiner Ring in Berlin, Germany",52.5523374,13.5816513,1,,,,,,,,Person,"Parsteiner Ring in Berlin, Germany",,german_fires_berlin_locations,9558b968312e25c7a1103f0b842105bb,german_fires_berlin_locations__9558b968312e25c7a1103f0b842105bb
pascalstrasse,"Pascalstrasse in Berlin, Germany",52.5225185,13.3246077,1,,,,,,,,CompanyKeyword,"Pascalstrasse in Berlin, Germany",,german_fires_berlin_locations,db64fe121615e3963ae11fe3765f8200,german_fires_berlin_locations__db64fe121615e3963ae11fe3765f8200
pasedagplatz,"Pasedagplatz in Berlin, Germany",52.5600568,13.4602837,1,,,,,,,,IndustryTerm,"Pasedagplatz in Berlin, Germany",,german_fires_berlin_locations,afcd229cc154622f2c1dade20dfb17e1,german_fires_berlin_locations__afcd229cc154622f2c1dade20dfb17e1
pasewaldtstrasse,"Pasewaldtstrasse in Berlin, Germany",52.4372516,13.2587219,1,,,,,,,,Keyphrase,"Pasewaldtstrasse in Berlin, Germany",,german_fires_berlin_locations,eaf97f077a0535e1a89cec019629e78c,german_fires_berlin_locations__eaf97f077a0535e1a89cec019629e78c
pasewalker strasse,"Pasewalker Strasse in Berlin, Germany",52.5865683,13.4295437,1,,,,,,,,FTO,"Pasewalker Strasse in Berlin, Germany",,german_fires_berlin_locations,93c52e39f52cee4f56ee72370b946eb2,german_fires_berlin_locations__93c52e39f52cee4f56ee72370b946eb2
pasinger strasse,"Pasinger Strasse in Berlin, Germany",52.3824305,13.4197223,1,,,,,,,,AAEntity,"Pasinger Strasse in Berlin, Germany",,german_fires_berlin_locations,a0abaceb08710db39bc7072356e3124d,german_fires_berlin_locations__a0abaceb08710db39bc7072356e3124d
passauer strasse,"Passauer Strasse in Berlin, Germany",52.5011335,13.3398265,1,,,,,,,,CompanyKeyword,"Passauer Strasse in Berlin, Germany",,german_fires_berlin_locations,3fea6bb26a4441777cb908eac57eb610,german_fires_berlin_locations__3fea6bb26a4441777cb908eac57eb610
passenheimer brucke,"Passenheimer Brucke in Berlin, Germany",52.5176509,13.3985147,1,,,,,,,,IndustryTerm,"Passenheimer Brucke in Berlin, Germany",,german_fires_berlin_locations,e108e1225e21b991e0ddaf47be32f71c,german_fires_berlin_locations__e108e1225e21b991e0ddaf47be32f71c
passenheimer strasse,"Passenheimer Strasse in Berlin, Germany",52.5103014,13.2312315,1,,,,,,,,Organization,"Passenheimer Strasse in Berlin, Germany",,german_fires_berlin_locations,d860cff93bce3cbb27fde9a183649a2c,german_fires_berlin_locations__d860cff93bce3cbb27fde9a183649a2c
