handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nlinsingapore,Dutch Embassy in Singapore,Singapore,,,singapore;netherlands,,,Dutch Embassy in Singapore,,dgm_vcstartup_mentioner,dc639db857ae3a0b1905dac894a19a5a,dgm_vcstartup_mentioner__dc639db857ae3a0b1905dac894a19a5a
ukinnepal,UK Embassy in Nepal,Nepal,,,nepal;uk,,,UK Embassy in Nepal,,dgm_vcstartup_mentioner,ecdbfbc070eed59d0a67018fa1159f8c,dgm_vcstartup_mentioner__ecdbfbc070eed59d0a67018fa1159f8c
acsrangoon,US Citizen Services Myanmar,Burma,,,burma;united states,,,US Citizen Services Myanmar,,dgm_vcstartup_mentioner,2f4d20508295b1da29a010d96f9a5c0e,dgm_vcstartup_mentioner__2f4d20508295b1da29a010d96f9a5c0e
sapir_efron,Israeli Deputy Chief of Mission in Uruguay,Uruguay,,,uruguay;israel,,,Israeli Deputy Chief of Mission in Uruguay,,dgm_vcstartup_mentioner,a99ac2ef6af305c4810f40c8b16925a1,dgm_vcstartup_mentioner__a99ac2ef6af305c4810f40c8b16925a1
chineseembinus,Chinese Embassy in US,United States,,,united states;china,,,Chinese Embassy in US,,dgm_vcstartup_mentioner,226564743c654263f00ac79bdb8a7513,dgm_vcstartup_mentioner__226564743c654263f00ac79bdb8a7513
swedeninindia,Swedish Embassy in India,India,,,india;sweden,,,Swedish Embassy in India,,dgm_vcstartup_mentioner,bc7b3113fba6289f81b63fd7d29857ea,dgm_vcstartup_mentioner__bc7b3113fba6289f81b63fd7d29857ea
germanyinua,German Embassy in Ukraine,Ukraine,,,ukraine;germany,,,German Embassy in Ukraine,,dgm_vcstartup_mentioner,16a4dc381309df2e86c51446dae5cf30,dgm_vcstartup_mentioner__16a4dc381309df2e86c51446dae5cf30
uae_khartoum,UAE Embassy in Sudan,Sudan,,,sudan;uae,,,UAE Embassy in Sudan,,dgm_vcstartup_mentioner,f11e0a195e0119af654977b426e23035,dgm_vcstartup_mentioner__f11e0a195e0119af654977b426e23035
plinuzbekistan,Polish Embassy in Uzbekistan,Uzebkistan,,,uzebkistan;poland,,,Polish Embassy in Uzbekistan,,dgm_vcstartup_mentioner,620e2ed488f9795ca0d2ab6ad0d25e98,dgm_vcstartup_mentioner__620e2ed488f9795ca0d2ab6ad0d25e98
ukingreece,UK Embassy in Greece,Greece,,,greece;uk,,,UK Embassy in Greece,,dgm_vcstartup_mentioner,d1c49f36c45b7588a559bd1f97feb934,dgm_vcstartup_mentioner__d1c49f36c45b7588a559bd1f97feb934
