keyword,caption_name,topic_id,type,groups,GUID,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(gulf of mexico; production),Gulf of Mexico oil production,188162;188132,commodities,,,,,,,#N/A,Commodities,Gulf of Mexico oil production,,dgm_og_mentionee,2d91cc2fce82cc72c496b7feb5e7ccff,dgm_og_mentionee__2d91cc2fce82cc72c496b7feb5e7ccff
@exxonmobil_be,ExxonMobil Belgium,188162;188132,company handle,exxonmobil;exxonmobil_be;exxonmobil belgium,,,,,,ExxonMobil Belgium,CompanyHandle,ExxonMobil Belgium,,dgm_og_mentionee,feca4a19b5eeaf9c832a1322dd92f182,dgm_og_mentionee__feca4a19b5eeaf9c832a1322dd92f182
@exxonmobil_fra,ExxonMobil France,188162;188132,company handle,exxonmobil;exxonmobil_fra;exxonmobil france,,,,,,ExxonMobil France,CompanyHandle,ExxonMobil France,,dgm_og_mentionee,a42e4d91fe7d53f6d4a0e1fe44b0981c,dgm_og_mentionee__a42e4d91fe7d53f6d4a0e1fe44b0981c
@exxonmobil_ger,ExxonMobil Germany,188162;188132,company handle,exxonmobil;exxonmobil_ger;exxonmobil germany,,,,,,ExxonMobil Germany,CompanyHandle,ExxonMobil Germany,,dgm_og_mentionee,40873d40627051f689d579aef28fc873,dgm_og_mentionee__40873d40627051f689d579aef28fc873
@exxonmobil_id,ExxonMobil Indonesia,188162;188132,company handle,exxonmobil;exxonmobil_id;exxonmobil indonesia,,,,,,ExxonMobil Indonesia,CompanyHandle,ExxonMobil Indonesia,,dgm_og_mentionee,20f61c25e037045391cd3b8f19207777,dgm_og_mentionee__20f61c25e037045391cd3b8f19207777
@exxonmobil_ind,ExxonMobil India,188162;188132,company handle,exxonmobil;exxonmobil_ind;exxonmobil india,,,,,,ExxonMobil India,CompanyHandle,ExxonMobil India,,dgm_og_mentionee,9fcd486a4275b026ebb8c63e0ac35cb0,dgm_og_mentionee__9fcd486a4275b026ebb8c63e0ac35cb0
@exxonmobil_my,ExxonMobil Malaysia,188162;188132,company handle,exxonmobil;exxonmobil_my;exxonmobil malaysia,,,,,,ExxonMobil Malaysia,CompanyHandle,ExxonMobil Malaysia,,dgm_og_mentionee,e8af6abeee93082d45097aadbf6441c3,dgm_og_mentionee__e8af6abeee93082d45097aadbf6441c3
@exxonmobil_ng,ExxonMobil Nigeria,188162;188132,company handle,exxonmobil;exxonmobil_ng;exxonmobil nigeria,,,,,,ExxonMobil Nigeria,CompanyHandle,ExxonMobil Nigeria,,dgm_og_mentionee,3eb488c6b14202eeeea88dc887360c47,dgm_og_mentionee__3eb488c6b14202eeeea88dc887360c47
@exxonmobil_nl,ExxonMobil Netherlands,188162;188132,company handle,exxonmobil;exxonmobil_nl;exxonmobil netherlands,,,,,,ExxonMobil Netherlands,CompanyHandle,ExxonMobil Netherlands,,dgm_og_mentionee,fffd5ecb641099727065c6963e961080,dgm_og_mentionee__fffd5ecb641099727065c6963e961080
@exxonmobil_png,ExxonMobil PNG,188162;188132,company handle,exxonmobil;exxonmobil_png;exxonmobil png,,,,,,ExxonMobil PNG,CompanyHandle,ExxonMobil PNG,,dgm_og_mentionee,f36a8e7bb868944627825c73560bc5a8,dgm_og_mentionee__f36a8e7bb868944627825c73560bc5a8
@exxonmobil_qa,ExxonMobil Qatar,188162;188132,company handle,exxonmobil;exxonmobil_qa;exxonmobil qatar,,,,,,ExxonMobil Qatar,CompanyHandle,ExxonMobil Qatar,,dgm_og_mentionee,47b7db852609a462acc9d2cee05019ef,dgm_og_mentionee__47b7db852609a462acc9d2cee05019ef
@exxonmobil_sg,ExxonMobil Singapore,188162;188132,company handle,exxonmobil;exxonmobil_sg;exxonmobil singapore,,,,,,ExxonMobil Singapore,CompanyHandle,ExxonMobil Singapore,,dgm_og_mentionee,8ab554177a5e3f77c06ae24a03db87de,dgm_og_mentionee__8ab554177a5e3f77c06ae24a03db87de
@exxonmobil_th,ExxonMobil Thailand,188162;188132,company handle,exxonmobil;exxonmobil_th;exxonmobil thailand,,,,,,ExxonMobil Thailand,CompanyHandle,ExxonMobil Thailand,,dgm_og_mentionee,897d7eef7b4a1c152c8259d972dfb42b,dgm_og_mentionee__897d7eef7b4a1c152c8259d972dfb42b
@exxonmobil_uk,ExxonMobil UK,188162;188132,company handle,exxonmobil;exxonmobil_uk;exxonmobil uk,,,,,,ExxonMobil UK,CompanyHandle,ExxonMobil UK,,dgm_og_mentionee,07c8d1e53515769e2329e39dace8cb39,dgm_og_mentionee__07c8d1e53515769e2329e39dace8cb39
@exxonmobilar,ExxonMobil Argentina,188162;188132,company handle,exxonmobil;exxonmobilar;exxonmobil argentina,,,,,,ExxonMobil Argentina,CompanyHandle,ExxonMobil Argentina,,dgm_og_mentionee,95738b2c73e6ed50bfe85a2880bae544,dgm_og_mentionee__95738b2c73e6ed50bfe85a2880bae544
@exxonmobilbmt,ExxonMobil Beaumont,188162;188132,company handle,exxonmobil;exxonmobilbmt;exxonmobil beaumont,,,,,,ExxonMobil Beaumont,CompanyHandle,ExxonMobil Beaumont,,dgm_og_mentionee,ca832590d01a6ac36f4d0a8918d51de8,dgm_og_mentionee__ca832590d01a6ac36f4d0a8918d51de8
