german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
im konigsbusch,"Im Konigsbusch in Bochum, Germany",51.4359743,7.2346434,1,,,,,,,Person,"Im Konigsbusch in Bochum, Germany",,german_fires_bochum_locations,39a3cf68f15913f946752f88f937652e,german_fires_bochum_locations__39a3cf68f15913f946752f88f937652e
im kottingsholz,"Im Kottingsholz in Bochum, Germany",51.4502554,7.2209192,1,,,,,,,DiplomaticFacilities,"Im Kottingsholz in Bochum, Germany",,german_fires_bochum_locations,7e9df3571e17058ee5a28acd84597153,german_fires_bochum_locations__7e9df3571e17058ee5a28acd84597153
im krebsfeld,"Im Krebsfeld in Bochum, Germany",51.4720844,7.3186146,1,,,,,,,Refinery,"Im Krebsfeld in Bochum, Germany",,german_fires_bochum_locations,14095e501281ffe5382b6a9c95c84827,german_fires_bochum_locations__14095e501281ffe5382b6a9c95c84827
im loh,"Im Loh in Bochum, Germany",51.4593955,7.1466425,1,,,,,,,Consulates,"Im Loh in Bochum, Germany",,german_fires_bochum_locations,0af17d0454d3fae7737f612068aa978c,german_fires_bochum_locations__0af17d0454d3fae7737f612068aa978c
im lohgarten,"Im Lohgarten in Bochum, Germany",51.4169081,7.2422441,1,,,,,,,LegislativeCommittee,"Im Lohgarten in Bochum, Germany",,german_fires_bochum_locations,acec5c6156a37d9f15b0bdfba1bb4e61,german_fires_bochum_locations__acec5c6156a37d9f15b0bdfba1bb4e61
im lothringer feld,"Im Lothringer Feld in Bochum, Germany",51.5111779,7.2531664,1,,,,,,,News,"Im Lothringer Feld in Bochum, Germany",,german_fires_bochum_locations,10a0bfc59856127b16dac155f2e7d65c,german_fires_bochum_locations__10a0bfc59856127b16dac155f2e7d65c
im lottental,"Im Lottental in Bochum, Germany",51.4396553,7.2610438,1,,,,,,,IndustryTerm,"Im Lottental in Bochum, Germany",,german_fires_bochum_locations,4cf1993c81ea94a4beea55c87e250eae,german_fires_bochum_locations__4cf1993c81ea94a4beea55c87e250eae
im mailand,"Im Mailand in Bochum, Germany",51.4280153,7.2575251,1,,,,,,,Legislator,"Im Mailand in Bochum, Germany",,german_fires_bochum_locations,f40282d5ab36d61dd581f08ab1cd6826,german_fires_bochum_locations__f40282d5ab36d61dd581f08ab1cd6826
im meerland,"Im Meerland in Bochum, Germany",51.48096,7.2918257,1,,,,,,,Legislator,"Im Meerland in Bochum, Germany",,german_fires_bochum_locations,1aa5d7c294338889e548d030ddde28db,german_fires_bochum_locations__1aa5d7c294338889e548d030ddde28db
im muhlenkamp,"Im Muhlenkamp in Bochum, Germany",51.4738703,7.332343,1,,,,,,,Wells,"Im Muhlenkamp in Bochum, Germany",,german_fires_bochum_locations,b21b26ce904d75626077889d03cdaf05,german_fires_bochum_locations__b21b26ce904d75626077889d03cdaf05
