keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
tavleen_singh,Columnist Tavleen Singh,Celebrity,general.alert4,Celebrity,Columnist Tavleen Singh,,Celeb_Mentioner,3a399c5b27cfe84badc4c0d759e112eb,Celeb_Mentioner__3a399c5b27cfe84badc4c0d759e112eb
frankiejonas,Musician Frankie Jonas,Celebrity,general.alert4,Celebrity,Musician Frankie Jonas,,Celeb_Mentioner,0dc29474749d007e382c368f5aeb434f,Celeb_Mentioner__0dc29474749d007e382c368f5aeb434f
arielwinter1,Actor Ariel Winter,Celebrity,general.alert4,Celebrity,Actor Ariel Winter,,Celeb_Mentioner,a63b7f1e37e8ec8eeb47274a7b0d2857,Celeb_Mentioner__a63b7f1e37e8ec8eeb47274a7b0d2857
abhishekapoor,Actor Abhishek Kapoor,Celebrity,general.alert4,Celebrity,Actor Abhishek Kapoor,,Celeb_Mentioner,1bd91d9bab49f9a0852238dcf8d5230b,Celeb_Mentioner__1bd91d9bab49f9a0852238dcf8d5230b
faithevans,Singer Faith Evans,Celebrity,general.alert4,Celebrity,Singer Faith Evans,,Celeb_Mentioner,7a6f51411b1309a81250d797e4d1ec86,Celeb_Mentioner__7a6f51411b1309a81250d797e4d1ec86
ngmagaldi,Journalist Nicolas Magaldi,Celebrity,general.alert4,Celebrity,Journalist Nicolas Magaldi,,Celeb_Mentioner,6444d4b1769cbf659c8213c43f5c3198,Celeb_Mentioner__6444d4b1769cbf659c8213c43f5c3198
dogbountyhunter,TV personality Duane Chapman,Celebrity,general.alert4,Celebrity,TV personality Duane Chapman,,Celeb_Mentioner,21f4f87313f3f537791c10497de42307,Celeb_Mentioner__21f4f87313f3f537791c10497de42307
bt,Musician Brian Wayne Transeau,Celebrity,general.alert4,Celebrity,Musician Brian Wayne Transeau,,Celeb_Mentioner,50dd2eaf147e24127544348ffc134b2c,Celeb_Mentioner__50dd2eaf147e24127544348ffc134b2c
rebeccasugar,Animator Rebecca Sugar,Celebrity,general.alert4,Celebrity,Animator Rebecca Sugar,,Celeb_Mentioner,750e448bd5934f8166f7d138cd319cff,Celeb_Mentioner__750e448bd5934f8166f7d138cd319cff
msvivicafox,Actor Vivica Fox,Celebrity,general.alert4,Celebrity,Actor Vivica Fox,,Celeb_Mentioner,383f7a3a87e5b4d0265b902fc05744be,Celeb_Mentioner__383f7a3a87e5b4d0265b902fc05744be
velvetgh0st,Internet personality Gabriella Lindley,Celebrity,general.alert4,Celebrity,Internet personality Gabriella Lindley,,Celeb_Mentioner,adc32ffd909ef134705766079834c751,Celeb_Mentioner__adc32ffd909ef134705766079834c751
denisejonas,Jonas Brothers' mom Denise Miller-Jonas,Celebrity,general.alert4,Celebrity,Jonas Brothers' mom Denise Miller-Jonas,,Celeb_Mentioner,07760e7cd4481ed891ca69fa84ff77f9,Celeb_Mentioner__07760e7cd4481ed891ca69fa84ff77f9
adamhicks702,Actor Adam Hicks,Celebrity,general.alert4,Celebrity,Actor Adam Hicks,,Celeb_Mentioner,420c8bca4aa4c34fdb0156531cb4226d,Celeb_Mentioner__420c8bca4aa4c34fdb0156531cb4226d
aki_wismalu,Singer Aki Takajo,Celebrity,general.alert4,Celebrity,Singer Aki Takajo,,Celeb_Mentioner,0ce66abf08a7933537854fe355adc1e7,Celeb_Mentioner__0ce66abf08a7933537854fe355adc1e7
grantimahara,TV personality Grant Imahara,Celebrity,general.alert4,Celebrity,TV personality Grant Imahara,,Celeb_Mentioner,050ab6497e70c46fa10da8314d3312ac,Celeb_Mentioner__050ab6497e70c46fa10da8314d3312ac
joshradnor,Actor Josh Radnor,Celebrity,general.alert4,Celebrity,Actor Josh Radnor,,Celeb_Mentioner,506c937eb6c88c796c3ff2535fcfc6d4,Celeb_Mentioner__506c937eb6c88c796c3ff2535fcfc6d4
higeorgeshelley,Singer George Shelley,Celebrity,general.alert4,Celebrity,Singer George Shelley,,Celeb_Mentioner,3b03eb9b35ee58fc46edac239e55f107,Celeb_Mentioner__3b03eb9b35ee58fc46edac239e55f107
oddfuckingtaco,Rapper Travis Bennet,Celebrity,general.alert4,Celebrity,Rapper Travis Bennet,,Celeb_Mentioner,64bacb74297b574a55d04c6b3fcb4671,Celeb_Mentioner__64bacb74297b574a55d04c6b3fcb4671
lisarinna,Actor Lisa Rinna,Celebrity,general.alert4,Celebrity,Actor Lisa Rinna,,Celeb_Mentioner,a35d8b9092ff3020909121039b426c5d,Celeb_Mentioner__a35d8b9092ff3020909121039b426c5d
_anamilan_,Actor Ana Milan,Celebrity,general.alert4,Celebrity,Actor Ana Milan,,Celeb_Mentioner,2d16c5321ce925a3f995066dcd23828c,Celeb_Mentioner__2d16c5321ce925a3f995066dcd23828c
alaska5000,Drag queen Alaska Thunderfuck,Celebrity,general.alert4,Celebrity,Drag queen Alaska Thunderfuck,,Celeb_Mentioner,929dcd43e68fdc8b9ff1686e2a15980f,Celeb_Mentioner__929dcd43e68fdc8b9ff1686e2a15980f
scottadamssays,Comic book artist Scott Adams,Celebrity,general.alert4,Celebrity,Comic book artist Scott Adams,,Celeb_Mentioner,fd4fefe5b1a84df19f2a67c88ffa266a,Celeb_Mentioner__fd4fefe5b1a84df19f2a67c88ffa266a
hillsongworship,Music group Hillsong Worship,Celebrity,general.alert4,Celebrity,Music group Hillsong Worship,,Celeb_Mentioner,79b783738a93af139c549ed33d47f472,Celeb_Mentioner__79b783738a93af139c549ed33d47f472
claudiaalvarezo,Actor Claudia Alvarez,Celebrity,general.alert4,Celebrity,Actor Claudia Alvarez,,Celeb_Mentioner,d415ea4616c76906dc74c2a5d8a10054,Celeb_Mentioner__d415ea4616c76906dc74c2a5d8a10054
princesspiamia,Singer Pia Mia,Celebrity,general.alert4,Celebrity,Singer Pia Mia,,Celeb_Mentioner,37ba1f96c10e455760007287ce79982e,Celeb_Mentioner__37ba1f96c10e455760007287ce79982e
b1a4_cnu,Singer Shin Dong-woo,Celebrity,general.alert4,Celebrity,Singer Shin Dong-woo,,Celeb_Mentioner,2fb8c55c3d60bf53c7218f056b533a33,Celeb_Mentioner__2fb8c55c3d60bf53c7218f056b533a33
