native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lyf,drugs,Incident involving narcotics reported,7,Crime - Narcotics,188109,Shipping,Incident involving narcotics reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,9de9fc9603df37527fcb004ea02f879a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__9de9fc9603df37527fcb004ea02f879a
héraðsdómi,court,Court proceedings reported,2,Crime - Courts & Legal Action,188110,ForeignMinistry,Court proceedings reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d4e98b031a0ac6617de9b9de687ac979,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d4e98b031a0ac6617de9b9de687ac979
dómstóllinn,court,Court proceedings reported,2,Crime - Courts & Legal Action,188110,ForeignMinister,Court proceedings reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d4e98b031a0ac6617de9b9de687ac979,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d4e98b031a0ac6617de9b9de687ac979
dómari,judge,Court proceedings reported,2,Crime - Courts & Legal Action,188110,FTO,Court proceedings reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d4e98b031a0ac6617de9b9de687ac979,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d4e98b031a0ac6617de9b9de687ac979
saksóknari,prosecutor,Court proceedings reported,2,Crime - Courts & Legal Action,188110,ForeignMinister,Court proceedings reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d4e98b031a0ac6617de9b9de687ac979,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d4e98b031a0ac6617de9b9de687ac979
sakamál,criminal proceedings,Court proceedings reported,2,Crime - Courts & Legal Action,188110,Person,Court proceedings reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d4e98b031a0ac6617de9b9de687ac979,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d4e98b031a0ac6617de9b9de687ac979
police,police,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
officer,officer,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policeman,policeman,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
officers,officers,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
cop,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Organization,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
cops,cops,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policewoman,policewoman,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policemen,policemen,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policewomen,policewomen,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
casualty,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
casualties,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Person,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
injure,injure,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
injured,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Shipping,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
murder,murder,Incident with casualties reported,6,Crime - Non-Active,188297,Media,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
murdered,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,Consulates,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
kill,kill,Incident with casualties reported,6,Crime - Non-Active,188297,AAEntity,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
killing,killing,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinistry,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
killed,killed,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
victim,victim,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
victims,victims,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
shooting,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Person,Shooting incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
shot,shot,Shooting incident reported,4,Crime - Non-Active,188297,ForeignMinistry,Shooting incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
shoot,shoot,Shooting incident reported,4,Crime - Non-Active,188297,ForeignMinistry,Shooting incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
shooter,shooter,Shooting incident reported,4,Crime - Non-Active,188297,News,Shooting incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
stab,stab,Stabbing incident reported,5,Crime - Non-Active,188297,space,Stabbing incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_iceland_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
stabbed,stabbed,Stabbing incident reported,5,Crime - Non-Active,188297,Media,Stabbing incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_iceland_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
stabbing,stabbing,Stabbing incident reported,5,Crime - Non-Active,188297,Consulates,Stabbing incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_iceland_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
Protest,Protest,Protest reported,6,Public Disruption,188108,Wells,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
Protester,Protester,Protest reported,6,Public Disruption,188108,Legislator,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
Protesters,Protesters,Protest reported,6,Public Disruption,188108,Refinery,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
Protesting,Protesting,Protest reported,6,Public Disruption,188108,Consulates,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
rioting,rioting,Protest reported,6,Public Disruption,188108,IndustryTerm,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
riots,riots,Protest reported,6,Public Disruption,188108,Pipeline,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
riot,riot,Protest reported,6,Public Disruption,188108,Diplomat,Protest reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
evacuation,evacuation,Evacuation reported,8,Crime - No Active Threat,188297,Shipping,Evacuation reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,55bf90fe6159d2f100c5509dbf3493a6,local_news_physical_safety_iceland_caption_topic_threshold_mapping__55bf90fe6159d2f100c5509dbf3493a6
