german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
im fuhlenbrock,"Im Fuhlenbrock in Bottrop, Germany",51.5296112,6.8928397,1,,,,,Exec,"Im Fuhlenbrock in Bottrop, Germany",,german_fires_bottrop_locations,9a68c43f77cbb2b45a4dc9440e621282,german_fires_bottrop_locations__9a68c43f77cbb2b45a4dc9440e621282
kettelerstrasse,"Kettelerstrasse in Bottrop, Germany",51.5242825,6.8984452,1,,,,,Keyphrase,"Kettelerstrasse in Bottrop, Germany",,german_fires_bottrop_locations,faa498b56e3889c20a516762084890d7,german_fires_bottrop_locations__faa498b56e3889c20a516762084890d7
kiefernweg,"Kiefernweg in Bottrop, Germany",51.5215184,6.8975505,1,,,,,Media,"Kiefernweg in Bottrop, Germany",,german_fires_bottrop_locations,ffb2ab0718e80f91415420de09b935d5,german_fires_bottrop_locations__ffb2ab0718e80f91415420de09b935d5
kolkenbrockstrasse,"Kolkenbrockstrasse in Bottrop, Germany",51.5226274,6.9038068,1,,,,,DiplomaticFacilities,"Kolkenbrockstrasse in Bottrop, Germany",,german_fires_bottrop_locations,7a7e48370bed7bacb23963b4757cdbad,german_fires_bottrop_locations__7a7e48370bed7bacb23963b4757cdbad
koppenborgsweg,"Koppenborgsweg in Bottrop, Germany",51.5218997,6.9035903,1,,,,,Refinery,"Koppenborgsweg in Bottrop, Germany",,german_fires_bottrop_locations,e17db1fafd428650e056e31c3cc0478b,german_fires_bottrop_locations__e17db1fafd428650e056e31c3cc0478b
ledderkesweg,"Ledderkesweg in Bottrop, Germany",51.5234478,6.9009387,1,,,,,ForeignMinister,"Ledderkesweg in Bottrop, Germany",,german_fires_bottrop_locations,837758fc8d84447af05d53acaac86cb9,german_fires_bottrop_locations__837758fc8d84447af05d53acaac86cb9
lessingstrasse,"Lessingstrasse in Bottrop, Germany",51.518736,6.896269,1,,,,,space,"Lessingstrasse in Bottrop, Germany",,german_fires_bottrop_locations,7083c50b1fd1d484086595ee66f647aa,german_fires_bottrop_locations__7083c50b1fd1d484086595ee66f647aa
ludgeristrasse,"Ludgeristrasse in Bottrop, Germany",51.5248748,6.8971375,1,,,,,DiplomaticFacilities,"Ludgeristrasse in Bottrop, Germany",,german_fires_bottrop_locations,030e2351f8dff76ba479ccefebffb8f9,german_fires_bottrop_locations__030e2351f8dff76ba479ccefebffb8f9
siepenstrasse,"Siepenstrasse in Bottrop, Germany",51.514274,6.8937209,1,,,,,space,"Siepenstrasse in Bottrop, Germany",,german_fires_bottrop_locations,c29a7f1174b661654fa179d1f0023022,german_fires_bottrop_locations__c29a7f1174b661654fa179d1f0023022
spickenbaumsweg,"Spickenbaumsweg in Bottrop, Germany",51.5216669,6.903047,1,,,,,Refinery,"Spickenbaumsweg in Bottrop, Germany",,german_fires_bottrop_locations,a5da7d17f983f6fb07712a9d2f1eb693,german_fires_bottrop_locations__a5da7d17f983f6fb07712a9d2f1eb693
theodor-storm-strasse,"Theodor-Storm-strasse in Bottrop, Germany",51.5183999,6.8954403,1,,,,,Shipping,"Theodor-Storm-strasse in Bottrop, Germany",,german_fires_bottrop_locations,844a05607cefa89133a8423aee850b78,german_fires_bottrop_locations__844a05607cefa89133a8423aee850b78
uhlandstrasse,"Uhlandstrasse in Bottrop, Germany",51.5194075,6.8972086,1,,,,,Organization,"Uhlandstrasse in Bottrop, Germany",,german_fires_bottrop_locations,e0e979ef11d8877c7ac0707cd772e555,german_fires_bottrop_locations__e0e979ef11d8877c7ac0707cd772e555
wacholderweg,"Wacholderweg in Bottrop, Germany",51.5224286,6.8955736,1,,,,,Media,"Wacholderweg in Bottrop, Germany",,german_fires_bottrop_locations,5cd870a6b68d9b600a98abf634ae539e,german_fires_bottrop_locations__5cd870a6b68d9b600a98abf634ae539e
walter-hofer-weg,"Walter-Hofer-Weg in Bottrop, Germany",51.5250414,6.9015887,1,,,,,Diplomat,"Walter-Hofer-Weg in Bottrop, Germany",,german_fires_bottrop_locations,19b8aa416a32d8de0f82454b6cf587ef,german_fires_bottrop_locations__19b8aa416a32d8de0f82454b6cf587ef
wielandstrasse,"Wielandstrasse in Bottrop, Germany",51.5185424,6.8980142,1,,,,,Person,"Wielandstrasse in Bottrop, Germany",,german_fires_bottrop_locations,a5542f28109312d858922bbcfa3d126d,german_fires_bottrop_locations__a5542f28109312d858922bbcfa3d126d
wohlgemuthstrasse,"Wohlgemuthstrasse in Bottrop, Germany",51.5192197,6.899196,1,,,,,ForeignMinister,"Wohlgemuthstrasse in Bottrop, Germany",,german_fires_bottrop_locations,712a79191fb32a4df359d82a72b1a5ca,german_fires_bottrop_locations__712a79191fb32a4df359d82a72b1a5ca
am nappenfeld,"Am Nappenfeld in Bottrop, Germany",51.5299932,6.8966098,1,,,,,Person,"Am Nappenfeld in Bottrop, Germany",,german_fires_bottrop_locations,e382f656dad7292fe580409bfae32f3d,german_fires_bottrop_locations__e382f656dad7292fe580409bfae32f3d
beisenstrasse,"Beisenstrasse in Bottrop, Germany",51.5306053,6.9071217,1,,,,,IndustryTerm,"Beisenstrasse in Bottrop, Germany",,german_fires_bottrop_locations,e6899c86598169b98960498e1ac97332,german_fires_bottrop_locations__e6899c86598169b98960498e1ac97332
eichendorffstrasse,"Eichendorffstrasse in Bottrop, Germany",51.5319023,6.9013336,1,,,,,DiplomaticFacilities,"Eichendorffstrasse in Bottrop, Germany",,german_fires_bottrop_locations,24934a66b797332336b1dd1d1f813e59,german_fires_bottrop_locations__24934a66b797332336b1dd1d1f813e59
fernewaldstrasse,"Fernewaldstrasse in Bottrop, Germany",51.5483304,6.8859578,1,,,,,LegislativeCommittee,"Fernewaldstrasse in Bottrop, Germany",,german_fires_bottrop_locations,8cde86e120957b4f17a29d7d6a57d729,german_fires_bottrop_locations__8cde86e120957b4f17a29d7d6a57d729
franz-kafka-strasse,"Franz-Kafka-strasse in Bottrop, Germany",51.531664,6.8933267,1,,,,,News,"Franz-Kafka-strasse in Bottrop, Germany",,german_fires_bottrop_locations,7271beb2782f377875256c70a058b873,german_fires_bottrop_locations__7271beb2782f377875256c70a058b873
gorch-fock-strasse,"Gorch-Fock-strasse in Bottrop, Germany",51.5333319,6.8949072,1,,,,,ForeignMinistry,"Gorch-Fock-strasse in Bottrop, Germany",,german_fires_bottrop_locations,883b214aa850fd663079461b32ebce1e,german_fires_bottrop_locations__883b214aa850fd663079461b32ebce1e
gorkenstrasse,"Gorkenstrasse in Bottrop, Germany",51.5362883,6.9041475,1,,,,,Wells,"Gorkenstrasse in Bottrop, Germany",,german_fires_bottrop_locations,88cae6070a96c07c6a8dc01fa37a87c0,german_fires_bottrop_locations__88cae6070a96c07c6a8dc01fa37a87c0
harkortstrasse,"Harkortstrasse in Bottrop, Germany",51.5232271,6.8849299,1,,,,,Keyphrase,"Harkortstrasse in Bottrop, Germany",,german_fires_bottrop_locations,3a9931774db202c7d2c1f0e9db1994a2,german_fires_bottrop_locations__3a9931774db202c7d2c1f0e9db1994a2
heidestrasse,"Heidestrasse in Bottrop, Germany",51.5282093,6.890043,1,,,,,Exec,"Heidestrasse in Bottrop, Germany",,german_fires_bottrop_locations,30893a2d84c7ea448a807df29d705581,german_fires_bottrop_locations__30893a2d84c7ea448a807df29d705581
lindhorststrasse,"Lindhorststrasse in Bottrop, Germany",51.5362883,6.9041475,1,,,,,Person,"Lindhorststrasse in Bottrop, Germany",,german_fires_bottrop_locations,cb26c3c2f5f4bac503d576cc0d28687a,german_fires_bottrop_locations__cb26c3c2f5f4bac503d576cc0d28687a
plaggenbahn,"Plaggenbahn in Bottrop, Germany",51.5349233,6.9105708,1,,,,,ForeignMinister,"Plaggenbahn in Bottrop, Germany",,german_fires_bottrop_locations,cf26c264f4e6a8808b1a924cb986810b,german_fires_bottrop_locations__cf26c264f4e6a8808b1a924cb986810b
steinmannswiese,"Steinmannswiese in Bottrop, Germany",51.5340459,6.9032685,1,,,,,ForeignMinister,"Steinmannswiese in Bottrop, Germany",,german_fires_bottrop_locations,02b0f248367e8d24695fe2c88833255a,german_fires_bottrop_locations__02b0f248367e8d24695fe2c88833255a
walter-flex-strasse,"Walter-Flex-strasse in Bottrop, Germany",51.5326429,6.8958364,1,,,,,ForeignMinister,"Walter-Flex-strasse in Bottrop, Germany",,german_fires_bottrop_locations,f6e23b7783764254b50a40c3a1f877c3,german_fires_bottrop_locations__f6e23b7783764254b50a40c3a1f877c3
agnes-miegel-strasse,"Agnes-Miegel-strasse in Bottrop, Germany",51.5299469,6.8899367,1,,,,,CompanyKeyword,"Agnes-Miegel-strasse in Bottrop, Germany",,german_fires_bottrop_locations,e6abbe9c0a024dffb530b5a744c19165,german_fires_bottrop_locations__e6abbe9c0a024dffb530b5a744c19165
am kollnischen wald,"Am Kollnischen Wald in Bottrop, Germany",51.5366095,6.9016955,1,,,,,Wells,"Am Kollnischen Wald in Bottrop, Germany",,german_fires_bottrop_locations,591bbaab823493dfba52b721e7d69a3d,german_fires_bottrop_locations__591bbaab823493dfba52b721e7d69a3d
