handle,caption_name,Category,Topic GUID,Topic Name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jeromejarre,Entrepreneur Jerome Jarre,Entertainment,214218,Reputation,AAEntity,Entrepreneur Jerome Jarre,,advocacy_groups_handles,56f9bb84192e01b8d93884175ed8516e,advocacy_groups_handles__a813e9994c7a1c64057fc5bf0d82f8cd
ericnamofficial,Singer Eric Nam,Entertainment,214218,Reputation,Keyphrase,Singer Eric Nam,,advocacy_groups_handles,1198b2e80233d56995ca3a94b033db3e,advocacy_groups_handles__6783d34509ad8f2fe888fc97547fe8a6
sherlyny,Actor Sherlyn,Entertainment,214218,Reputation,AAEntity,Actor Sherlyn,,advocacy_groups_handles,7ed5fd2cbba34db2afcea1b1bff6e53f,advocacy_groups_handles__ac707292eee7cee6dd2053b74efb52ca
netflixes,Netflix España,Entertainment,214218,Reputation,Keyphrase,Netflix España,,advocacy_groups_handles,699094c0d6fea1d34102261d703ebe03,advocacy_groups_handles__617ff40b4a83079fb128af2ff0a2b4d0
olobersyko,Singer Oliver Sykes,Entertainment,214218,Reputation,Keyphrase,Singer Oliver Sykes,,advocacy_groups_handles,4a6db62978ae8bccfb997dd9454aff50,advocacy_groups_handles__129774ba86468ed1aabfc48a5bcf3ef8
machinegunkelly,Singer Machine Gun Kelly,Entertainment,214218,Reputation,Consulates,Singer Machine Gun Kelly,,advocacy_groups_handles,f52ec8a569daac1eca20ea1a2137c057,advocacy_groups_handles__0bbeecc90b2262a579ddeba9f9baf027
fazejev,YouTube personality FaZe Jev,Entertainment,214218,Reputation,ForeignMinister,YouTube personality FaZe Jev,,advocacy_groups_handles,122b3a4cf84221a8a49f6f88432f94b6,advocacy_groups_handles__6152a5d7b207126bae5e5a379ddbe4b6
mannymua733,YouTube personality Manny MUA,Entertainment,214218,Reputation,CompanyKeyword,YouTube personality Manny MUA,,advocacy_groups_handles,3b36eeed2c0262d7a7093c4c0585822e,advocacy_groups_handles__4fe02ee47f0f814c701abf096a018033
jackandjack,Musicians Jack and Jack,Entertainment,214218,Reputation,Person,Musicians Jack and Jack,,advocacy_groups_handles,5add1730dd040a631a92f2dc67fd8269,advocacy_groups_handles__1c81c98a408d16086b4083dea054f846
tontolet,Actor Tonto Dikeh,Entertainment,214218,Reputation,ForeignMinistry,Actor Tonto Dikeh,,advocacy_groups_handles,c556eafc85e5703dc11e0acdbdf9ca95,advocacy_groups_handles__11543ee6d9d5492d91c2c35643cd5098
anabreco,Actor Ana Brenda Contreras,Entertainment,214218,Reputation,Wells,Actor Ana Brenda Contreras,,advocacy_groups_handles,06383bfc0013ded1b073bd2cbb175963,advocacy_groups_handles__69dec3429c02179b6092dff2c4716da6
chinamcclain,Actor China Anne McClain,Entertainment,214218,Reputation,DiplomaticFacilities,Actor China Anne McClain,,advocacy_groups_handles,2bdf2f6be88d1b595ab9f4b59d696392,advocacy_groups_handles__6f6b1083cddb4925a4dcbed8678c5790
actorramya,Actor Ramya Subramanian,Entertainment,214218,Reputation,Consulates,Actor Ramya Subramanian,,advocacy_groups_handles,2b6ad12172978835e2d66966ae33244b,advocacy_groups_handles__ea662299e71764c90795e9d92ed8616c
kirstiealley,Actor Kirstie Alley,Entertainment,214218,Reputation,Pipeline,Actor Kirstie Alley,,advocacy_groups_handles,5a74b697fbf950e4e8bcb386e2044197,advocacy_groups_handles__232a13de0885a6b2f9e76085d59fc0e1
ludwikapaleta,Actor Ludwika Paleta,Entertainment,214218,Reputation,LegislativeCommittee,Actor Ludwika Paleta,,advocacy_groups_handles,7ebcdd165f290a80522d03eaf8a6d72d,advocacy_groups_handles__12e41126eeb87c3b1abe0717ccea7e19
imkbrshanthnu,Actor Shanthanu Bhagyaraj,Entertainment,214218,Reputation,LegislativeCommittee,Actor Shanthanu Bhagyaraj,,advocacy_groups_handles,11b92c4922e8e18cf9c6aa19037c73b5,advocacy_groups_handles__e70858e6b1d44d28566caa3da5c7e1e5
diggy_simmons,Rapper Diggy Simmons,Entertainment,214218,Reputation,News,Rapper Diggy Simmons,,advocacy_groups_handles,a7fe5637d017a5743939755c0bb61be5,advocacy_groups_handles__4015b47a008131b38310aba15ab421ce
scottgshore,TV personality Scott Timlin,Entertainment,214218,Reputation,LegislativeCommittee,TV personality Scott Timlin,,advocacy_groups_handles,4bf01ba99cc4f17865166765442bfbd0,advocacy_groups_handles__70cde2c9c07d18c8d096501948d1c7e4
iblali,Actor iBlali,Entertainment,214218,Reputation,Consulates,Actor iBlali,,advocacy_groups_handles,75ec414fb7397d8997d4db6582b05517,advocacy_groups_handles__7b16f90aabef02a5254a09d2866404e7
alexabliss_wwe,Wrestler Alexa Bliss,Entertainment,214218,Reputation,Media,Wrestler Alexa Bliss,,advocacy_groups_handles,3f848ec50d71ccb349cc5d81e7e60ae5,advocacy_groups_handles__c4fd21ec37c3ee5f9c2b40a33c823a4d
pepalerts,TV channel PEP,Entertainment,214218,Reputation,News,TV channel PEP,,advocacy_groups_handles,9337bd8513e985025d55b99f8100927c,advocacy_groups_handles__69dcd30eb3ab5df40fbefa1d61f6e84a
travisbarker,Musician Travis Barker,Entertainment,214218,Reputation,Diplomat,Musician Travis Barker,,advocacy_groups_handles,fc93f8000bd8b9b863643666f65cacbc,advocacy_groups_handles__5d63f5e14095b46337ee3094782905eb
jonfavs,Speechwriter Jon Favreau,Entertainment,214218,Reputation,Media,Speechwriter Jon Favreau,,advocacy_groups_handles,9073b180ee2a5b85ddb0a7f54f08543d,advocacy_groups_handles__512d4fd051c50135739451b19e0676fd
robriggle,Actor Rob Riggle,Entertainment,214218,Reputation,News,Actor Rob Riggle,,advocacy_groups_handles,b61f9bd4df3bedd201b60fc6c797edc0,advocacy_groups_handles__641d409aeb58cf668e84fc6681dc13f1
heromanoj1,Actor Manchu Manoj,Entertainment,214218,Reputation,Person,Actor Manchu Manoj,,advocacy_groups_handles,5e28b36472bb731e9477cf009f5e8fb4,advocacy_groups_handles__9207e214dfd089c7e60ffffc6fcd8b50
mbaureloaded,Actor Khanyi Mbau,Entertainment,214218,Reputation,Media,Actor Khanyi Mbau,,advocacy_groups_handles,c2369dd6c20eac245f35a7cd7b0ffe84,advocacy_groups_handles__9beb79cdccbd80670d8fa79318c9f820
sancheznataniel,Actor Nataniel Sanchez,Entertainment,214218,Reputation,Media,Actor Nataniel Sanchez,,advocacy_groups_handles,9a62d424ec261c24be9dc11dcac9afc4,advocacy_groups_handles__f23ba3e4b62eabaf9db7fbdb86d0999c
lisa_olive,Singer LiSA,Entertainment,214218,Reputation,ForeignMinister,Singer LiSA,,advocacy_groups_handles,e1bb1fbafc4d867644c1375a8c5495a4,advocacy_groups_handles__31ba13cb86ce3e304a59b34af31811bc
nyusha_nyusha,Singer Nyusha,Entertainment,214218,Reputation,Legislator,Singer Nyusha,,advocacy_groups_handles,f3ee8d993c16b4aa54af09f9a106b364,advocacy_groups_handles__47bcfeade27de6e84c8791c6fc9affa3
chandlerriggs,Actor Chandler Riggs,Entertainment,214218,Reputation,Person,Actor Chandler Riggs,,advocacy_groups_handles,8281621c3241749cb6e0694f3a3abbd6,advocacy_groups_handles__3a39341e872380dac71707fa8f134ade
jun2dakay,Singer Jun K,Entertainment,214218,Reputation,Diplomat,Singer Jun K,,advocacy_groups_handles,5033b48181009c53c139dc4fe0a46b39,advocacy_groups_handles__5b528a0c778c8ff3808a3b4b8d500ba5
beargrylls,Actor Bear Grylls,Entertainment,214218,Reputation,DiplomaticFacilities,Actor Bear Grylls,,advocacy_groups_handles,9ac99b88281648a0e34745427318be6d,advocacy_groups_handles__5285dd9d08ede35c4e8b9284de75f928
hughlaurie,Actor Hugh Laurie,Entertainment,214218,Reputation,Organization,Actor Hugh Laurie,,advocacy_groups_handles,303a255bcdbde718db0ca27cc4ad8eb6,advocacy_groups_handles__60ac0602ade11bcbe7effe1770b51513
staceysolomon,Singer Stacey Solomon,Entertainment,214218,Reputation,LegislativeCommittee,Singer Stacey Solomon,,advocacy_groups_handles,50f406582671b1efaa081b930fc230c3,advocacy_groups_handles__ac35419f534b28526de28480f6d7ec30
realradikaa,Actor Radikaa Sarathkumar,Entertainment,214218,Reputation,Refinery,Actor Radikaa Sarathkumar,,advocacy_groups_handles,d1d5cc837b543c59f0ed68986002f24d,advocacy_groups_handles__86cee27dbd29d7585fd95b6326672fd1
realchalamet,Actor Timothée Chalamet,Entertainment,214218,Reputation,CompanyKeyword,Actor Timothée Chalamet,,advocacy_groups_handles,e04d5ffd8154b0e706974e9f301531bb,advocacy_groups_handles__ad4d5813be7acf132e86f2b9d8cad59f
