handle,caption_name,location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
horacechangjm,National Security Minister Chang,2614,space,National Security Minister Chang,,defmin_mentioner,cd8388b34d2c80bd443fbf32fc1ccfaf,defmin_mentioner__cd8388b34d2c80bd443fbf32fc1ccfaf
csdefence_kenya,Kenyan Defense Minister Juma,2615,Refinery,Kenyan Defense Minister Juma,,defmin_mentioner,b24fabeb22fb40f5bca0a6f4bbe48c6a,defmin_mentioner__b24fabeb22fb40f5bca0a6f4bbe48c6a
pabriks,Latvian Defense Minister Pabriks,2616,Person,Latvian Defense Minister Pabriks,,defmin_mentioner,7a9d31fb113f1c4cbaa919ff315c3fad,defmin_mentioner__7a9d31fb113f1c4cbaa919ff315c3fad
a_anusauskas,Lithuanian Defense Minister Anusauskas,2617,ForeignMinister,Lithuanian Defense Minister Anusauskas,,defmin_mentioner,044881151faf7d8a98a4eabc39f786a6,defmin_mentioner__044881151faf7d8a98a4eabc39f786a6
byroncamilleri,Maltese National Security Minister Camilleri,2618,ForeignMinistry,Maltese National Security Minister Camilleri,,defmin_mentioner,e23b6030c6a1e5722809d124d35a1f23,defmin_mentioner__e23b6030c6a1e5722809d124d35a1f23
peenihenare,New Zealand Defence Minister Henare,2619,Keyphrase,New Zealand Defence Minister Henare,,defmin_mentioner,7252ad8e99b5222e6c956f2ecccd3c77,defmin_mentioner__7252ad8e99b5222e6c956f2ecccd3c77
genmagashi,Nigerian Defense Minister Magashi,2620,AAEntity,Nigerian Defense Minister Magashi,,defmin_mentioner,e39a018868d2ff679c097eb6fc679e85,defmin_mentioner__e39a018868d2ff679c097eb6fc679e85
bakkejensen,Norwegian Defense Minister Bakke-Jensen,2621,Media,Norwegian Defense Minister Bakke-Jensen,,defmin_mentioner,3cacdd90d6b5ced3b6f83c0cec73bac1,defmin_mentioner__3cacdd90d6b5ced3b6f83c0cec73bac1
pervezkhattakpk,Pakistani Defense Minister Khattak,2622,Refinery,Pakistani Defense Minister Khattak,,defmin_mentioner,726a2d68a8ed22e9b6576eeeb6dad77a,defmin_mentioner__726a2d68a8ed22e9b6576eeeb6dad77a
del_lorenzana,Philippine Defense Minister Lorenzana,2623,Person,Philippine Defense Minister Lorenzana,,defmin_mentioner,8e7efb521b6102a4584ee617dc66a747,defmin_mentioner__8e7efb521b6102a4584ee617dc66a747
