keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
txdps,TxDPS,Texas Department of Public Safety,Texas,texas,,PoliceDept,,188120,3140002,Policedept,Texas Department of Public Safety,,EO_Mentionee,ad38be921e061efd917e28b35ad82642,EO_Mentionee__ad38be921e061efd917e28b35ad82642
texas department of public safety,Texas Department of Public Safety,Texas Department of Public Safety,Texas,texas,,PoliceDept,,188120,3140002,Policedept,Texas Department of Public Safety,,EO_Mentionee,9ed6c90a251bb3eda0d89f7ff2606c25,EO_Mentionee__9ed6c90a251bb3eda0d89f7ff2606c25
new york state police,New York State Police,New York State Police,New York,new york,,PoliceDept,,188120,3140002,Policedept,New York State Police,,EO_Mentionee,701f8063aa8d04604b94514f7eee75b0,EO_Mentionee__701f8063aa8d04604b94514f7eee75b0
newyorkstatepolice,NewYorkStatePolice,New York State Police,New York,new york,,PoliceDept,,188120,3140002,Policedept,New York State Police,,EO_Mentionee,7de7eb2ecb5a388c331b83c3a97ea363,EO_Mentionee__7de7eb2ecb5a388c331b83c3a97ea363
nyspolice,nyspolice,New York State Police,New York,new york,,PoliceDept,,188120,3140002,Policedept,New York State Police,,EO_Mentionee,09c7b9e9f46eb59c0690711bf0dba563,EO_Mentionee__09c7b9e9f46eb59c0690711bf0dba563
department of public safety,Department of Public Safety,Arizona Department of Public Safety,Arizona,arizona,,PoliceDept,,188120,3140002,Policedept,Arizona Department of Public Safety,,EO_Mentionee,417f417381387e87ef6cfdec8eb46a38,EO_Mentionee__417f417381387e87ef6cfdec8eb46a38
arizona_dps,Arizona_DPS,Arizona Department of Public Safety,Arizona,arizona,,PoliceDept,,188120,3140002,Policedept,Arizona Department of Public Safety,,EO_Mentionee,d71cc480a1fddd6c756c0e5db0094103,EO_Mentionee__d71cc480a1fddd6c756c0e5db0094103
arizona department of public safety,Arizona Department of Public Safety,Arizona Department of Public Safety,Arizona,arizona,,PoliceDept,,188120,3140002,Policedept,Arizona Department of Public Safety,,EO_Mentionee,a9a95d163d9f3d4564b78b393d4aaafb,EO_Mentionee__a9a95d163d9f3d4564b78b393d4aaafb
new jersey state police,New Jersey State Police,New Jersey State Police,New Jersey,new jersey,,PoliceDept,,188120,3140002,Policedept,New Jersey State Police,,EO_Mentionee,4aa9ac9f0b8839faa3b3cfd1ce1ede94,EO_Mentionee__4aa9ac9f0b8839faa3b3cfd1ce1ede94
njsp,NJSP,New Jersey State Police,New Jersey,new jersey,,PoliceDept,,188120,3140002,Policedept,New Jersey State Police,,EO_Mentionee,ef9921da4113fbbaff9b23d08e64ff6d,EO_Mentionee__ef9921da4113fbbaff9b23d08e64ff6d
nc dps,NC DPS,North Carolina Department of Public Safety,North Carolina,north carolina,,PoliceDept,,188120,3140002,Policedept,North Carolina Department of Public Safety,,EO_Mentionee,d23e7d9ed9c8e3da66f58c79bbdeada7,EO_Mentionee__d23e7d9ed9c8e3da66f58c79bbdeada7
north carolina department of public safety,North Carolina Department of Public Safety,North Carolina Department of Public Safety,North Carolina,north carolina,,PoliceDept,,188120,3140002,Policedept,North Carolina Department of Public Safety,,EO_Mentionee,d12cfc0868fed39c53a10214e4c7aab5,EO_Mentionee__d12cfc0868fed39c53a10214e4c7aab5
ncpublicsafety,NCPublicSafety,North Carolina Department of Public Safety,North Carolina,north carolina,,PoliceDept,,188120,3140002,Policedept,North Carolina Department of Public Safety,,EO_Mentionee,ce1ba921daa6b42434e7108a0fcccd2e,EO_Mentionee__ce1ba921daa6b42434e7108a0fcccd2e
colorado state patrol,Colorado State Patrol,Colorado State Patrol,Colorado,colorado,,PoliceDept,,188120,3140002,Policedept,Colorado State Patrol,,EO_Mentionee,d5f1a751c2015827b928e9f1b1008f20,EO_Mentionee__d5f1a751c2015827b928e9f1b1008f20
colorado sp,Colorado SP,Colorado State Patrol,Colorado,colorado,,PoliceDept,,188120,3140002,Policedept,Colorado State Patrol,,EO_Mentionee,305a5e15d3204f32a03152d76d2cf564,EO_Mentionee__305a5e15d3204f32a03152d76d2cf564
csp_news,CSP_News,Colorado State Patrol,Colorado,colorado,,PoliceDept,,188120,3140002,Policedept,Colorado State Patrol,,EO_Mentionee,3ce9e2b189012dd916db28f7bcc44a0c,EO_Mentionee__3ce9e2b189012dd916db28f7bcc44a0c
