keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
senthune,senthune,US Senator Thune,Washington,washington,US Senators,,188285,,UsSenators,US Senator Thune,,dgm_USSenate,88e13a6485c7a679a104848108544347,dgm_USSenate__88e13a6485c7a679a104848108544347
senblunt,senblunt,US Senator Blunt,Washington,washington,US Senators,,188285,,UsSenators,US Senator Blunt,,dgm_USSenate,4bce1699ba09280717825241c9eb48bb,dgm_USSenate__4bce1699ba09280717825241c9eb48bb
sencasey,sencasey,US Senator Casey,Washington,washington,US Senators,,188285,,UsSenators,US Senator Casey,,dgm_USSenate,596b6c13a0baaf29fddc684d6bf72f8a,dgm_USSenate__596b6c13a0baaf29fddc684d6bf72f8a
jerry moran,jerry moran,US Senator Moran,Washington,washington,US Senators,,188285,,UsSenators,US Senator Moran,,dgm_USSenate,1d6ec1023fa593547385d9ebbe1d4291,dgm_USSenate__1d6ec1023fa593547385d9ebbe1d4291
tim kaine,tim kaine,US Senator Kaine,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kaine,,dgm_USSenate,763824399501bf2e665f3d648d33f204,dgm_USSenate__763824399501bf2e665f3d648d33f204
mike braun,mike braun,US Senator Braun,Washington,washington,US Senators,,188285,,UsSenators,US Senator Braun,,dgm_USSenate,875dc323d3daa245523065c1ee4bec97,dgm_USSenate__875dc323d3daa245523065c1ee4bec97
todd c. young,todd c. young,US Senator Young,Washington,washington,US Senators,,188285,,UsSenators,US Senator Young,,dgm_USSenate,208616b850db762012d447761e1cacbd,dgm_USSenate__208616b850db762012d447761e1cacbd
joni ernst,joni ernst,US Senator Ernst,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ernst,,dgm_USSenate,0f9b13a13df7ed8fba31080ccb6b0ce5,dgm_USSenate__0f9b13a13df7ed8fba31080ccb6b0ce5
mike crapo,mike crapo,US Senator Crapo,Washington,washington,US Senators,,188285,,UsSenators,US Senator Crapo,,dgm_USSenate,5f839dd92abcabc35f119bae019d0f0e,dgm_USSenate__5f839dd92abcabc35f119bae019d0f0e
jim risch,jim risch,US Senator Risch,Washington,washington,US Senators,,188285,,UsSenators,US Senator Risch,,dgm_USSenate,5f688c367d9142c08551eca7e0f0d873,dgm_USSenate__5f688c367d9142c08551eca7e0f0d873
ron wyden,ron wyden,US Senator Wyden,Washington,washington,US Senators,,188285,,UsSenators,US Senator Wyden,,dgm_USSenate,f88a33ba67714702854b17c5a083cb31,dgm_USSenate__f88a33ba67714702854b17c5a083cb31
tina smith,tina smith,US Senator Smith,Washington,washington,US Senators,,188285,,UsSenators,US Senator Smith,,dgm_USSenate,b5a11d4027b64b1d5f74ab3d48997038,dgm_USSenate__b5a11d4027b64b1d5f74ab3d48997038
sherrod brown,sherrod brown,US Senator Brown,Washington,washington,US Senators,,188285,,UsSenators,US Senator Brown,,dgm_USSenate,cfc3b0037848765fcd665399275f7b5e,dgm_USSenate__cfc3b0037848765fcd665399275f7b5e
