keyword,caption_name,groups,topic_id,entity_type,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@nypd25thprecinct,NYPD 25th Precinct,slg,188120,,3140002,,NYPD 25th Precinct,,slg_overlap_terms,3283fc7cf36cc29123e6e656dfdc8abe,slg_overlap_terms__3283fc7cf36cc29123e6e656dfdc8abe
@nypd26thprecinct,NYPD 26th Precinct,slg,188120,,3140002,,NYPD 26th Precinct,,slg_overlap_terms,a246337534841019607e93530f629a2d,slg_overlap_terms__a246337534841019607e93530f629a2d
@nypd28thprecinct,NYPD 28th Precinct,slg,188120,,3140002,,NYPD 28th Precinct,,slg_overlap_terms,5841d825696bc23c1ae01494853be6a0,slg_overlap_terms__5841d825696bc23c1ae01494853be6a0
@nypd30thprecinct,NYPD 30th Precinct,slg,188120,,3140002,,NYPD 30th Precinct,,slg_overlap_terms,02d09b6a2ea1bb1481e2982e9537440c,slg_overlap_terms__02d09b6a2ea1bb1481e2982e9537440c
@nypd32ndprecinct,NYPD 32nd Precinct,slg,188120,,3140002,,NYPD 32nd Precinct,,slg_overlap_terms,f8f3eb87240ff23a1917c5d15a4d38aa,slg_overlap_terms__f8f3eb87240ff23a1917c5d15a4d38aa
@nypd33rdprecinct,NYPD 33rd Precinct,slg,188120,,3140002,,NYPD 33rd Precinct,,slg_overlap_terms,9ef5eef763ebb7b96689c87e62ac675f,slg_overlap_terms__9ef5eef763ebb7b96689c87e62ac675f
@nypd34thprecinct,NYPD 34th Precinct,slg,188120,,3140002,,NYPD 34th Precinct,,slg_overlap_terms,30c26699d4a22e021afc833c5f4239e4,slg_overlap_terms__30c26699d4a22e021afc833c5f4239e4
@nypd40thprecinct,NYPD 40th Precinct,slg,188120,,3140002,,NYPD 40th Precinct,,slg_overlap_terms,66e7e2e8d2abfedf7621108eacc3f2b9,slg_overlap_terms__66e7e2e8d2abfedf7621108eacc3f2b9
@nypd41stprecinct,NYPD 41st Precinct,slg,188120,,3140002,,NYPD 41st Precinct,,slg_overlap_terms,7bccdc8864fbb1865296b32f9a31511c,slg_overlap_terms__7bccdc8864fbb1865296b32f9a31511c
@nypd42ndprecinct,NYPD 42nd Precinct,slg,188120,,3140002,,NYPD 42nd Precinct,,slg_overlap_terms,548460363e9c864fac98f6a78a3e3e74,slg_overlap_terms__548460363e9c864fac98f6a78a3e3e74
@nypd43rdprecinct,NYPD 43rd Precinct,slg,188120,,3140002,,NYPD 43rd Precinct,,slg_overlap_terms,fbe0235c83f8e6a58cecfad84cca5953,slg_overlap_terms__fbe0235c83f8e6a58cecfad84cca5953
@nypd44thprecinct,NYPD 44th Precinct,slg,188120,,3140002,,NYPD 44th Precinct,,slg_overlap_terms,cfdef54200cbeb8afe7adc301dc38a80,slg_overlap_terms__cfdef54200cbeb8afe7adc301dc38a80
@nypd45thprecinct,NYPD 45th Precinct,slg,188120,,3140002,,NYPD 45th Precinct,,slg_overlap_terms,51f7a7045b6d233ab354cc56ced2d293,slg_overlap_terms__51f7a7045b6d233ab354cc56ced2d293
@nypd46thprecinct,NYPD 46th Precinct,slg,188120,,3140002,,NYPD 46th Precinct,,slg_overlap_terms,88d3fd3613597686ac6f204865562073,slg_overlap_terms__88d3fd3613597686ac6f204865562073
@nypd47thprecinct,NYPD 47th Precinct,slg,188120,,3140002,,NYPD 47th Precinct,,slg_overlap_terms,75b229d34036c130c199e13fe77404fa,slg_overlap_terms__75b229d34036c130c199e13fe77404fa
@nypd48thprecinct,NYPD 48th Precinct,slg,188120,,3140002,,NYPD 48th Precinct,,slg_overlap_terms,e2c9d5c884bc1d11972e8ea7f0ccfcfe,slg_overlap_terms__e2c9d5c884bc1d11972e8ea7f0ccfcfe
@nypd49thprecinct,NYPD 49th Precinct,slg,188120,,3140002,,NYPD 49th Precinct,,slg_overlap_terms,3d9a7d29fbef8b4ef0de00f69e782d38,slg_overlap_terms__3d9a7d29fbef8b4ef0de00f69e782d38
@nypd50thprecinct,NYPD 50th Precinct,slg,188120,,3140002,,NYPD 50th Precinct,,slg_overlap_terms,ee09799fb01d6b63b1f0401341b0bc17,slg_overlap_terms__ee09799fb01d6b63b1f0401341b0bc17
@nypd52ndprecinct,NYPD 52nd Precinct,slg,188120,,3140002,,NYPD 52nd Precinct,,slg_overlap_terms,b3b089a73b17850c4989f11078bb4685,slg_overlap_terms__b3b089a73b17850c4989f11078bb4685
@nypd60thprecinct,NYPD 60th Precinct,slg,188120,,3140002,,NYPD 60th Precinct,,slg_overlap_terms,c1e79594e80bc3e0dbdd872718e45708,slg_overlap_terms__c1e79594e80bc3e0dbdd872718e45708
@nypd61stprecinct,NYPD 61st Precinct,slg,188120,,3140002,,NYPD 61st Precinct,,slg_overlap_terms,7f40309985ab80a145c97bcafd2fac7c,slg_overlap_terms__7f40309985ab80a145c97bcafd2fac7c
@nypd62ndprecinct,NYPD 62nd Precinct,slg,188120,,3140002,,NYPD 62nd Precinct,,slg_overlap_terms,d7b9b01406aa9e6c1e3ae7a4a34d4abd,slg_overlap_terms__d7b9b01406aa9e6c1e3ae7a4a34d4abd
@nypd63rdprecinct,NYPD 63rd Precinct,slg,188120,,3140002,,NYPD 63rd Precinct,,slg_overlap_terms,2e1feff05934f611d83cc76d7b0489a3,slg_overlap_terms__2e1feff05934f611d83cc76d7b0489a3
@nypd66thprecinct,NYPD 66th Precinct,slg,188120,,3140002,,NYPD 66th Precinct,,slg_overlap_terms,0d2af9c36fe69ec4f2e869cd38fbf044,slg_overlap_terms__0d2af9c36fe69ec4f2e869cd38fbf044
@nypd67thprecinct,NYPD 67th Precinct,slg,188120,,3140002,,NYPD 67th Precinct,,slg_overlap_terms,2dc1a2896b525ce1b0a27ee98589ef4f,slg_overlap_terms__2dc1a2896b525ce1b0a27ee98589ef4f
@nypd68thprecinct,NYPD 68th Precinct,slg,188120,,3140002,,NYPD 68th Precinct,,slg_overlap_terms,45f474744adfd8885f56e1ef43ab72a4,slg_overlap_terms__45f474744adfd8885f56e1ef43ab72a4
@nypd69thprecinct,NYPD 69th Precinct,slg,188120,,3140002,,NYPD 69th Precinct,,slg_overlap_terms,9be2caf3c717ed984da0e53d19cc8e25,slg_overlap_terms__9be2caf3c717ed984da0e53d19cc8e25
