ceo_handle,company_name,caption_name,guid,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fdavidsont,Sonder,Francis Davidson,34427af5c368ea49389adf75f82b174e,Sonder CEO Francis Davidson,Keyphrase,Francis Davidson,,strategic_modelset_ceo_handle,b42ab05f65dd9633dad277256d5faf5a,strategic_modelset_ceo_handle__b42ab05f65dd9633dad277256d5faf5a
bradkeywell,Uptake Technologies,Brad Keywell,2e642a53cbae17b486d236ba172fe80f,Uptake Technologies CEO Brad Keywell,Keyphrase,Brad Keywell,,strategic_modelset_ceo_handle,641974c79b0aa040ced88a9b637d5192,strategic_modelset_ceo_handle__641974c79b0aa040ced88a9b637d5192
sancartion,Bumblebee Spaces,Sankarshan Murthy,d91510130fe0f3b18621629551466461,Bumblebee Spaces CEO Sankarshan Murthy,Legislator,Sankarshan Murthy,,strategic_modelset_ceo_handle,ef729ece9ad5159c4e73a61ba360befa,strategic_modelset_ceo_handle__ef729ece9ad5159c4e73a61ba360befa
davidutleymd,Carrot,David Utley,67d173da27f166f8ec84263f4aba563d,Carrot CEO David Utley,Legislator,David Utley,,strategic_modelset_ceo_handle,b41f2304a14375cd31b443649ff0594f,strategic_modelset_ceo_handle__b41f2304a14375cd31b443649ff0594f
sychou,Catalytic,Sean Chou,b718758a9fe626396a472088dfeba784,Catalytic CEO Sean Chou,Exec,Sean Chou,,strategic_modelset_ceo_handle,01fde6bb96e7ef8773feb261684df77e,strategic_modelset_ceo_handle__01fde6bb96e7ef8773feb261684df77e
sterling_db,Chowly,Sterling Douglass,0a1a8295da65d757c37259b3897d75ec,Chowly CEO Sterling Douglass,Exec,Sterling Douglass,,strategic_modelset_ceo_handle,cbe2a36d2c280e8501f1f901e4ad2f00,strategic_modelset_ceo_handle__cbe2a36d2c280e8501f1f901e4ad2f00
leealec,Endless West,Alec Lee,b1ed976f691129f96c162591103cb2ff,Endless West CEO Alec Lee,ForeignMinister,Alec Lee,,strategic_modelset_ceo_handle,fd4cf951be4d551a96bd2c56b3dfbe42,strategic_modelset_ceo_handle__fd4cf951be4d551a96bd2c56b3dfbe42
dugshultz,Factor,Doug Shultz,52897fdf0b20350e69c1b11c1ad7e94d,Factor CEO Doug Shultz,ForeignMinister,Doug Shultz,,strategic_modelset_ceo_handle,de866f397912fbd8a4a25406419ec352,strategic_modelset_ceo_handle__de866f397912fbd8a4a25406419ec352
jnavok,Genvid,Jacob Navok,fc945e1291fa6fe785a333646aac0536,Genvid CEO Jacob Navok,Refinery,Jacob Navok,,strategic_modelset_ceo_handle,f090c944bcc726f58f8e32f2969b78f2,strategic_modelset_ceo_handle__f090c944bcc726f58f8e32f2969b78f2
pimdewitte,Medal,Pim de Witte,c5651356ba9c392e5b3e1980d7dff5ea,Medal CEO Pim de Witte,ForeignMinister,Pim de Witte,,strategic_modelset_ceo_handle,687dd4c4038995acb1fc22436c7f773f,strategic_modelset_ceo_handle__687dd4c4038995acb1fc22436c7f773f
balanayyar,Percipient.ai,Balan Ayyar,7a576c231e390a1779c2eacd07a645a4,Percipient.ai CEO Balan Ayyar,FTO,Balan Ayyar,,strategic_modelset_ceo_handle,f6d171640c8ac15f0ac8a2fecea44822,strategic_modelset_ceo_handle__f6d171640c8ac15f0ac8a2fecea44822
jeffapps,Salted,Jeff Applebaum,7633ab130bcbe73bb3fe167eae901f35,Salted CEO Jeff Applebaum,Refinery,Jeff Applebaum,,strategic_modelset_ceo_handle,7de7b46e61cfa722cdd496bd1c50c2db,strategic_modelset_ceo_handle__7de7b46e61cfa722cdd496bd1c50c2db
nickkokonas,Tock,Nick Kokonas,3342ec42146f5549a29c3160ef64bb71,Tock CEO Nick Kokonas,Wells,Nick Kokonas,,strategic_modelset_ceo_handle,c104f2b789bcff0d829911ed3dac3ac0,strategic_modelset_ceo_handle__c104f2b789bcff0d829911ed3dac3ac0
mhorowit,AMP Robotics,Matanya Horowitz,84edd17c7f01950bc979f9f8cb897e88,AMP Robotics CEO Matanya Horowitz,Exec,Matanya Horowitz,,strategic_modelset_ceo_handle,33beb737a0688ca682abf5566dd48b7c,strategic_modelset_ceo_handle__33beb737a0688ca682abf5566dd48b7c
