keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
shiyan 5,Shiyan 5 earth observation satellite,188261,a1433,,,satellite,Satellite,Shiyan 5 earth observation satellite,,milpress_mentionee,19b54992fd581bc1f8e385a4af0423c8,milpress_mentionee__19b54992fd581bc1f8e385a4af0423c8
shiyan 6-01,Shiyan 6-01 space science satellite,188261,a1433,,,satellite,Satellite,Shiyan 6-01 space science satellite,,milpress_mentionee,07eb6c0d693270806105bd8ef3076965,milpress_mentionee__07eb6c0d693270806105bd8ef3076965
shiyan 6-02,Shiyan 6-02 space science satellite,188261,a1433,,,satellite,Satellite,Shiyan 6-02 space science satellite,,milpress_mentionee,be465762dd4c77d5bdaa7fd31c81462d,milpress_mentionee__be465762dd4c77d5bdaa7fd31c81462d
shiyan 6-03,Shiyan 6-03 technology development satellite,188261,a1433,,,satellite,Satellite,Shiyan 6-03 technology development satellite,,milpress_mentionee,984f49596a162d767d6ddbff6678d3d2,milpress_mentionee__984f49596a162d767d6ddbff6678d3d2
shiyan 7,Shiyan 7 technology development satellite,188261,a1433,,,satellite,Satellite,Shiyan 7 technology development satellite,,milpress_mentionee,d03f2ca2de08318e9b87c276564903eb,milpress_mentionee__d03f2ca2de08318e9b87c276564903eb
shiyan 9,Shiyan 9 technology development satellite,188261,a1433,,,satellite,Satellite,Shiyan 9 technology development satellite,,milpress_mentionee,c678a886eac654107d38dabf7fa45481,milpress_mentionee__c678a886eac654107d38dabf7fa45481
sinosat-6,Sinosat-6 communications satellite,188261,a1433,,,satellite,Satellite,Sinosat-6 communications satellite,,milpress_mentionee,ff8a87ed667de57f48623ea2962e669c,milpress_mentionee__ff8a87ed667de57f48623ea2962e669c
spark-1,Spark-1 earth observation satellite,188261,a1433,,,satellite,Satellite,Spark-1 earth observation satellite,,milpress_mentionee,554ecee45e931fa92549e0adbf6aadf3,milpress_mentionee__554ecee45e931fa92549e0adbf6aadf3
spark-2,Spark-2 earth observation satellite,188261,a1433,,,satellite,Satellite,Spark-2 earth observation satellite,,milpress_mentionee,1f5d3fd00daa62b4dbbb856c6e5b0ebc,milpress_mentionee__1f5d3fd00daa62b4dbbb856c6e5b0ebc
superview 1-01,Superview 1-01 earth observation satellite,188261,a1433,,,satellite,Satellite,Superview 1-01 earth observation satellite,,milpress_mentionee,998c336fa53fa6e4892c3016bb48a36c,milpress_mentionee__998c336fa53fa6e4892c3016bb48a36c
superview 1-02,Superview 1-02 earth observation satellite,188261,a1433,,,satellite,Satellite,Superview 1-02 earth observation satellite,,milpress_mentionee,eeec2affb0c56b9e82154e5aa857ba61,milpress_mentionee__eeec2affb0c56b9e82154e5aa857ba61
superview 1-03,Superview 1-03 earth observation satellite,188261,a1433,,,satellite,Satellite,Superview 1-03 earth observation satellite,,milpress_mentionee,ea2c95d2d420c03cdb7e4734625c3ed4,milpress_mentionee__ea2c95d2d420c03cdb7e4734625c3ed4
superview 1-04,Superview 1-04 earth observation satellite,188261,a1433,,,satellite,Satellite,Superview 1-04 earth observation satellite,,milpress_mentionee,47598748a6ab0e3aae47cf8839267bb8,milpress_mentionee__47598748a6ab0e3aae47cf8839267bb8
taijing 2-01,Taijing 2-01 technology development satellite,188261,a1433,,,satellite,Satellite,Taijing 2-01 technology development satellite,,milpress_mentionee,be7c4bff21ac437d42d38837152a8134,milpress_mentionee__be7c4bff21ac437d42d38837152a8134
tangguo guan,Tangguo Guan communications satellite,188261,a1433,,,satellite,Satellite,Tangguo Guan communications satellite,,milpress_mentionee,65b34647f88a50f228d3d877c20dc419,milpress_mentionee__65b34647f88a50f228d3d877c20dc419
tansat,TanSat earth observation satellite,188261,a1433,,,satellite,Satellite,TanSat earth observation satellite,,milpress_mentionee,d056b304d6c5bcaedd95725524ed68ea,milpress_mentionee__d056b304d6c5bcaedd95725524ed68ea
tianhe,Tianhe space science satellite,188261,a1433,,,satellite,Satellite,Tianhe space science satellite,,milpress_mentionee,dbf8f14fd605eb20a07d1994494d3b89,milpress_mentionee__dbf8f14fd605eb20a07d1994494d3b89
tianhui 1-01,Tianhui 1-01 earth observation satellite,188261,a1433,,,satellite,Satellite,Tianhui 1-01 earth observation satellite,,milpress_mentionee,6a15453b78374a0768a9a927e1cc6c46,milpress_mentionee__6a15453b78374a0768a9a927e1cc6c46
tianhui 1-02,Tianhui 1-02 earth observation satellite,188261,a1433,,,satellite,Satellite,Tianhui 1-02 earth observation satellite,,milpress_mentionee,e430dada88d218db431f122ca908b79f,milpress_mentionee__e430dada88d218db431f122ca908b79f
