native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
incendie,fire,Fire incident reported,11,Fires & Collapses,188118,IndustryTerm,Fire incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,51fb9ddbbad6ac21e237e683d0fe3933,local_news_physical_safety_congo_caption_topic_threshold_mapping__51fb9ddbbad6ac21e237e683d0fe3933
feu,fire,Fire incident reported,11,Fires & Collapses,188118,Consulates,Fire incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,51fb9ddbbad6ac21e237e683d0fe3933,local_news_physical_safety_congo_caption_topic_threshold_mapping__51fb9ddbbad6ac21e237e683d0fe3933
flammes,flames,Fire incident reported,11,Fires & Collapses,188118,Person,Fire incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,51fb9ddbbad6ac21e237e683d0fe3933,local_news_physical_safety_congo_caption_topic_threshold_mapping__51fb9ddbbad6ac21e237e683d0fe3933
flamme,flames,Fire incident reported,11,Fires & Collapses,188118,Wells,Fire incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,51fb9ddbbad6ac21e237e683d0fe3933,local_news_physical_safety_congo_caption_topic_threshold_mapping__51fb9ddbbad6ac21e237e683d0fe3933
fumée,smoke,Fire incident reported,11,Fires & Collapses,188118,AAEntity,Fire incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,51fb9ddbbad6ac21e237e683d0fe3933,local_news_physical_safety_congo_caption_topic_threshold_mapping__51fb9ddbbad6ac21e237e683d0fe3933
attaques,attack,Attack reported,4,Crime - Non-Active,188297,Person,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
agression,attack,Attack reported,4,Crime - Non-Active,188297,Refinery,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attentat,attack,Attack reported,4,Crime - Non-Active,188297,LegislativeCommittee,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attaque,attack,Attack reported,4,Crime - Non-Active,188297,FTO,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attentats,attack,Attack reported,4,Crime - Non-Active,188297,News,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
agressé,attack,Attack reported,4,Crime - Non-Active,188297,Legislator,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attaquée,attacked,Attack reported,4,Crime - Non-Active,188297,Organization,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attaqués,attacked,Attack reported,4,Crime - Non-Active,188297,Pipeline,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attaquées,attacked,Attack reported,4,Crime - Non-Active,188297,FTO,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
attaqué,attacked,Attack reported,4,Crime - Non-Active,188297,IndustryTerm,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
agressé,attacked,Attack reported,4,Crime - Non-Active,188297,AAEntity,Attack reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_congo_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
captif,hostage,Hostage incident reported,4,Crime - Non-Active,188297,Legislator,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
captive,hostage,Hostage incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
otage,hostage,Hostage incident reported,4,Crime - Non-Active,188297,Wells,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
captifs,hostages,Hostage incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
captives,hostages,Hostage incident reported,4,Crime - Non-Active,188297,AAEntity,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
otages,hostages,Hostage incident reported,4,Crime - Non-Active,188297,Pipeline,Hostage incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,93b5cfb0c18c9a51ad69d79b17a39f41,local_news_physical_safety_congo_caption_topic_threshold_mapping__93b5cfb0c18c9a51ad69d79b17a39f41
sauvetage,rescue,Rescue reported,10,Fires and Collapses,188118,Consulates,Rescue reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4a7d831a40a3efa280a32e8874b22790,local_news_physical_safety_congo_caption_topic_threshold_mapping__4a7d831a40a3efa280a32e8874b22790
secours,rescue,Rescue reported,10,Fires and Collapses,188118,Person,Rescue reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4a7d831a40a3efa280a32e8874b22790,local_news_physical_safety_congo_caption_topic_threshold_mapping__4a7d831a40a3efa280a32e8874b22790
arrestation,arrest,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
détention,arrest,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
appréhend,arrest,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
appréhendent,arrest,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
en garde a vue,arrested,Police-involved matter reported,10,Crime - Non-Active,188297,Shipping,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
détenu,arrested,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
détenue,arrested,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
détenus,arrested,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
détenues,arrested,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
