handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
edlanews,US Attorney's Office for Louisiana,"New Orleans, LA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"new orleans, la",DiplomaticFacilities,US Attorney's Office for Louisiana,,dgm_proscutor_handles,b9e3f2b3b340dd0d2fb7b3ceeb1e92a5,dgm_proscutor_handles__b9e3f2b3b340dd0d2fb7b3ceeb1e92a5
usao_az,US Attorney's Office for Arizona,"Phoenix, AZ",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"phoenix, az",Consulates,US Attorney's Office for Arizona,,dgm_proscutor_handles,7766b93324b9eb26fee6819aef5d9830,dgm_proscutor_handles__7766b93324b9eb26fee6819aef5d9830
sdflnews,US Attorney's Office for Florida,"Miami, FL",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"miami, fl",Keyphrase,US Attorney's Office for Florida,,dgm_proscutor_handles,f66538ef0223d1608eb93495db47241f,dgm_proscutor_handles__f66538ef0223d1608eb93495db47241f
usao_hi,US Attorney's Office for Hawaii,"Honolulu, HI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"honolulu, hi",Exec,US Attorney's Office for Hawaii,,dgm_proscutor_handles,7d193fc64a6a629d776d8dd8e1336aa0,dgm_proscutor_handles__7d193fc64a6a629d776d8dd8e1336aa0
edwinews,US Attorney's Office for Wisconsin,"Milwaukee, WI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"milwaukee, wi",Person,US Attorney's Office for Wisconsin,,dgm_proscutor_handles,4e5a3d95eeadd970623c19fd77211511,dgm_proscutor_handles__4e5a3d95eeadd970623c19fd77211511
usao_ri,US Attorney's Office for Rhode Island,"Providence, RI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"providence, ri",ForeignMinister,US Attorney's Office for Rhode Island,,dgm_proscutor_handles,7812d9171feb8058f0ecea1abc606229,dgm_proscutor_handles__7812d9171feb8058f0ecea1abc606229
sdohnews,US Attorney's Office for Ohio,"Cincinnati, OH",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"cincinnati, oh",LegislativeCommittee,US Attorney's Office for Ohio,,dgm_proscutor_handles,9194d380652db06fa7ce1ba53faa3243,dgm_proscutor_handles__9194d380652db06fa7ce1ba53faa3243
sdmsnews,US Attorney's Office for Mississippi,"Jackson, MS",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"jackson, ms",Refinery,US Attorney's Office for Mississippi,,dgm_proscutor_handles,bf349ac744f033471f8e8049b6617058,dgm_proscutor_handles__bf349ac744f033471f8e8049b6617058
dsdnews1,US Attorney's Office for South Dakota,"Sioux Falls, SD",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"sioux falls, sd",Refinery,US Attorney's Office for South Dakota,,dgm_proscutor_handles,28a4cff56771c17cf35b718a38f5c33a,dgm_proscutor_handles__28a4cff56771c17cf35b718a38f5c33a
ednynews,US Attorney's Office for New York,"Brooklyn, NY",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"brooklyn, ny",ForeignMinistry,US Attorney's Office for New York,,dgm_proscutor_handles,054d0172497d881ec98d794e52717076,dgm_proscutor_handles__054d0172497d881ec98d794e52717076
usao_nj,US Attorney's Office for New Jersey,"Newark, NJ",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"newark, nj",space,US Attorney's Office for New Jersey,,dgm_proscutor_handles,cd930a19b87d8b1e98b6536310187277,dgm_proscutor_handles__cd930a19b87d8b1e98b6536310187277
sdilnews,US Attorney's Office for Illinois,"Fairview Heights, IL",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"fairview heights, il",Keyphrase,US Attorney's Office for Illinois,,dgm_proscutor_handles,5a39373549715115fff00d8b4fe0ea09,dgm_proscutor_handles__5a39373549715115fff00d8b4fe0ea09
wdtnnews,US Attorney's Office for Tennesse,"Memphis, TN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"memphis, tn",DiplomaticFacilities,US Attorney's Office for Tennesse,,dgm_proscutor_handles,4489632fb3818c7ff13c5135435ef948,dgm_proscutor_handles__4489632fb3818c7ff13c5135435ef948
ndflnews,US Attorney's Office for Florida,"Tallahassee, FL",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"tallahassee, fl",ForeignMinister,US Attorney's Office for Florida,,dgm_proscutor_handles,f66538ef0223d1608eb93495db47241f,dgm_proscutor_handles__f66538ef0223d1608eb93495db47241f
wdkynews,US Attorney's Office for Kentucky,"Louisville, KY",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"louisville, ky",Media,US Attorney's Office for Kentucky,,dgm_proscutor_handles,07360e933a2e772a6e3b388033ca2bb6,dgm_proscutor_handles__07360e933a2e772a6e3b388033ca2bb6
wdpanews,US Attorney's Office for Pennsylvania,"Pittsburgh, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"pittsburgh, pa",DiplomaticFacilities,US Attorney's Office for Pennsylvania,,dgm_proscutor_handles,be76354542096e84248b86c425a6ab9b,dgm_proscutor_handles__be76354542096e84248b86c425a6ab9b
usao_kansas,US Attorney's Office for Kansas,"Topeka, KS",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"topeka, ks",ForeignMinister,US Attorney's Office for Kansas,,dgm_proscutor_handles,d004506adaf239c0895986a648ca9c46,dgm_proscutor_handles__d004506adaf239c0895986a648ca9c46
edarnews,US Attorney's Office for Arkansas,"Little Rock, AK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"little rock, ak",Exec,US Attorney's Office for Arkansas,,dgm_proscutor_handles,b8d60d423db8150139790a7f67434724,dgm_proscutor_handles__b8d60d423db8150139790a7f67434724
usao_edtx,US Attorney's Office for Texas,"Beaumont, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"beaumont, tx",Legislator,US Attorney's Office for Texas,,dgm_proscutor_handles,76ea1c652b586d81b2e35ca31afb7283,dgm_proscutor_handles__76ea1c652b586d81b2e35ca31afb7283
ndtxnews,US Attorney's Office for Texas,"Dallas, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"dallas, tx",Refinery,US Attorney's Office for Texas,,dgm_proscutor_handles,76ea1c652b586d81b2e35ca31afb7283,dgm_proscutor_handles__76ea1c652b586d81b2e35ca31afb7283
mdpanews,US Attorney's Office for Pennsylvania,"Columbia, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"columbia, pa",Person,US Attorney's Office for Pennsylvania,,dgm_proscutor_handles,be76354542096e84248b86c425a6ab9b,dgm_proscutor_handles__be76354542096e84248b86c425a6ab9b
dmnnews,US Attorney's Office for Maine,"Saint Paul, MN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"saint paul, mn",Media,US Attorney's Office for Maine,,dgm_proscutor_handles,bbe073dc17acca25872ce3ce8e120a9f,dgm_proscutor_handles__bbe073dc17acca25872ce3ce8e120a9f
dmanews1,US Attorney's Office for Massachusetts,"Boston, MA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"boston, ma",AAEntity,US Attorney's Office for Massachusetts,,dgm_proscutor_handles,3e1dc53695f8136aef0ff71fced840a0,dgm_proscutor_handles__3e1dc53695f8136aef0ff71fced840a0
mdlanews,US Attorney's Office for Louisiana,"Baton Rouge, Louisiana",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"baton rouge, louisiana",Pipeline,US Attorney's Office for Louisiana,,dgm_proscutor_handles,b9e3f2b3b340dd0d2fb7b3ceeb1e92a5,dgm_proscutor_handles__b9e3f2b3b340dd0d2fb7b3ceeb1e92a5
sdinnews,US Attorney's Office for Indiana,"Indianapolis, IN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"indianapolis, in",Wells,US Attorney's Office for Indiana,,dgm_proscutor_handles,272c9987759548ff423c82f9627a0efa,dgm_proscutor_handles__272c9987759548ff423c82f9627a0efa
