german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
massenheimer weg,"Massenheimer Weg in Bad Homburg, Germany",50.2172479,8.6570678,1,,,,,,,,Diplomat,"Massenheimer Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,d9f885e1178e530e07271d81aac90917,german_fires_badhomburg_locations__d9f885e1178e530e07271d81aac90917
mayrhofener weg,"Mayrhofener Weg in Bad Homburg, Germany",50.2202619,8.6509815,1,,,,,,,,Media,"Mayrhofener Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,7d6e0e52410fce6499140331f30fa802,german_fires_badhomburg_locations__7d6e0e52410fce6499140331f30fa802
meiereiberg,"Meiereiberg in Bad Homburg, Germany",50.2261062,8.6089515,1,,,,,,,,space,"Meiereiberg in Bad Homburg, Germany",,german_fires_badhomburg_locations,9140bd8225740aa75a2a421f1a966528,german_fires_badhomburg_locations__9140bd8225740aa75a2a421f1a966528
melibocusstrasse,"Melibocusstrasse in Bad Homburg, Germany",50.223644,8.6733133,1,,,,,,,,Refinery,"Melibocusstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,35863b4f5ba6f84d24d5c69a7a0a6a27,german_fires_badhomburg_locations__35863b4f5ba6f84d24d5c69a7a0a6a27
mittelstedter weg,"Mittelstedter Weg in Bad Homburg, Germany",50.2264493,8.5979888,1,,,,,,,,Refinery,"Mittelstedter Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,18afbe0ad2ce7a16b960e2073d348ffb,german_fires_badhomburg_locations__18afbe0ad2ce7a16b960e2073d348ffb
mittlerer reisberg,"Mittlerer Reisberg in Bad Homburg, Germany",50.2445386,8.5819647,1,,,,,,,,IndustryTerm,"Mittlerer Reisberg in Bad Homburg, Germany",,german_fires_badhomburg_locations,1398e7ac1793f67c88133b3ca7c88126,german_fires_badhomburg_locations__1398e7ac1793f67c88133b3ca7c88126
mondorfer weg,"Mondorfer Weg in Bad Homburg, Germany",50.2214652,8.6518069,1,,,,,,,,IndustryTerm,"Mondorfer Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,0106dec201c494e682d6434f578b0121,german_fires_badhomburg_locations__0106dec201c494e682d6434f578b0121
moselstrasse,"Moselstrasse in Bad Homburg, Germany",50.2273856,8.6404569,1,,,,,,,,Shipping,"Moselstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,2249cf2789d94eea4d94f8c2c115f48c,german_fires_badhomburg_locations__2249cf2789d94eea4d94f8c2c115f48c
mussbachstrasse,"Mussbachstrasse in Bad Homburg, Germany",50.2301766,8.6094883,1,,,,,,,,Keyphrase,"Mussbachstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,132f82c3977f02daa1030e5ebcdbbd7d,german_fires_badhomburg_locations__132f82c3977f02daa1030e5ebcdbbd7d
muhlgasse,"Muhlgasse in Bad Homburg, Germany",50.2308839,8.6098678,1,,,,,,,,Media,"Muhlgasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,159ea142de30fd2eb9a975965f3bff95,german_fires_badhomburg_locations__159ea142de30fd2eb9a975965f3bff95
