keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_josh_cahill,Josh Cahill,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCJmkopWuQxI9U0NQaOcl68Q,Shipping,Josh Cahill,,dgm_youtube_crisk,d98aa4938bfbc56e7efa16d5e144ea5b,dgm_youtube_crisk__d98aa4938bfbc56e7efa16d5e144ea5b
yt_doorstoauto,DoorsToAuto,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCZzMTQXy_6q_U15HjcAx0Tg,ForeignMinistry,DoorsToAuto,,dgm_youtube_crisk,3e25458b19f1e65c732391edf98eac12,dgm_youtube_crisk__3e25458b19f1e65c732391edf98eac12
yt_cruise_fever,Cruise Fever,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC_RAdH6DFMSMYa1f8YmTbCA,Shipping,Cruise Fever,,dgm_youtube_crisk,ba484c630ee33633eeab095feeeffc90,dgm_youtube_crisk__ba484c630ee33633eeab095feeeffc90
yt_carter_farr,Carter Farr,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCtLCYjLS_Q8BjoXP3TWkzmg,CompanyKeyword,Carter Farr,,dgm_youtube_crisk,3264204447908f6ebb78c50207a82fb9,dgm_youtube_crisk__3264204447908f6ebb78c50207a82fb9
yt_babbletop,BabbleTop,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCX--mGSg0UwDjl7MDL8H5Jg,Media,BabbleTop,,dgm_youtube_crisk,f474d0c59430176765d630026a18679c,dgm_youtube_crisk__f474d0c59430176765d630026a18679c
yt_taziar_travel,Taziar Travel,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCg7U3bHo6o9bc26dsu5furQ,Wells,Taziar Travel,,dgm_youtube_crisk,c1d8f49f0be802748653b6c5246c3e7a,dgm_youtube_crisk__c1d8f49f0be802748653b6c5246c3e7a
yt_life_well_cruised,Life Well Cruised,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCbClHUGuOmFeZFWJyTTRnFw,DiplomaticFacilities,Life Well Cruised,,dgm_youtube_crisk,feb47b09969d54c1114d2465e57d86c2,dgm_youtube_crisk__feb47b09969d54c1114d2465e57d86c2
yt_griff_&_alyssa,Griff & Alyssa,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC6We4CmdugvBM3pcW8sVQYg,Wells,Griff & Alyssa,,dgm_youtube_crisk,323e8b8aa2bfa637231b3322a6b6a1ca,dgm_youtube_crisk__323e8b8aa2bfa637231b3322a6b6a1ca
yt_strictly_credit_cards,Strictly Credit Cards,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC4NOTvnBYr2YFj2Al9GVbTA,Shipping,Strictly Credit Cards,,dgm_youtube_crisk,938366aebb86ef82bff18208f9d9e45a,dgm_youtube_crisk__938366aebb86ef82bff18208f9d9e45a
yt_proudmoney,ProudMoney,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCDdVWGejfB3_M57sWv3yniQ,Keyphrase,ProudMoney,,dgm_youtube_crisk,5fd3ecbaa655589828b56716472c0b61,dgm_youtube_crisk__5fd3ecbaa655589828b56716472c0b61
