handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
repjeffduncan,US Representative Duncan,South Carolina,agency;agency leadership;courthouse,legislator,33.836081,-81.1637245,,,Legislator,US Representative Duncan,,legislator_dgm_usms_mentioner_entities,cf36c5a395c60a3c6f1274f406f02977,legislator_dgm_usms_mentioner_entities__cf36c5a395c60a3c6f1274f406f02977
repkarenbass,US Representative Bass,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Bass,,legislator_dgm_usms_mentioner_entities,ea0687648c7d01beaa72e8fb9cdfe8f1,legislator_dgm_usms_mentioner_entities__ea0687648c7d01beaa72e8fb9cdfe8f1
repwalberg,US Representative Walberg,Michigan,agency;agency leadership;courthouse,legislator,44.3148443,-85.6023643,,,Legislator,US Representative Walberg,,legislator_dgm_usms_mentioner_entities,716e9fa737ffd9e06b945128aed3ca06,legislator_dgm_usms_mentioner_entities__716e9fa737ffd9e06b945128aed3ca06
rephartzler,US Representative Hartzler,Missouri,agency;agency leadership;courthouse,legislator,37.9642529,-91.8318334,,,Legislator,US Representative Hartzler,,legislator_dgm_usms_mentioner_entities,858401acc35115940c98bbe0840e4720,legislator_dgm_usms_mentioner_entities__858401acc35115940c98bbe0840e4720
repstevechabot,US Representative Chabot,Ohio,agency;agency leadership;courthouse,legislator,40.4172871,-82.907123,,,Legislator,US Representative Chabot,,legislator_dgm_usms_mentioner_entities,4f835e2b588200fa2ad3e8c648fae0e5,legislator_dgm_usms_mentioner_entities__4f835e2b588200fa2ad3e8c648fae0e5
repbillflores,US Representative Flores,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Flores,,legislator_dgm_usms_mentioner_entities,e3c9dbed2bdb68060ec7c07422976be7,legislator_dgm_usms_mentioner_entities__e3c9dbed2bdb68060ec7c07422976be7
repmaloney,US Representative Carolyn Maloney,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Representative Carolyn Maloney,,legislator_dgm_usms_mentioner_entities,92b4b4f91d41a9f48567e30115c02eed,legislator_dgm_usms_mentioner_entities__92b4b4f91d41a9f48567e30115c02eed
cheribustos,US Representative Bustos,Illinois,agency;agency leadership;courthouse,legislator,40.6331249,-89.3985283,,,Legislator,US Representative Bustos,,legislator_dgm_usms_mentioner_entities,9b8f6e8ed0af11208e9f3cb84e089e64,legislator_dgm_usms_mentioner_entities__9b8f6e8ed0af11208e9f3cb84e089e64
repjoewilson,US Representative Joe Wilson,South Carolina,agency;agency leadership;courthouse,legislator,33.836081,-81.1637245,,,Legislator,US Representative Joe Wilson,,legislator_dgm_usms_mentioner_entities,388f816c23e7c81c6de97963b09f325f,legislator_dgm_usms_mentioner_entities__388f816c23e7c81c6de97963b09f325f
reptomreed,US Representative Reed,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Representative Reed,,legislator_dgm_usms_mentioner_entities,171d35e9931c2ea38bc190cf87600a2a,legislator_dgm_usms_mentioner_entities__171d35e9931c2ea38bc190cf87600a2a
reppeterdefazio,US Representative DeFazio,Oregon,agency;agency leadership;courthouse,legislator,43.8041334,-120.5542012,,,Legislator,US Representative DeFazio,,legislator_dgm_usms_mentioner_entities,89761d0335dd08374f462e74f1e9366b,legislator_dgm_usms_mentioner_entities__89761d0335dd08374f462e74f1e9366b
sanfordbishop,US Representative Sanford Bishop,Georgia,agency;agency leadership;courthouse,legislator,32.1656221,-82.9000751,,,Legislator,US Representative Sanford Bishop,,legislator_dgm_usms_mentioner_entities,91d3bd2e36c74bc0a1fa92ac44bb3f3b,legislator_dgm_usms_mentioner_entities__91d3bd2e36c74bc0a1fa92ac44bb3f3b
repannaeshoo,US Representative Eshoo,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Eshoo,,legislator_dgm_usms_mentioner_entities,912cad46e314f77afd974f84f4d0103b,legislator_dgm_usms_mentioner_entities__912cad46e314f77afd974f84f4d0103b
