german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
haggenmillerstrasse,"Haggenmillerstrasse in Munich, Germany",48.184638,11.5641193,1,,,,,,Wells,"Haggenmillerstrasse in Munich, Germany",,german_fires_munich_locations,f15598197574dd92af08656fd7fdf2c7,german_fires_munich_locations__e28a765f6c691bb5511a3e4559167aca
haherweg,"Haherweg in Munich, Germany",48.1152798,11.7011888,1,,,,,,Legislator,"Haherweg in Munich, Germany",,german_fires_munich_locations,d1fc3bc0a8549a580c092ae9b435af6d,german_fires_munich_locations__939e78c390ba9a20e5804693083da63a
hahndorfer strasse,"Hahndorfer Strasse in Munich, Germany",48.1198545,11.5132841,1,,,,,,IndustryTerm,"Hahndorfer Strasse in Munich, Germany",,german_fires_munich_locations,25b85b18c1c738fe599a85c119b5ada7,german_fires_munich_locations__5f0540643171f83ab15313fedb4225d1
hahnemannstrasse,"Hahnemannstrasse in Munich, Germany",48.1767395,11.46773,1,,,,,,Shipping,"Hahnemannstrasse in Munich, Germany",,german_fires_munich_locations,eb756347d1039464404ba10ff2755917,german_fires_munich_locations__35b0261766cba4b54e8ab12b1189a663
hahnenstrasse,"Hahnenstrasse in Munich, Germany",48.1451835,11.5818401,1,,,,,,Pipeline,"Hahnenstrasse in Munich, Germany",,german_fires_munich_locations,09e371fe821e58bdfbd8bd182f8fdfab,german_fires_munich_locations__9b3ea34c70cd4063a5df47f65ca2b6d1
haidelweg,"Haidelweg in Munich, Germany",48.1363037,11.4568011,1,,,,,,Refinery,"Haidelweg in Munich, Germany",,german_fires_munich_locations,5920300e932f9afd6acf1317309ef56b,german_fires_munich_locations__0444416b6788f4af13da23761202593f
haidenaupl.,"Haidenaupl. in Munich, Germany",48.133087,11.6113554,1,,,,,,News,"Haidenaupl. in Munich, Germany",,german_fires_munich_locations,0bdcb8758912c7610c026b210c1e1602,german_fires_munich_locations__bce24680e3425ae8d749fe45e55aa9f9
haidhauser strasse,"Haidhauser Strasse in Munich, Germany",48.134101,11.6088052,1,,,,,,Refinery,"Haidhauser Strasse in Munich, Germany",,german_fires_munich_locations,8d3ef448340c4bbb84cd38a371aec042,german_fires_munich_locations__8c468c45870cd8c01becf1a0b6114280
haimhauserstrasse,"Haimhauserstrasse in Munich, Germany",48.1622056,11.5900757,1,,,,,,Consulates,"Haimhauserstrasse in Munich, Germany",,german_fires_munich_locations,08b982f651db41d352c6c351c165a857,german_fires_munich_locations__d74f34e5a2bcaa829097128cc0efd452
haimonstrasse,"Haimonstrasse in Munich, Germany",48.173136,11.6232424,1,,,,,,Refinery,"Haimonstrasse in Munich, Germany",,german_fires_munich_locations,89b44fca1bd15707e1d151c92259d3ae,german_fires_munich_locations__b36c2a6a9113ac813a910f682fc578ab
hainbuchenstrasse,"Hainbuchenstrasse in Munich, Germany",48.1921581,11.5504201,1,,,,,,Consulates,"Hainbuchenstrasse in Munich, Germany",,german_fires_munich_locations,67f3394ad99a9d8c76c38245a9fdf89a,german_fires_munich_locations__1b73d7034139fbad16f5444821b55a97
halbigstrasse,"Halbigstrasse in Munich, Germany",48.1084661,11.5672474,1,,,,,,Organization,"Halbigstrasse in Munich, Germany",,german_fires_munich_locations,b452796b0c1d5c774c989638ce16a5ce,german_fires_munich_locations__5236988a43a63b7b947ed037bf0d9238
halblingweg,"Halblingweg in Munich, Germany",48.1169232,11.6548371,1,,,,,,ForeignMinister,"Halblingweg in Munich, Germany",,german_fires_munich_locations,53ec4bfd5638d15fa880aa13a1e73091,german_fires_munich_locations__46f241507489dce75d4553bd91575f81
halbreiterstrasse,"Halbreiterstrasse in Munich, Germany",48.0796658,11.5149651,1,,,,,,DiplomaticFacilities,"Halbreiterstrasse in Munich, Germany",,german_fires_munich_locations,f635ad669f0eb75f9d0f15e20b8ceb8e,german_fires_munich_locations__1041c7d1788dc76f0e39220d47b7e23a
haldenbergerstrasse,"Haldenbergerstrasse in Munich, Germany",48.1765211,11.4896572,1,,,,,,ForeignMinister,"Haldenbergerstrasse in Munich, Germany",,german_fires_munich_locations,68cf1cfe15c067df707c74c1bca5d28c,german_fires_munich_locations__875185d1c512f134f84401a88223757a
haldenseestrasse,"Haldenseestrasse in Munich, Germany",48.1186499,11.6261419,1,,,,,,News,"Haldenseestrasse in Munich, Germany",,german_fires_munich_locations,c7e2e9f7a0aafef507218d039f97e1c5,german_fires_munich_locations__a0940dbb887a368bf299c7a2054f9ac7
halfinger strasse,"Halfinger Strasse in Munich, Germany",48.1259475,11.6540539,1,,,,,,Wells,"Halfinger Strasse in Munich, Germany",,german_fires_munich_locations,bae8c02054497e2213a11afa34d66c8d,german_fires_munich_locations__27b077478ceed47535434aa67b537861
halleiner strasse,"Halleiner Strasse in Munich, Germany",48.1069776,11.6664932,1,,,,,,Exec,"Halleiner Strasse in Munich, Germany",,german_fires_munich_locations,629395aa40ff6045c685e8bcfee0fa69,german_fires_munich_locations__b0fad19501b1dd8d23e76899f3b32b04
hallescher weg,"Hallescher Weg in Munich, Germany",48.1845391,11.5128287,1,,,,,,IndustryTerm,"Hallescher Weg in Munich, Germany",,german_fires_munich_locations,3768074b68392fb21de137a5e649f642,german_fires_munich_locations__ec00d5ffd83c49cb4bf1b6c13409cd9c
hallgartenstrasse,"Hallgartenstrasse in Munich, Germany",48.1147943,11.4991715,1,,,,,,FTO,"Hallgartenstrasse in Munich, Germany",,german_fires_munich_locations,90d0118bac71dd5f345f34ec2be3295c,german_fires_munich_locations__d00f3f3e29ee472ff7009895c60aedd4
halligenpl.,"Halligenpl. in Munich, Germany",48.1185502,11.6630046,1,,,,,,IndustryTerm,"Halligenpl. in Munich, Germany",,german_fires_munich_locations,1cc20402f7fdd9d741b3af0a2a9738c0,german_fires_munich_locations__88335e9272d8e13a61198ef41f06d725
