company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aware,2483b0868ee7a6673c85fee03465ca61,Aware,Other,"Bedford, MA, USA",42.4906231,-71.2760089,Media,Aware,,us_sec_company,70a50d1e220e10e98d0f32a8d49be2a8,us_sec_company__70a50d1e220e10e98d0f32a8d49be2a8
axalta coating systems,00c810b4cd9910f366999eed86c7ad94,Axalta Coating Systems,Other,"Philadelphia, PA, USA",39.9525839,-75.1652215,Consulates,Axalta Coating Systems,,us_sec_company,02a7c1026306206f6ff951ff110e188f,us_sec_company__02a7c1026306206f6ff951ff110e188f
axcelis technologies,6a5fb21b91358bc8ec9bbf310b348dbd,Axcelis Technologies,Other,"Beverly, MA, USA",42.5584283,-70.880049,DiplomaticFacilities,Axcelis Technologies,,us_sec_company,219223e45702872f9a834f76bc66fadb,us_sec_company__219223e45702872f9a834f76bc66fadb
axcella health,0d5208cfd30b03ecb58fa3ad1259f65d,Axcella Health,Other,"Cambridge, MA, USA",42.3736158,-71.1097335,ForeignMinistry,Axcella Health,,us_sec_company,73a3dcedd6155118c6c3017880e3bcd7,us_sec_company__73a3dcedd6155118c6c3017880e3bcd7
axis capital holdings,e49d5a30d278aef48ad957989cb1e38b,AXIS Capital Holdings Limited,Other,"Pembroke, Bermuda",32.3007672,-64.796263,space,AXIS Capital Holdings Limited,,us_sec_company,d287aa5fc3d17bbfe57eb297fcb6e484,us_sec_company__d287aa5fc3d17bbfe57eb297fcb6e484
axogen,f26b5a20ab76cf898793383951b7b051,AxoGen,Other,"Alachua, FL, USA",29.7938144,-82.4944226,Diplomat,AxoGen,,us_sec_company,e0aaa16f2b01f2ecb71c4cfc09fa4401,us_sec_company__e0aaa16f2b01f2ecb71c4cfc09fa4401
axon enterprise,70eda9162350bfec602da4b3d82e434c,Axon Enterprise,Other,"Scottsdale, AZ, USA",33.4941704,-111.9260519,Legislator,Axon Enterprise,,us_sec_company,d1e5145c9c19c75e633a584905270928,us_sec_company__d1e5145c9c19c75e633a584905270928
axonics modulation technologies,2ead4bab96988bd78ba7e2453a131b83,Axonics Modulation Technologies,Other,"Irvine, CA, USA",33.6845673,-117.8265049,Keyphrase,Axonics Modulation Technologies,,us_sec_company,c95d126135b46367cbdc6e3415160165,us_sec_company__c95d126135b46367cbdc6e3415160165
axos financial,c19839c30879bfc6e2550ef085d86ec6,Axos Financial,Other,"San Diego, CA, USA",32.715738,-117.1610838,Media,Axos Financial,,us_sec_company,d21e0d66d01129a722f2fc77dadd46b0,us_sec_company__d21e0d66d01129a722f2fc77dadd46b0
axsome therapeutics,caa04b5ad4938f38a8a382a54d06c166,Axsome Therapeutics,Other,"New York, NY, USA",40.7127753,-74.0059728,AAEntity,Axsome Therapeutics,,us_sec_company,f9e98c26e274da1dc0896ecaa9c0c281,us_sec_company__f9e98c26e274da1dc0896ecaa9c0c281
axt,1710dc1082a8794c3845f53530f80079,AXT,Other,"Fremont, CA, USA",37.5485396,-121.988583,Media,AXT,,us_sec_company,76d02d5a1ea612ffe1d053a76503d93c,us_sec_company__76d02d5a1ea612ffe1d053a76503d93c
aytu bioscience,3aafa9a7eff800f24811d90d724a71f5,Aytu BioScience,Other,"Englewood, CO, USA",39.6477653,-104.9877597,Refinery,Aytu BioScience,,us_sec_company,eb336f135064f8b53dce38e7c2372f69,us_sec_company__eb336f135064f8b53dce38e7c2372f69
azul,3bd1d89c05bc54f9fb2433937e0c3be4,Azul S.A.,Other,"Barueri, Sao Paulo, Brazil",-23.5113691,-46.872942,AAEntity,Azul S.A.,,us_sec_company,d4f473267f2a014ad1cc32b0a444b05f,us_sec_company__d4f473267f2a014ad1cc32b0a444b05f
azure power global,b2b47a9047d1f42e801c6bee66e58c1d,Azure Power Global Limited,Other,"New Delhi, Delhi, India",28.6139391,77.2090212,Refinery,Azure Power Global Limited,,us_sec_company,ed9337381d213ab8393d816890d6bd76,us_sec_company__ed9337381d213ab8393d816890d6bd76
azurrx biopharma,818d0e70bd92e8430fc2fa84b271c24d,AzurRx BioPharma,Other,"Brooklyn, NY, USA",40.6781784,-73.9441579,News,AzurRx BioPharma,,us_sec_company,f4fc1235bb21e83297141704b5cc324f,us_sec_company__f4fc1235bb21e83297141704b5cc324f
azz,d67cbfe8bf6ff28b2968e894eb31ad6a,AZZ,Other,"Fort Worth, TX, USA",32.7554883,-97.3307658,Refinery,AZZ,,us_sec_company,90926e56ec677d0b3f5b94f3ada26fa3,us_sec_company__90926e56ec677d0b3f5b94f3ada26fa3
