keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
l'Vanuatu,vanuatu,vanuatu,Country,Country,vanuatu,,dgm_traveladvisories_country_fr,d0df5ce5502e665036f444f1b4237f2f,dgm_traveladvisories_country_fr__d0df5ce5502e665036f444f1b4237f2f
l'Vatican,vatican,vatican,Country,Country,vatican,,dgm_traveladvisories_country_fr,28d654b9b14454ee012f69d372ad4754,dgm_traveladvisories_country_fr__28d654b9b14454ee012f69d372ad4754
l'Venezue,venezuela,venezuela,Country,Country,venezuela,,dgm_traveladvisories_country_fr,e65a612aab8846b113341efa15bba910,dgm_traveladvisories_country_fr__e65a612aab8846b113341efa15bba910
l'Viêt-Nam,vietnam,vietnam,Country,Country,vietnam,,dgm_traveladvisories_country_fr,5f8f9e33bb5e13848af2622b66b2308c,dgm_traveladvisories_country_fr__5f8f9e33bb5e13848af2622b66b2308c
l'pays de Gal,wales,wales,Country,Country,wales,,dgm_traveladvisories_country_fr,eea7530d166b6279d2720929639973d1,dgm_traveladvisories_country_fr__eea7530d166b6279d2720929639973d1
l'Samoa occidenta,western samoa,western samoa,Country,Country,western samoa,,dgm_traveladvisories_country_fr,11fc063f1501c930f97d5643c21742a4,dgm_traveladvisories_country_fr__11fc063f1501c930f97d5643c21742a4
l'Yémen,yemen,yemen,Country,Country,yemen,,dgm_traveladvisories_country_fr,493e7a99c604de36955b21f24b528249,dgm_traveladvisories_country_fr__493e7a99c604de36955b21f24b528249
l'Yougosvie,yugoslavia,yugoslavia,Country,Country,yugoslavia,,dgm_traveladvisories_country_fr,950ebd5e5210cde05fbeb25de2db1b22,dgm_traveladvisories_country_fr__950ebd5e5210cde05fbeb25de2db1b22
l'Zaïre,zaire (congo),zaire (congo),Country,Country,zaire (congo),,dgm_traveladvisories_country_fr,d07cd4f292a68626cc8cd0f309ac4d97,dgm_traveladvisories_country_fr__d07cd4f292a68626cc8cd0f309ac4d97
l'Zambie,zambia,zambia,Country,Country,zambia,,dgm_traveladvisories_country_fr,dfa43abd63431f47d6c7d638c49e4267,dgm_traveladvisories_country_fr__dfa43abd63431f47d6c7d638c49e4267
l'Zimbabwe,zimbabwe,zimbabwe,Country,Country,zimbabwe,,dgm_traveladvisories_country_fr,f5a65b13e37f89a3ab7c29e319dcda03,dgm_traveladvisories_country_fr__f5a65b13e37f89a3ab7c29e319dcda03
