handle,caption_name,location,groups,entity_type,location_lower,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
conespmontreal,"Spanish Consulate in Montreal, QC",Canada,canada;spain,Embassies & Consulates,canada,canada;spain;slg;og,,Embassies&Consulates,"Spanish Consulate in Montreal, QC",,dos_mentions_entities,cdd6cbe69f1c40b9dfb1f8c1958301f3,dos_mentions_entities__cdd6cbe69f1c40b9dfb1f8c1958301f3
kosovoinjapan,Kosovan Embassy in Japan,Japan,japan;kosovo,Embassies & Consulates,japan,japan;kosovo;slg;og,,Embassies&Consulates,Kosovan Embassy in Japan,,dos_mentions_entities,b49b60897351b84c03a3dda2076305cc,dos_mentions_entities__b49b60897351b84c03a3dda2076305cc
sknhcuk,UK Embasssy in Saint Kitts and Nevis,Saint Kitts and Nevis,saint kitts and nevis;uk,Embassies & Consulates,saint kitts and nevis,saint kitts and nevis;uk;slg;og,,Embassies&Consulates,UK Embasssy in Saint Kitts and Nevis,,dos_mentions_entities,81ad599a691de6d8869c062a0e329487,dos_mentions_entities__81ad599a691de6d8869c062a0e329487
consulperuminsk,"Peruvian Consulate in Minsk, Belarus",Belarus,belarus;peru,Embassies & Consulates,belarus,belarus;peru;slg;og,,Embassies&Consulates,"Peruvian Consulate in Minsk, Belarus",,dos_mentions_entities,fbdef241ed769241c5b91b3814eaf856,dos_mentions_entities__fbdef241ed769241c5b91b3814eaf856
gibrepeu,Gibraltar Representative to EU,Belgium,belgium;gibraltar,Embassies & Consulates,belgium,belgium;gibraltar;slg;og,,Embassies&Consulates,Gibraltar Representative to EU,,dos_mentions_entities,355c7fc6672d98c8bc0e132449392238,dos_mentions_entities__355c7fc6672d98c8bc0e132449392238
luinbern,Luxembourg Embassy in Switzerland,Switzerland,switzerland;luxembourg,Embassies & Consulates,switzerland,switzerland;luxembourg;slg;og,,Embassies&Consulates,Luxembourg Embassy in Switzerland,,dos_mentions_entities,3938c1fae76228040341dbc6678a399b,dos_mentions_entities__3938c1fae76228040341dbc6678a399b
embespecuador,Spanish Embassy in Ecuador,Ecuador,ecuador;spain,Embassies & Consulates,ecuador,ecuador;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Ecuador,,dos_mentions_entities,05b48419fa0444e68e9ca87d6d8c2b55,dos_mentions_entities__05b48419fa0444e68e9ca87d6d8c2b55
embespcamerun,Spanish Embassy in Cameroon,Cameroon,cameroon;spain,Embassies & Consulates,cameroon,cameroon;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Cameroon,,dos_mentions_entities,03a4d9fc30f9e4b21c62413ced4ee3fa,dos_mentions_entities__03a4d9fc30f9e4b21c62413ced4ee3fa
embesluxemburgo,Spanish Embassy in Luxembourg,Luxembourg,luxembourg;spain,Embassies & Consulates,luxembourg,luxembourg;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Luxembourg,,dos_mentions_entities,407b6cef10bde47984d2e0cf20f96857,dos_mentions_entities__407b6cef10bde47984d2e0cf20f96857
ausconsulatela,"Australian Consulate in Los Angeles, CA",United States,united states;australia,Embassies & Consulates,united states,united states;australia;slg;og,,Embassies&Consulates,"Australian Consulate in Los Angeles, CA",,dos_mentions_entities,e88f4081e93d0da4f24d279d16058831,dos_mentions_entities__e88f4081e93d0da4f24d279d16058831
consudom_mia,"Dominican Consulate in Miami, FL",United States,united states;dominican republic,Embassies & Consulates,united states,united states;dominican republic;slg;og,,Embassies&Consulates,"Dominican Consulate in Miami, FL",,dos_mentions_entities,263bcd7c22bcdc521b8a1bff27003bf5,dos_mentions_entities__263bcd7c22bcdc521b8a1bff27003bf5
belgiuminbuja,Belgian Embassy in Burundi,Burundi,burundi;belgium,Embassies & Consulates,burundi,burundi;belgium;slg;og,,Embassies&Consulates,Belgian Embassy in Burundi,,dos_mentions_entities,5f9b24cf74e7fce1edb67c4437d77b57,dos_mentions_entities__5f9b24cf74e7fce1edb67c4437d77b57
embespangola,Spanish Embassy in Angola,Angola,angola;spain,Embassies & Consulates,angola,angola;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Angola,,dos_mentions_entities,b6462fc9dd480bf57792f4794fdfe034,dos_mentions_entities__b6462fc9dd480bf57792f4794fdfe034
peruenlaonu,Peruvian Representative to UN,United States,united states;peru,Embassies & Consulates,united states,united states;peru;slg;og,,Embassies&Consulates,Peruvian Representative to UN,,dos_mentions_entities,a093ddd5b39466ca86fe42bf44478c92,dos_mentions_entities__a093ddd5b39466ca86fe42bf44478c92
dfatinsa,Department of Foreign Affairs and Trade in South Australia,Adelaide,adelaide;australia,Embassies & Consulates,adelaide,adelaide;australia;slg;og,,Embassies&Consulates,Department of Foreign Affairs and Trade in South Australia,,dos_mentions_entities,62f02d23e7dd5d971a31723596fd6ecf,dos_mentions_entities__62f02d23e7dd5d971a31723596fd6ecf
embamexvn,Mexican Embassy in Vietnam,Vietnam,vietnam;mexico,Embassies & Consulates,vietnam,vietnam;mexico;slg;og,,Embassies&Consulates,Mexican Embassy in Vietnam,,dos_mentions_entities,ceee620657d9c32fc28f469e7c211377,dos_mentions_entities__ceee620657d9c32fc28f469e7c211377
embrdmadrid,Dominican Embassy in Spain,Spain,spain;dominican republic,Embassies & Consulates,spain,spain;dominican republic;slg;og,,Embassies&Consulates,Dominican Embassy in Spain,,dos_mentions_entities,10b5388cf14e5130cf04c3c761c01baf,dos_mentions_entities__10b5388cf14e5130cf04c3c761c01baf
russia_wto,WTO Expertise Center in Russia,Russia,russia;switzerland,Embassies & Consulates,russia,russia;switzerland;slg;og,,Embassies&Consulates,WTO Expertise Center in Russia,,dos_mentions_entities,3d160944579fd277eb3478859a0d7c8f,dos_mentions_entities__3d160944579fd277eb3478859a0d7c8f
embespargelia,Spanish Embassy in Algeria,Algeria,algeria;spain,Embassies & Consulates,algeria,algeria;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Algeria,,dos_mentions_entities,ced4037e15c3de39bd50dae528f0cdc5,dos_mentions_entities__ced4037e15c3de39bd50dae528f0cdc5
embespestonia,Spanish Embassy in Estonia,Estonia,estonia;spain,Embassies & Consulates,estonia,estonia;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Estonia,,dos_mentions_entities,a34fe543f07495f91143abe466651180,dos_mentions_entities__a34fe543f07495f91143abe466651180
franceromania,French Embassy in Romania,Romania,romania;france,Embassies & Consulates,romania,romania;france;slg;og,,Embassies&Consulates,French Embassy in Romania,,dos_mentions_entities,43b602e4967332de943c3604f79cddb0,dos_mentions_entities__43b602e4967332de943c3604f79cddb0
indiainzambia,Indian Embassy in Zambia,Zambia,zambia;india,Embassies & Consulates,zambia,zambia;india;slg;og,,Embassies&Consulates,Indian Embassy in Zambia,,dos_mentions_entities,9949b0fe86a32f2aa51f70380fb733ef,dos_mentions_entities__9949b0fe86a32f2aa51f70380fb733ef
italyinby,Italian Embassy in Belarus,Belarus,belarus;italy,Embassies & Consulates,belarus,belarus;italy;slg;og,,Embassies&Consulates,Italian Embassy in Belarus,,dos_mentions_entities,30fb7e7e11e192faaaaa249ddd61c70c,dos_mentions_entities__30fb7e7e11e192faaaaa249ddd61c70c
ausembesp,Australian Ambassador to Spain,Spain,spain;australia,Embassies & Consulates,spain,spain;australia;slg;og,,Embassies&Consulates,Australian Ambassador to Spain,,dos_mentions_entities,d4db98c80e821170fa4665e6dff49eef,dos_mentions_entities__d4db98c80e821170fa4665e6dff49eef
kosovoinunesco,Kosovo in UNESCO Campaign,Kosovo,kosovo;kosovo,Embassies & Consulates,kosovo,kosovo;kosovo;slg;og,,Embassies&Consulates,Kosovo in UNESCO Campaign,,dos_mentions_entities,4d99bb85d19cf29e62aeae446e7bd32e,dos_mentions_entities__4d99bb85d19cf29e62aeae446e7bd32e
cgespginebra,"Spanish Consulate in Geneva, Switzerland",Switzerland,switzerland;spain,Embassies & Consulates,switzerland,switzerland;spain;slg;og,,Embassies&Consulates,"Spanish Consulate in Geneva, Switzerland",,dos_mentions_entities,21c503fc39d4858457a229d7bb4eb72d,dos_mentions_entities__21c503fc39d4858457a229d7bb4eb72d
ecuadorvienna,Ecuadorian Embassy in Austria,Vienna,vienna;ecuador,Embassies & Consulates,vienna,vienna;ecuador;slg;og,,Embassies&Consulates,Ecuadorian Embassy in Austria,,dos_mentions_entities,8cfcb681fc48295ab2d49883dcf87207,dos_mentions_entities__8cfcb681fc48295ab2d49883dcf87207
espunesco,Spanish Delegation to UNESCO,France,france;spain,Embassies & Consulates,france,france;spain;slg;og,,Embassies&Consulates,Spanish Delegation to UNESCO,,dos_mentions_entities,4b5ba43693d147bc1a86bec3f8ce6052,dos_mentions_entities__4b5ba43693d147bc1a86bec3f8ce6052
embavehungria,Veneuzuelan Embassy in Hungary,Budapest,budapest;venezuela,Embassies & Consulates,budapest,budapest;venezuela;slg;og,,Embassies&Consulates,Veneuzuelan Embassy in Hungary,,dos_mentions_entities,92cb49bb1221e2d8a9d0309090e6c1e7,dos_mentions_entities__92cb49bb1221e2d8a9d0309090e6c1e7
belarusembukr,Belarussian Embassy in Ukraine,Ukraine,ukraine;belarus,Embassies & Consulates,ukraine,ukraine;belarus;slg;og,,Embassies&Consulates,Belarussian Embassy in Ukraine,,dos_mentions_entities,5984797cbf87da541d14be0a363027da,dos_mentions_entities__5984797cbf87da541d14be0a363027da
peruenarg,Peruvian Embassy in Argentina,Argentina,argentina;peru,Embassies & Consulates,argentina,argentina;peru;slg;og,,Embassies&Consulates,Peruvian Embassy in Argentina,,dos_mentions_entities,450b834a7c3abc258722cd6b3a6e7fe5,dos_mentions_entities__450b834a7c3abc258722cd6b3a6e7fe5
cgesplondres,"Spanish Consulate in London, UK",UK,uk;spain;united kingdom,Embassies & Consulates,uk,uk;spain;united kingdom;slg;og,,Embassies&Consulates,"Spanish Consulate in London, UK",,dos_mentions_entities,b51b4f0a2b12eb4e53e46256d9d855dc,dos_mentions_entities__b51b4f0a2b12eb4e53e46256d9d855dc
belarusunog,Belarussian Mission to UN,Switzerland,switzerland;belarus,Embassies & Consulates,switzerland,switzerland;belarus;slg;og,,Embassies&Consulates,Belarussian Mission to UN,,dos_mentions_entities,de7ce87f3f772418f8efbe60f86e142c,dos_mentions_entities__de7ce87f3f772418f8efbe60f86e142c
