handle,caption_name,location,location_lower,type,exclude_groups,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
karstenklepsvik,Norwegian Ambassador to Lithuania,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;norway,Ambassadors&Representatives,Norwegian Ambassador to Lithuania,,dgm_og_mentioner_v6,67a3460f2f9d9849d8e86384b0ec0061,dgm_og_mentioner_v6__67a3460f2f9d9849d8e86384b0ec0061
fcobrianolley,UK Ambassador to Lithuania,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;uk,Ambassadors&Representatives,UK Ambassador to Lithuania,,dgm_og_mentioner_v6,62c1be7cf4540facc0492ab86ba46977,dgm_og_mentioner_v6__62c1be7cf4540facc0492ab86ba46977
ramurmoka,Lithuanian Foreign Affairs Ministry Political Director,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;lithuania,Ambassadors&Representatives,Lithuanian Foreign Affairs Ministry Political Director,,dgm_og_mentioner_v6,b46a5c792a694146b2971cabad0a1139,dgm_og_mentioner_v6__b46a5c792a694146b2971cabad0a1139
meilunase,Lithuanian Deputy Foreign Affairs Minister,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;lithuania,Ambassadors&Representatives,Lithuanian Deputy Foreign Affairs Minister,,dgm_og_mentioner_v6,7ff823e2760441e1c0f3185cf7b745dc,dgm_og_mentioner_v6__7ff823e2760441e1c0f3185cf7b745dc
leskevicius,Lithuanian Vice Foreign Minister,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;lithuania,Ambassadors&Representatives,Lithuanian Vice Foreign Minister,,dgm_og_mentioner_v6,f15440b8ccd5cbf41eb17d67ba09b8e0,dgm_og_mentioner_v6__f15440b8ccd5cbf41eb17d67ba09b8e0
hmavilnius,UK Ambassador to Lithuania,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;united kingdom,Ambassadors&Representatives,UK Ambassador to Lithuania,,dgm_og_mentioner_v6,62c1be7cf4540facc0492ab86ba46977,dgm_og_mentioner_v6__62c1be7cf4540facc0492ab86ba46977
horbachbonnie,Dutch Ambassador to Lithuania,Lithuania,lithuania,Ambassadors & Representatives,,,lithuania;netherlands,Ambassadors&Representatives,Dutch Ambassador to Lithuania,,dgm_og_mentioner_v6,2c77bb7fba73188e72a4b7e1382ef592,dgm_og_mentioner_v6__2c77bb7fba73188e72a4b7e1382ef592
glandsbergis,Lithuanian Foreign Minister Landsbergis,Lithuania,lithuania,Foreign Minister,,,lithuania,ForeignMinister,Lithuanian Foreign Minister Landsbergis,,dgm_og_mentioner_v6,f3459da4005089624a83f6f6fd2d6083,dgm_og_mentioner_v6__f3459da4005089624a83f6f6fd2d6083
lithuaniamfa,Lithuanian Foreign Ministry,Lithuania,lithuania,Foreign Ministry,,,lithuania,ForeignMinistry,Lithuanian Foreign Ministry,,dgm_og_mentioner_v6,0dab298da7eaaf78f05cb50643e94b79,dgm_og_mentioner_v6__0dab298da7eaaf78f05cb50643e94b79
gitanasnauseda,Lithuanian President Nauseda,Lithuania,lithuania,Heads of State,,,lithuania,HeadsOfState,Lithuanian President Nauseda,,dgm_og_mentioner_v6,5a51868a8a4db9c31122fcce8252e08f,dgm_og_mentioner_v6__5a51868a8a4db9c31122fcce8252e08f
skvernelis_s,Lithuanian Prime Minister Skvernelis,Lithuania,lithuania,Heads of State,,,lithuania,HeadsOfState,Lithuanian Prime Minister Skvernelis,,dgm_og_mentioner_v6,07c7a9a1c59e8e670bcd65552a462473,dgm_og_mentioner_v6__07c7a9a1c59e8e670bcd65552a462473
ingridasimonyte,Lithuanian Prime Minister Simonyte,Lithuania,lithuania,heads of State,,,lithuania,HeadsOfState,Lithuanian Prime Minister Simonyte,,dgm_og_mentioner_v6,6bdb307c54759476d9a1a062ca142098,dgm_og_mentioner_v6__6bdb307c54759476d9a1a062ca142098
lt_mfa_stratcom,Lithuanian Foreign Ministry,Lithuuania,lithuuania,Foreign Ministry,,,lithuuania,ForeignMinistry,Lithuanian Foreign Ministry,,dgm_og_mentioner_v6,0dab298da7eaaf78f05cb50643e94b79,dgm_og_mentioner_v6__0dab298da7eaaf78f05cb50643e94b79
bruno_perdu,French Ambassador to Luxembourg,Luxembourg,luxembourg,Ambassadors & Representatives,,,luxembourg;france,Ambassadors&Representatives,French Ambassador to Luxembourg,,dgm_og_mentioner_v6,01eccc2a19fb2c1dcac73e92c07d5d06,dgm_og_mentioner_v6__01eccc2a19fb2c1dcac73e92c07d5d06
vladimirbaertl,Czech Ambassador to Luxembourg,Luxembourg,luxembourg,Ambassadors & Representatives,,,luxembourg;czech republic,Ambassadors&Representatives,Czech Ambassador to Luxembourg,,dgm_og_mentioner_v6,4c29680079ba404bb989107a79aa9b80,dgm_og_mentioner_v6__4c29680079ba404bb989107a79aa9b80
mfa_lu,Luxembourg Foreign Ministry,Luxembourg,luxembourg,Foreign Ministry,,,luxembourg,ForeignMinistry,Luxembourg Foreign Ministry,,dgm_og_mentioner_v6,e393024e51aed28dc1a8034f7222021a,dgm_og_mentioner_v6__e393024e51aed28dc1a8034f7222021a
xavier_bettel,Luxembourg Prime Minister Bettel,luxembourg,luxembourg,Heads of State,,,luxembourg,HeadsOfState,Luxembourg Prime Minister Bettel,,dgm_og_mentioner_v6,1cce572852a64c6f38d5d0e2eca73272,dgm_og_mentioner_v6__1cce572852a64c6f38d5d0e2eca73272
gastonstronck,Luxembourgish Ambassador to US,Luxembourg,luxembourg,Host Nation Ambassadors to US,,,luxembourg,HostNationAmbassadorsToUs,Luxembourgish Ambassador to US,,dgm_og_mentioner_v6,86cd674c7e2fbcc27a4267fc330a1b96,dgm_og_mentioner_v6__86cd674c7e2fbcc27a4267fc330a1b96
bujar_o,North Macedonian Foreign Minister Osmani,Macedonia,macedonia,Foreign Minister,,,macedonia,ForeignMinister,North Macedonian Foreign Minister Osmani,,dgm_og_mentioner_v6,e7a83b9178971a29fefc7f4c8c34ec5c,dgm_og_mentioner_v6__e7a83b9178971a29fefc7f4c8c34ec5c
mfa_mkd,North Macedonian Foreign Ministry,Macedonia,macedonia,Foreign Ministry,,,macedonia,ForeignMinistry,North Macedonian Foreign Ministry,,dgm_og_mentioner_v6,e86cc6b5a466f1647ebf5f956e970a52,dgm_og_mentioner_v6__e86cc6b5a466f1647ebf5f956e970a52
spendarovski,North Macedonain President Pendarovski,macedonia,macedonia,Heads of State,,,macedonia,HeadsOfState,North Macedonain President Pendarovski,,dgm_og_mentioner_v6,40d9f38d42f54fce18ce43419320ad43,dgm_og_mentioner_v6__40d9f38d42f54fce18ce43419320ad43
usambnmacedonia,US Ambassador to North Macedonia Byrnes,Macedonia,macedonia,US ambassadors,,,macedonia;united states,UsAmbassadors,US Ambassador to North Macedonia Byrnes,,dgm_og_mentioner_v6,d10691b6549bdcbaf893c9adcb9299c2,dgm_og_mentioner_v6__d10691b6549bdcbaf893c9adcb9299c2
tehindrazanari1,Madagascar Foreign Minister Tehindrazanarivelo,Madagascar,madagascar,Foreign Minister,,,madagascar,ForeignMinister,Madagascar Foreign Minister Tehindrazanarivelo,,dgm_og_mentioner_v6,6fb4ab7529b178ae3b78b4b399d4056b,dgm_og_mentioner_v6__6fb4ab7529b178ae3b78b4b399d4056b
diplomatiemg,Madagascar Foreign Ministry,Madagascar,madagascar,Foreign Ministry,,,madagascar,ForeignMinistry,Madagascar Foreign Ministry,,dgm_og_mentioner_v6,32b35bc689c312dd9f63130dacb95049,dgm_og_mentioner_v6__32b35bc689c312dd9f63130dacb95049
se_rajoelina,Madagascar President Rajoelina,Madagascar,madagascar,Heads of State,,,madagascar,HeadsOfState,Madagascar President Rajoelina,,dgm_og_mentioner_v6,34cea96461b4c21e0cd3223fa8c8c2bf,dgm_og_mentioner_v6__34cea96461b4c21e0cd3223fa8c8c2bf
ntsayc,Madagascar Prime Minister Ntsay,Madagascar,madagascar,Heads of State,,,madagascar,HeadsOfState,Madagascar Prime Minister Ntsay,,dgm_og_mentioner_v6,f292de53a7ce48bfffdfcc4bf9eb29bf,dgm_og_mentioner_v6__f292de53a7ce48bfffdfcc4bf9eb29bf
usambatana,US Ambassador to Madagascar Pelletier,Madagascar,madagascar,US ambassadors,,,madagascar;united states,UsAmbassadors,US Ambassador to Madagascar Pelletier,,dgm_og_mentioner_v6,272bc06b47f2b805724ee6f927846221,dgm_og_mentioner_v6__272bc06b47f2b805724ee6f927846221
liuhongyang4,Chinese Ambassador to Malawi,Malawi,malawi,Ambassadors & Representatives,,,malawi;china,Ambassadors&Representatives,Chinese Ambassador to Malawi,,dgm_og_mentioner_v6,c819cdef648c3852211942ce91200d66,dgm_og_mentioner_v6__c819cdef648c3852211942ce91200d66
steinarehagen,Norwegian Ambassador to Malawi and Zambia,Malawi,malawi,Ambassadors & Representatives,,,malawi;norway,Ambassadors&Representatives,Norwegian Ambassador to Malawi and Zambia,,dgm_og_mentioner_v6,c5e91f85870ba3dbccbeed3bd17b932d,dgm_og_mentioner_v6__c5e91f85870ba3dbccbeed3bd17b932d
eisenhowermkaka,Malawian Foreign Minister Eisenhower Mkaka,Malawi,malawi,Foreign Minister,,,malawi,ForeignMinister,Malawian Foreign Minister Eisenhower Mkaka,,dgm_og_mentioner_v6,1871b89d369d9318bf9660fc1197db98,dgm_og_mentioner_v6__1871b89d369d9318bf9660fc1197db98
foreignmalawi,Malawian Foreign Ministry,Malawi,malawi,Foreign Ministry,,,malawi,ForeignMinistry,Malawian Foreign Ministry,,dgm_og_mentioner_v6,dcff7bde947f85cc197791200021c40a,dgm_og_mentioner_v6__dcff7bde947f85cc197791200021c40a
ninetbarbulescu,Romanian Ambassador to Malaysia and Brunei,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;romania,Ambassadors&Representatives,Romanian Ambassador to Malaysia and Brunei,,dgm_og_mentioner_v6,312e72e54960db4b36fb09f8a24fcd9b,dgm_og_mentioner_v6__312e72e54960db4b36fb09f8a24fcd9b
michalisrokaseu,EU Ambassador to Malaysia,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;greece,Ambassadors&Representatives,EU Ambassador to Malaysia,,dgm_og_mentioner_v6,7ebcd02c67024f037d1e494071fcc473,dgm_og_mentioner_v6__7ebcd02c67024f037d1e494071fcc473
aushcmalaysia,Australian High Commissioner to Malaysia,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;australia,Ambassadors&Representatives,Australian High Commissioner to Malaysia,,dgm_og_mentioner_v6,8c53ee4c50b22f1232b70620e0877758,dgm_og_mentioner_v6__8c53ee4c50b22f1232b70620e0877758
ddannfelt,Swedish Ambassador to Malaysia,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;sweden,Ambassadors&Representatives,Swedish Ambassador to Malaysia,,dgm_og_mentioner_v6,33962276379133a901e3fd4d78fee44d,dgm_og_mentioner_v6__33962276379133a901e3fd4d78fee44d
dkambinmalaysia,Danish Ambassador to Malaysia,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;denmark,Ambassadors&Representatives,Danish Ambassador to Malaysia,,dgm_og_mentioner_v6,16db59aeacd0f3c094b060906fafc234,dgm_og_mentioner_v6__16db59aeacd0f3c094b060906fafc234
visamali,Maldivian High Commissioner to Malaysia,Malaysia,malaysia,Ambassadors & Representatives,,,malaysia;maldives,Ambassadors&Representatives,Maldivian High Commissioner to Malaysia,,dgm_og_mentioner_v6,74e7a7ee233b53933c36cebf6ab64b09,dgm_og_mentioner_v6__74e7a7ee233b53933c36cebf6ab64b09
hishammuddinh2o,Malaysian Foreign Minister Hussein,Malaysia,malaysia,Foreign Minister,,,malaysia,ForeignMinister,Malaysian Foreign Minister Hussein,,dgm_og_mentioner_v6,1a6753139d8ef2865e4318046f8fd05c,dgm_og_mentioner_v6__1a6753139d8ef2865e4318046f8fd05c
malaysiamfa,Malaysian Foreign Ministry,Malaysia,malaysia,Foreign Ministry,,,malaysia,ForeignMinistry,Malaysian Foreign Ministry,,dgm_og_mentioner_v6,fd6f078c45ac923a7bee1bb71795daca,dgm_og_mentioner_v6__fd6f078c45ac923a7bee1bb71795daca
muhyiddinyassin,Malaysian Prime Minister Muhyiddin,Malaysia,malaysia,Heads of State,,,malaysia,HeadsOfState,Malaysian Prime Minister Muhyiddin,,dgm_og_mentioner_v6,aa41ed8c3312462044314adff5c2d41b,dgm_og_mentioner_v6__aa41ed8c3312462044314adff5c2d41b
michaelpostl,Austrian Ambassador to Malaysia and Brunai,Malaysia and Brunai,malaysia and brunai,Ambassadors & Representatives,,,malaysia and brunai;austria,Ambassadors&Representatives,Austrian Ambassador to Malaysia and Brunai,,dgm_og_mentioner_v6,d786698e18bf1e3cf7d21b74ece345d8,dgm_og_mentioner_v6__d786698e18bf1e3cf7d21b74ece345d8
asim_mv,Maldivian Permanent Representative to UN,Maldives,maldives,Ambassadors & Representatives,,,maldives;maldives;un,Ambassadors&Representatives,Maldivian Permanent Representative to UN,,dgm_og_mentioner_v6,ab10e06a4af3cbc3d2b9998f8c3e6a13,dgm_og_mentioner_v6__ab10e06a4af3cbc3d2b9998f8c3e6a13
caron_rohsler,UK High Commissioner to Maldives,Maldives,maldives,Ambassadors & Representatives,,,maldives;united kingdom,Ambassadors&Representatives,UK High Commissioner to Maldives,,dgm_og_mentioner_v6,dd794f1caa3d17c6b24b80f8f63f8649,dgm_og_mentioner_v6__dd794f1caa3d17c6b24b80f8f63f8649
abdulla_shahid,Maldivian Foreign Minister Shahid,Maldives,maldives,Foreign Minister,,,maldives,ForeignMinister,Maldivian Foreign Minister Shahid,,dgm_og_mentioner_v6,7a021afebd4cdb7e88e7977989d4f10b,dgm_og_mentioner_v6__7a021afebd4cdb7e88e7977989d4f10b
mofamv,Maldivian Foreign Ministry,Maldives,maldives,Foreign Ministry,,,maldives,ForeignMinistry,Maldivian Foreign Ministry,,dgm_og_mentioner_v6,2a9ef5e44e727fa696e3d74b047daaac,dgm_og_mentioner_v6__2a9ef5e44e727fa696e3d74b047daaac
foreignmv,Maldivian Foreign Ministry,Maldives,maldives,Foreign Ministry,,,maldives,ForeignMinistry,Maldivian Foreign Ministry,,dgm_og_mentioner_v6,2a9ef5e44e727fa696e3d74b047daaac,dgm_og_mentioner_v6__2a9ef5e44e727fa696e3d74b047daaac
presidencymv,Maldivian President,maldives,maldives,Heads of State,,,maldives,HeadsOfState,Maldivian President,,dgm_og_mentioner_v6,c0fc688b607809afaff985eb31d469c5,dgm_og_mentioner_v6__c0fc688b607809afaff985eb31d469c5
thilmeeza,Maldivian Ambassador to US,Maldives,maldives,Host Nation Ambassadors to US,,,maldives,HostNationAmbassadorsToUs,Maldivian Ambassador to US,,dgm_og_mentioner_v6,cd47caea584bed7ef224976bb5b62e97,dgm_og_mentioner_v6__cd47caea584bed7ef224976bb5b62e97
liyingzhu1,Chinese Ambassador to Mali,Mali,mali,Ambassadors & Representatives,,,mali;china,Ambassadors&Representatives,Chinese Ambassador to Mali,,dgm_og_mentioner_v6,8dc12933c2b7907e9c88372eef9e1551,dgm_og_mentioner_v6__8dc12933c2b7907e9c88372eef9e1551
bigotdiplo,French Special Envoy for Sahel,Mali,mali,Ambassadors & Representatives,,,mali;france,Ambassadors&Representatives,French Special Envoy for Sahel,,dgm_og_mentioner_v6,92392807f6294c621f55afe4614bfd37,dgm_og_mentioner_v6__92392807f6294c621f55afe4614bfd37
evaemneus,Swedish Ambassador to Mali,Mali,mali,Ambassadors & Representatives,,,mali;sweden,Ambassadors&Representatives,Swedish Ambassador to Mali,,dgm_og_mentioner_v6,7c93f562882400a302faa31c33df34e5,dgm_og_mentioner_v6__7c93f562882400a302faa31c33df34e5
dkambmali,"Danish Ambassador to Mali, Senegal and Gambia",Mali,mali,Ambassadors & Representatives,,,mali;denmark,Ambassadors&Representatives,"Danish Ambassador to Mali, Senegal and Gambia",,dgm_og_mentioner_v6,a03adb07c3945494cfb51b0237ceb19e,dgm_og_mentioner_v6__a03adb07c3945494cfb51b0237ceb19e
gerrmannm,Dutch Ambassador to Mali,Mali,mali,Ambassadors & Representatives,,,mali;netherlands,Ambassadors&Representatives,Dutch Ambassador to Mali,,dgm_og_mentioner_v6,2c04b7b00f4b207ab6668d1bd1c3f960,dgm_og_mentioner_v6__2c04b7b00f4b207ab6668d1bd1c3f960
marielegault5,Canadian Charge d'Affaires to Mali,Mali,mali,Ambassadors & Representatives,,,mali;canada,Ambassadors&Representatives,Canadian Charge d'Affaires to Mali,,dgm_og_mentioner_v6,5f2c92770a36fa1a8bb4a575bb029f4a,dgm_og_mentioner_v6__5f2c92770a36fa1a8bb4a575bb029f4a
dsproudfoot,Canadian Charge d'Affairs in Mali,Mali,mali,Ambassadors & Representatives,,,mali;canada,Ambassadors&Representatives,Canadian Charge d'Affairs in Mali,,dgm_og_mentioner_v6,224f5f61d7f8da88d6e5fe32170857ce,dgm_og_mentioner_v6__224f5f61d7f8da88d6e5fe32170857ce
guywarrington,Canadian Ambassador to Ecuador,Mali,mali,Ambassadors & Representatives,,,mali;united kingdom,Ambassadors&Representatives,Canadian Ambassador to Ecuador,,dgm_og_mentioner_v6,f95a17fe981a4c10c56abd31194a3794,dgm_og_mentioner_v6__f95a17fe981a4c10c56abd31194a3794
bartouvryeu,EU Ambassador to Mali,Mali,mali,Ambassadors & Representatives,,,mali;belgium,Ambassadors&Representatives,EU Ambassador to Mali,,dgm_og_mentioner_v6,47ff4374d0b7a51f38fc7c99fb8880d9,dgm_og_mentioner_v6__47ff4374d0b7a51f38fc7c99fb8880d9
barrylowen,UK Ambassador to Mali,Mali,mali,Ambassadors & Representatives,,,mali;uk,Ambassadors&Representatives,UK Ambassador to Mali,,dgm_og_mentioner_v6,6330a0e247dbc7878b1ef28d795b4409,dgm_og_mentioner_v6__6330a0e247dbc7878b1ef28d795b4409
sahayanjani,Indian Ambassador to Mauritania and Mali,Mali,mali,Ambassadors & Representatives,,,mali;india,Ambassadors&Representatives,Indian Ambassador to Mauritania and Mali,,dgm_og_mentioner_v6,ab630d42dfd1f33c0a520966493881d9,dgm_og_mentioner_v6__ab630d42dfd1f33c0a520966493881d9
malimaeci,Mali Foreign Ministry,Mali,mali,Foreign Ministry,,,mali,ForeignMinistry,Mali Foreign Ministry,,dgm_og_mentioner_v6,ffd8b0ebbd4054010ad9863660b970a8,dgm_og_mentioner_v6__ffd8b0ebbd4054010ad9863660b970a8
usambmalta,US Charge d'Affaires to Malta,Malta,malta,Ambassadors & Representatives,,,malta;united states,Ambassadors&Representatives,US Charge d'Affaires to Malta,,dgm_og_mentioner_v6,ef153e0bb595fec409871ce283099217,dgm_og_mentioner_v6__ef153e0bb595fec409871ce283099217
aushcmalta,Australian Ambassador to Malta and Tunisia,Malta,malta,Ambassadors & Representatives,,,malta;australia,Ambassadors&Representatives,Australian Ambassador to Malta and Tunisia,,dgm_og_mentioner_v6,1fd83af412199f811734470bbba979ad,dgm_og_mentioner_v6__1fd83af412199f811734470bbba979ad
frankkeurhorst,Dutch Ambassador to Malta,Malta,malta,Ambassadors & Representatives,,,malta;netherlands,Ambassadors&Representatives,Dutch Ambassador to Malta,,dgm_og_mentioner_v6,640667453b01d10f3b793b2995500fdc,dgm_og_mentioner_v6__640667453b01d10f3b793b2995500fdc
evaristbartolo,Maltese Foreign Minister Bartolo,Malta,malta,Foreign Minister,,,malta,ForeignMinister,Maltese Foreign Minister Bartolo,,dgm_og_mentioner_v6,57f267c79c32d355798213825ed1c70f,dgm_og_mentioner_v6__57f267c79c32d355798213825ed1c70f
mfeamalta,Maltese Foreign Ministry,Malta,malta,Foreign Ministry,,,malta,ForeignMinistry,Maltese Foreign Ministry,,dgm_og_mentioner_v6,acf8fafbdc43d6cef845bac69760ecec,dgm_og_mentioner_v6__acf8fafbdc43d6cef845bac69760ecec
robertabela_mt,Maltese Prime Minister Abela,Malta,malta,Heads of State,,,malta,HeadsOfState,Maltese Prime Minister Abela,,dgm_og_mentioner_v6,e18e0a71a8c99679b44895409d032d8b,dgm_og_mentioner_v6__e18e0a71a8c99679b44895409d032d8b
presidentmt,Maltese President Vella,Malta,malta,Heads of State,,,malta,HeadsOfState,Maltese President Vella,,dgm_og_mentioner_v6,ad6bfe3f823b8f1bb6da60bb0cb463d9,dgm_og_mentioner_v6__ad6bfe3f823b8f1bb6da60bb0cb463d9
azzopardi_keith,Maltese Ambassador to US,Malta,malta,Host Nation Ambassadors to US,,,malta,HostNationAmbassadorsToUs,Maltese Ambassador to US,,dgm_og_mentioner_v6,25a6b999e6a38575f15b9c71c453392f,dgm_og_mentioner_v6__25a6b999e6a38575f15b9c71c453392f
usambmalta,US Ambassafor to Malta Green,Malta,malta,US ambassadors,,,malta;united states,UsAmbassadors,US Ambassafor to Malta Green,,dgm_og_mentioner_v6,6aa446a21fb707f0e9f4b731b5280029,dgm_og_mentioner_v6__6aa446a21fb707f0e9f4b731b5280029
min_castennemra,Marshall Islands Foreign Minister Nemra,Marshall Islands,marshall islands,Foreign Minister,,,marshall islands,ForeignMinister,Marshall Islands Foreign Minister Nemra,,dgm_og_mentioner_v6,29f756f11a8c10f4d0fe13734e81973e,dgm_og_mentioner_v6__29f756f11a8c10f4d0fe13734e81973e
mofatrmi,Marshall Islands Foreign Ministry,Marshall Islands,marshall islands,Foreign Ministry,,,marshall islands,ForeignMinistry,Marshall Islands Foreign Ministry,,dgm_og_mentioner_v6,28538bde6975971a8c4457f5ef2f7501,dgm_og_mentioner_v6__28538bde6975971a8c4457f5ef2f7501
cemkahyaoglu1,Turkish Ambassador to Mauritania,Mauritania,mauritania,Ambassadors & Representatives,,,mauritania;turkey,Ambassadors&Representatives,Turkish Ambassador to Mauritania,,dgm_og_mentioner_v6,fb5f6c4c6b633f485e2aa3367cd4a54b,dgm_og_mentioner_v6__fb5f6c4c6b633f485e2aa3367cd4a54b
cheikhghazouani,Mauritanian President El Ghazouani,Mauritania,mauritania,Heads of State,,,mauritania,HeadsOfState,Mauritanian President El Ghazouani,,dgm_og_mentioner_v6,57833e315366bc80babb3d6606c64c60,dgm_og_mentioner_v6__57833e315366bc80babb3d6606c64c60
hckeithallan,UK High Commissioner to Mauritius,Mauritius,mauritius,Ambassadors & Representatives,,,mauritius;uk,Ambassadors&Representatives,UK High Commissioner to Mauritius,,dgm_og_mentioner_v6,fa09a9572e0d4560a46528a64267970c,dgm_og_mentioner_v6__fa09a9572e0d4560a46528a64267970c
euambmauritius,EU Ambassador to Mauritius,Mauritius,mauritius,Ambassadors & Representatives,,,mauritius;eu,Ambassadors&Representatives,EU Ambassador to Mauritius,,dgm_og_mentioner_v6,57aeaa2646999bc6c02b1ededcf646cf,dgm_og_mentioner_v6__57aeaa2646999bc6c02b1ededcf646cf
mfa_mu,Mauritius Foreign Ministry,Mauritius,mauritius,Foreign Ministry,,,mauritius,ForeignMinistry,Mauritius Foreign Ministry,,dgm_og_mentioner_v6,2cf26db81508d6c4561dbf64cbca67f0,dgm_og_mentioner_v6__2cf26db81508d6c4561dbf64cbca67f0
pkjugnauth,Mauritian Prime Minister Jugnauth,Mauritius,mauritius,Heads of State,,,mauritius,HeadsOfState,Mauritian Prime Minister Jugnauth,,dgm_og_mentioner_v6,d92bcce6835db877797faaf25e30784f,dgm_og_mentioner_v6__d92bcce6835db877797faaf25e30784f
pjugnauth,Mauritian Prime Minister Jugnauth,Mauritius,mauritius,Heads of State,,,mauritius,HeadsOfState,Mauritian Prime Minister Jugnauth,,dgm_og_mentioner_v6,d92bcce6835db877797faaf25e30784f,dgm_og_mentioner_v6__d92bcce6835db877797faaf25e30784f
ambzvital,Israeli Ambassador to Mexico,Mexico,mexico,Ambassadors & Representatives,,,mexico;israel,Ambassadors&Representatives,Israeli Ambassador to Mexico,,dgm_og_mentioner_v6,1bca2c717b11d3dff9bf237099f5483b,dgm_og_mentioner_v6__1bca2c717b11d3dff9bf237099f5483b
shemingwaymx,Canadian Embassy Minister Counsellor in Mexico,Mexico,mexico,Ambassadors & Representatives,,,mexico;canada,Ambassadors&Representatives,Canadian Embassy Minister Counsellor in Mexico,,dgm_og_mentioner_v6,aa95510788be733cfa83eaade7dbc188,dgm_og_mentioner_v6__aa95510788be733cfa83eaade7dbc188
usambmex,US Ambassador to Mexico,Mexico,mexico,Ambassadors & Representatives,,,mexico;united states,Ambassadors&Representatives,US Ambassador to Mexico,,dgm_og_mentioner_v6,a1f308a7bb3f275edb60689a1cf2774a,dgm_og_mentioner_v6__a1f308a7bb3f275edb60689a1cf2774a
gautiermignot2,EU Ambassador to Mexico,Mexico,mexico,Ambassadors & Representatives,,,mexico;france,Ambassadors&Representatives,EU Ambassador to Mexico,,dgm_og_mentioner_v6,d13b3b0d47b090e5a7ae95c2a9cb6807,dgm_og_mentioner_v6__d13b3b0d47b090e5a7ae95c2a9cb6807
shaunahemingway,Canadian Minister-Counsellor to Mexico,Mexico,mexico,Ambassadors & Representatives,,,mexico;canada,Ambassadors&Representatives,Canadian Minister-Counsellor to Mexico,,dgm_og_mentioner_v6,ec55d297a5b7a20a047b7201d51e6830,dgm_og_mentioner_v6__ec55d297a5b7a20a047b7201d51e6830
miguelrcabanas,Mexican Undersecretary for Multilateral Affairs and Human Rights,Mexico,mexico,Ambassadors & Representatives,,,mexico;mexico,Ambassadors&Representatives,Mexican Undersecretary for Multilateral Affairs and Human Rights,,dgm_og_mentioner_v6,ebb2e34ba999b4e4ab8761236ff8a72e,dgm_og_mentioner_v6__ebb2e34ba999b4e4ab8761236ff8a72e
fcastrotrenti,Mexican Ambassador to Switzerland and Lichtenstein,Mexico,mexico,Ambassadors & Representatives,,,mexico;mexico,Ambassadors&Representatives,Mexican Ambassador to Switzerland and Lichtenstein,,dgm_og_mentioner_v6,33553476a00783a32d9c7570703bb973,dgm_og_mentioner_v6__33553476a00783a32d9c7570703bb973
rutgiverin,Norwegian Ambassador to Mexico and Central America,Mexico,mexico,Ambassadors & Representatives,,,mexico;norway,Ambassadors&Representatives,Norwegian Ambassador to Mexico and Central America,,dgm_og_mentioner_v6,1a24e15ee32fe59f675131e61a0e8c1f,dgm_og_mentioner_v6__1a24e15ee32fe59f675131e61a0e8c1f
m_ebrard,Mexican Foreign Secretary Ebrard,Mexico,mexico,Foreign Minister,,,mexico,ForeignMinister,Mexican Foreign Secretary Ebrard,,dgm_og_mentioner_v6,f6568a7eebf6de96b7fb6b979d6c1e5d,dgm_og_mentioner_v6__f6568a7eebf6de96b7fb6b979d6c1e5d
sre_mx,Mexican Foreign Ministry,Mexico,mexico,Foreign Ministry,,,mexico,ForeignMinistry,Mexican Foreign Ministry,,dgm_og_mentioner_v6,6895f4815476797ba44a2ba164c6e000,dgm_og_mentioner_v6__6895f4815476797ba44a2ba164c6e000
lopezobrador_,Mexican President Manuel,mexico,mexico,Heads of State,,,mexico,HeadsOfState,Mexican President Manuel,,dgm_og_mentioner_v6,d7f25de7e4fd2dac81087ab54f06d24f,dgm_og_mentioner_v6__d7f25de7e4fd2dac81087ab54f06d24f
emoctezumab,Mexican Ambassador to US,Mexico,mexico,Host Nation Ambassadors to US,,,mexico,HostNationAmbassadorsToUs,Mexican Ambassador to US,,dgm_og_mentioner_v6,8463b44d204943b7e7240a02486ddd8b,dgm_og_mentioner_v6__8463b44d204943b7e7240a02486ddd8b
kuglitsch,Austrian Ambassador to Mexico and Central America,Mexico and Central America,mexico and central america,Ambassadors & Representatives,,,mexico and central america;austria,Ambassadors&Representatives,Austrian Ambassador to Mexico and Central America,,dgm_og_mentioner_v6,f19be589b672e2d97fe9a93ca025f2c7,dgm_og_mentioner_v6__f19be589b672e2d97fe9a93ca025f2c7
