keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cvs,CVS Health,188278,,,480b1d303f9e1e9b2d443e70ac8d14b3,,n,,,,,,3,Diplomat,CVS Health,,dgm_weibo_crisk_mentionee,e66b0e77d101f63831daf6a23a969e78,dgm_weibo_crisk_mentionee__4839614d974c15264cd68ea53ac2f03b
西维斯,CVS Health,188278,,,480b1d303f9e1e9b2d443e70ac8d14b3,,n,,1,,,,3,Media,CVS Health,,dgm_weibo_crisk_mentionee,425bdd64f9d077b129fcb2ebfb08a4f8,dgm_weibo_crisk_mentionee__4839614d974c15264cd68ea53ac2f03b
星巴克,Starbucks,188278,,,4d5d540efa68f6e17b9f64d6b7e8ebc7,,n,,1,,,,3,Wells,Starbucks,,dgm_weibo_crisk_mentionee,d69c72b85dd9491bf1d9edb1b98a5052,dgm_weibo_crisk_mentionee__e486aeca0b12918313aba2cc445c5cb4
爱彼迎,Airbnb,188278,,,549f9e87cdd69547c3f20392345a00b5,,n,,0,,,,3,FTO,Airbnb,,dgm_weibo_crisk_mentionee,fd3cd64f4a1a6d3c835130b2792d8724,dgm_weibo_crisk_mentionee__09e31a5bddc6d6628252a7bff57d5dce
斯味可,J.M. Smucker,188278,,,5b9ad876ccee7caae7e4e1234e41a4e7,,n,,1,,,,3,Legislator,J.M. Smucker,,dgm_weibo_crisk_mentionee,9a3c7f25db86f1fa69bd8751f875ef5d,dgm_weibo_crisk_mentionee__d19864bb9626257633fc8da3bf453816
猫途鹰,TripAdvisor,188278,,,61b05c55f5c2708664bda58a68eed318,,n,,1,,,,3,Wells,TripAdvisor,,dgm_weibo_crisk_mentionee,dad11a488d58d9fd92434fe84f257313,dgm_weibo_crisk_mentionee__d00887917cf4ecf7a02ef188112ff63f
hbo,HBO,188278,,,68820cdabfadbc0407cb902ff6f412d2,,n,,,,,,3,ForeignMinister,HBO,,dgm_weibo_crisk_mentionee,051537aeda284e4dd3fbd2e9575c4604,dgm_weibo_crisk_mentionee__509e5f41146e278f9eab1ddaceb34515
高乐氏,Clorox,188278,,,6b87567bfa83ee4aa531bc9ea1f6f43c,,n,,0,,,,3,Exec,Clorox,,dgm_weibo_crisk_mentionee,4391a19f57fd61b0a70a514b2136465d,dgm_weibo_crisk_mentionee__1d64fa16957c7e8845c1a83bb0240d8b
利信达,Le Saunda Holdings,188278,,,6bf1a0e0d8139a649477c2a576c63c5c,,#N/A,,0,,,,3,FTO,Le Saunda Holdings,,dgm_weibo_crisk_mentionee,a0a349098c05df6d51b8571657c14ff6,dgm_weibo_crisk_mentionee__89c7239e23386ad1fb072546755fd6d3
爱玛客,Aramark,188278,,,6f7df3ef97b14637087f04a1972e86b3,,n,,1,,,,3,DiplomaticFacilities,Aramark,,dgm_weibo_crisk_mentionee,cf10fc5e00b987761ed89309fd227f8e,dgm_weibo_crisk_mentionee__4425fd8b0095594d03230e114a273dad
ppl,PPL,188278,,,708a9152b20dc2db2e2156970a4d6a28,,n,,,,,,3,News,PPL,,dgm_weibo_crisk_mentionee,178ad5c24c08dc4ac3dca7387932120c,dgm_weibo_crisk_mentionee__050761d8d3202128b4990287d187f09a
多宝箱,Dropbox,188278,,,75a6131f845974797c5c2823b234ec0f,,n,,1,,,,3,AAEntity,Dropbox,,dgm_weibo_crisk_mentionee,ff76bae166a636df43e49269121e1a47,dgm_weibo_crisk_mentionee__f92aa92725095d5531f54b4589d99264
奥驰亚,Altria Group,188278,,,7826d229e1d1df2085a3014e49e3127b,,n,,1,,,,3,Wells,Altria Group,,dgm_weibo_crisk_mentionee,8a587effd2c1ab77add2704284464aee,dgm_weibo_crisk_mentionee__5a63927483a432556f80ec1df9e5eaa2
英特尔,Intel,188278,,,79d16ab7312c744ea3cb3560c99820b7,,n,,0,y,,,3,CompanyKeyword,Intel,,dgm_weibo_crisk_mentionee,b5447812af2e4e42625b31533450cb54,dgm_weibo_crisk_mentionee__ff97a9fdede09eaf6e1c8ec9f6a61dd5
mgm,MGM,188278,,,7afe2fa0360fc52fbf602c89787e893d,,n,,,,,,3,Exec,MGM,,dgm_weibo_crisk_mentionee,ea25b0f1c2ab861c90c02545d8f54c55,dgm_weibo_crisk_mentionee__7545bfa02e8c3cdfb20bcc3fa52a4794
艾伯维,AbbVie,188278,,,7f7f1f259450586c8366da36a1489ff8,,n,,0,,,,3,FTO,AbbVie,,dgm_weibo_crisk_mentionee,37ba8d02004e88201fc9303a23dfdf18,dgm_weibo_crisk_mentionee__665d7d8b26be61d84f23b5abd7000da9
贝莱德,BlackRock,188278,,,88f017ca5343ee4a3b7a2c705b49ddce,,n,,1,,,,3,Person,BlackRock,,dgm_weibo_crisk_mentionee,6a4a814d1da0a7ff40ce78a430c1ddf6,dgm_weibo_crisk_mentionee__98aeda15c6a9f2ff1f7f170584c66e71
dhl,DHL,188278,,,8a85103a29aca6e28777fc0d2ac045c0,,n,,,,,,3,Media,DHL,,dgm_weibo_crisk_mentionee,f08a44f75f335b2afa46687c51f82312,dgm_weibo_crisk_mentionee__53c6f3cca240d98b5e648d93115a2426
欧菲光,OFILM Group,188278,,,8ac54ef60ee6e4f14c2f16f4bc41d1a3,,,,,y,,,3,DiplomaticFacilities,OFILM Group,,dgm_weibo_crisk_mentionee,63f89436085cdcd5b6c2283b39684a1e,dgm_weibo_crisk_mentionee__bab943e59cdffa50df7f7aeee16caea3
巴斯夫,BASF,188278,,,8d49b8dc5ba98024dc999c10317deae7,,n,,0,,,,3,Person,BASF,,dgm_weibo_crisk_mentionee,625cc6716fc9ca9a6704c6645f59beeb,dgm_weibo_crisk_mentionee__1672f5c14b0beab044c02884a30f1e5b
富乐客,Foot Locker,188278,,,8d5f9c6e0e5c345c20fa8bd68475d55b,,n,,1,,,,3,ForeignMinister,Foot Locker,,dgm_weibo_crisk_mentionee,966c99112d01b32ea1cd75545c89152c,dgm_weibo_crisk_mentionee__3bbe7681bc7a60ed3d22764734cb699a
德事隆,Textron,188278,,,8ff2b75def56d2753aeeae9dcc5eb5d6,,n,,1,,,,3,Keyphrase,Textron,,dgm_weibo_crisk_mentionee,0c8dfa18013cba2bddd26aebbf0b5850,dgm_weibo_crisk_mentionee__7d46e8d64e09e3b7bd89c8cd9f0728e3
