german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
rittergasse,"Rittergasse in Bautzen, Germany",51.1829461,14.4210529,1,,,,space,"Rittergasse in Bautzen, Germany",,german_fires_bautzen_locations,217826a137a183d4644a8c6f50cf6844,german_fires_bautzen_locations__217826a137a183d4644a8c6f50cf6844
roesgerstr.,"Roesgerstrasse in Bautzen, Germany",51.1732903,14.4436525,1,,,,IndustryTerm,"Roesgerstrasse in Bautzen, Germany",,german_fires_bautzen_locations,53e353f57318bf5270a0ef5515902e8a,german_fires_bautzen_locations__53e353f57318bf5270a0ef5515902e8a
rosenstr.,"Rosenstrasse in Bautzen, Germany",51.180171,14.4308848,1,,,,FTO,"Rosenstrasse in Bautzen, Germany",,german_fires_bautzen_locations,a8162672641e15a82ab1b4c25ec6e92b,german_fires_bautzen_locations__a8162672641e15a82ab1b4c25ec6e92b
rohrscheidtstr.,"Rohrscheidtstrasse in Bautzen, Germany",51.1874187,14.4368616,1,,,,space,"Rohrscheidtstrasse in Bautzen, Germany",,german_fires_bautzen_locations,81fb1d1e9c05fbf3867704b7d9e12fa8,german_fires_bautzen_locations__81fb1d1e9c05fbf3867704b7d9e12fa8
salzenforster str.,"Salzenforster Strasse in Bautzen, Germany",51.1948264,14.3720896,1,,,,Legislator,"Salzenforster Strasse in Bautzen, Germany",,german_fires_bautzen_locations,acd2182b24877979978e059e46be85fa,german_fires_bautzen_locations__acd2182b24877979978e059e46be85fa
sanddornweg,"Sanddornweg in Bautzen, Germany",51.1954419,14.3735039,1,,,,Pipeline,"Sanddornweg in Bautzen, Germany",,german_fires_bautzen_locations,cac756f77b9fbbf8987a19a98b632bd5,german_fires_bautzen_locations__cac756f77b9fbbf8987a19a98b632bd5
saurierpark,"Saurierpark in Bautzen, Germany",51.2092889,14.3863869,1,,,,CompanyKeyword,"Saurierpark in Bautzen, Germany",,german_fires_bautzen_locations,1eaa896155eb780393190460452e377e,german_fires_bautzen_locations__1eaa896155eb780393190460452e377e
schafbergstr.,"Schafbergstrasse in Bautzen, Germany",51.1800246,14.4573838,1,,,,FTO,"Schafbergstrasse in Bautzen, Germany",,german_fires_bautzen_locations,16cdf7f0b5f136cdd210f4a6b433e2b4,german_fires_bautzen_locations__16cdf7f0b5f136cdd210f4a6b433e2b4
scharfenweg,"Scharfenweg in Bautzen, Germany",51.1798285,14.418808,1,,,,ForeignMinister,"Scharfenweg in Bautzen, Germany",,german_fires_bautzen_locations,4b77e4b807def88bc0f6d34e1b758cb8,german_fires_bautzen_locations__4b77e4b807def88bc0f6d34e1b758cb8
scharnhorststr.,"Scharnhorststrasse in Bautzen, Germany",51.1684323,14.4495004,1,,,,AAEntity,"Scharnhorststrasse in Bautzen, Germany",,german_fires_bautzen_locations,4facb6cce7625f720319ba667a51fd64,german_fires_bautzen_locations__4facb6cce7625f720319ba667a51fd64
schenkendorfstr.,"Schenkendorfstrasse in Bautzen, Germany",51.1740958,14.4551215,1,,,,FTO,"Schenkendorfstrasse in Bautzen, Germany",,german_fires_bautzen_locations,13f297de4eca137dc81306be0d9ed707,german_fires_bautzen_locations__13f297de4eca137dc81306be0d9ed707
schilleranlagen,"Schilleranlagen in Bautzen, Germany",51.1769252,14.4260582,1,,,,Media,"Schilleranlagen in Bautzen, Germany",,german_fires_bautzen_locations,36470d32bd5bceb9cdb7c855403d25cd,german_fires_bautzen_locations__36470d32bd5bceb9cdb7c855403d25cd
schillstr.,"Schillstrasse in Bautzen, Germany",51.168118,14.4528392,1,,,,Consulates,"Schillstrasse in Bautzen, Germany",,german_fires_bautzen_locations,f006597e13191569d8987a4b343ef525,german_fires_bautzen_locations__f006597e13191569d8987a4b343ef525
schlachthofstr.,"Schlachthofstrasse in Bautzen, Germany",51.1701977,14.4365715,1,,,,space,"Schlachthofstrasse in Bautzen, Germany",,german_fires_bautzen_locations,f5acf65aa47e0b1f6176a60465caa354,german_fires_bautzen_locations__f5acf65aa47e0b1f6176a60465caa354
schleierberg,"Schleierberg in Bautzen, Germany",51.1867938,14.4181174,1,,,,Diplomat,"Schleierberg in Bautzen, Germany",,german_fires_bautzen_locations,5dd49e26324f07464e4fb06bd48dddee,german_fires_bautzen_locations__5dd49e26324f07464e4fb06bd48dddee
schliebenstr.,"Schliebenstrasse in Bautzen, Germany",51.1822769,14.4143161,1,,,,Consulates,"Schliebenstrasse in Bautzen, Germany",,german_fires_bautzen_locations,15089fa254af2a0854537a43e6997c97,german_fires_bautzen_locations__15089fa254af2a0854537a43e6997c97
