keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#sibur,Russian oil and gas company Sibur,188162;188132,company keyword,sibur,,CompanyKeyword,Russian oil and gas company Sibur,,og_mentionee_headsofstate,8680187e0b192aa2252fe93f50e3c89b,og_mentionee_headsofstate__8680187e0b192aa2252fe93f50e3c89b
#simpa,Indian oil and gas company Simpa Entergy,188162;188132,company keyword,engie;simpa entergy;simpa,,CompanyKeyword,Indian oil and gas company Simpa Entergy,,og_mentionee_headsofstate,a19b269e49ae87ee4f0c4f8536ab7fe7,og_mentionee_headsofstate__a19b269e49ae87ee4f0c4f8536ab7fe7
#singapore petroleum company,PetroChina subsidiary Singapore Petroleum Company,188162;188132,company keyword,singapore petroleum company,,CompanyKeyword,PetroChina subsidiary Singapore Petroleum Company,,og_mentionee_headsofstate,f1b9a75ab991212a0a822fb65ec28e39,og_mentionee_headsofstate__f1b9a75ab991212a0a822fb65ec28e39
#sinopec,Chinese state-owned oil and gas company Sinopec,188162;188132;188121,company keyword,sinopec,2e97d04251a30ee94a4237bab2fe9595,CompanyKeyword,Chinese state-owned oil and gas company Sinopec,,og_mentionee_headsofstate,419077383e43463a770aa1163a50db95,og_mentionee_headsofstate__419077383e43463a770aa1163a50db95
#sk innovation,South Korean oil and gas company SK innovation,188162;188132,company keyword,sk innovation,d4e1e5a3d10b512da4956ec7993bad4f,CompanyKeyword,South Korean oil and gas company SK innovation,,og_mentionee_headsofstate,1fb8de85bb9711353b2e532bb5991fbb,og_mentionee_headsofstate__1fb8de85bb9711353b2e532bb5991fbb
#sm energy,US oil and gas company SM Energy,188162;188132,company keyword,sm energy,,CompanyKeyword,US oil and gas company SM Energy,,og_mentionee_headsofstate,65a90ebfe6dd3ed257b5d126dfa90153,og_mentionee_headsofstate__65a90ebfe6dd3ed257b5d126dfa90153
#smart watt,UK oil and gas company Smart Watt,188162;188132,company keyword,centrica;smart watt;smart watt,,CompanyKeyword,UK oil and gas company Smart Watt,,og_mentionee_headsofstate,271ab2feecf12826cad4eee76dd209ba,og_mentionee_headsofstate__271ab2feecf12826cad4eee76dd209ba
#smith bits,US oil and gas company Smith Bits,188162;188132,company keyword,schlumberger;smith bits;smith bits,,CompanyKeyword,US oil and gas company Smith Bits,,og_mentionee_headsofstate,585d8ced5da8b7910feef723f3bd33da,og_mentionee_headsofstate__585d8ced5da8b7910feef723f3bd33da
#snam,Italian oil and gas company Snam,188162;188132,company keyword,snam,,CompanyKeyword,Italian oil and gas company Snam,,og_mentionee_headsofstate,d62e5ec0f46cdb84464710989814e764,og_mentionee_headsofstate__d62e5ec0f46cdb84464710989814e764
#snpc,Congolese state-owned oil and gas company SNPC,188162;188132;188121,company keyword,snpc,,CompanyKeyword,Congolese state-owned oil and gas company SNPC,,og_mentionee_headsofstate,727bf7fcc587d99cd2f5a596591b20b0,og_mentionee_headsofstate__727bf7fcc587d99cd2f5a596591b20b0
#socalgas,US oil and gas company SoCalGas,188162;188132,company keyword,sempra energy;socalgas;socalgas,3dc5e343d2c49be0a1a07f43f5fcf287,CompanyKeyword,US oil and gas company SoCalGas,,og_mentionee_headsofstate,f79f0e1c433f47722de2213f40d09448,og_mentionee_headsofstate__f79f0e1c433f47722de2213f40d09448
#socar,Azeri state-owned oil and gas company SOCAR,188162;188132;188121,company keyword,socar,,CompanyKeyword,Azeri state-owned oil and gas company SOCAR,,og_mentionee_headsofstate,a49286decb09956c3c2e30ec29e092b9,og_mentionee_headsofstate__a49286decb09956c3c2e30ec29e092b9
#societe nationale des petroles du congo,Congolese state-owned oil and gas company SNPC,188162;188132;188121,company keyword,snpc;societe nationale des petroles du congo,,CompanyKeyword,Congolese state-owned oil and gas company SNPC,,og_mentionee_headsofstate,1820165838cdb3f71613fd71462503b6,og_mentionee_headsofstate__1820165838cdb3f71613fd71462503b6
#société nationale des pétroles du congo,Congolese state-owned oil and gas company SNPC,188162;188132;188121,company keyword,snpc;société nationale des pétroles du congo,,CompanyKeyword,Congolese state-owned oil and gas company SNPC,,og_mentionee_headsofstate,391866754f724e9d34fe75ec2c768a6f,og_mentionee_headsofstate__391866754f724e9d34fe75ec2c768a6f
