key,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(mast; AIS; inoperative),due to mast with inoperative AIS,Signal,188131,5,Refinery,due to mast with inoperative AIS,,radio_nav_warnings_mapping,18dda1356091536823e2c666558a2453,radio_nav_warnings_mapping__18dda1356091536823e2c666558a2453
(mast; AIS; unstable),due to mast with unstable AIS,Signal,188131,5,Wells,due to mast with unstable AIS,,radio_nav_warnings_mapping,b945a5ddff00c076cc65359540dec2d6,radio_nav_warnings_mapping__b945a5ddff00c076cc65359540dec2d6
(mast; AIS; off-air),due to mast with AIS off-air,Signal,188131,5,Exec,due to mast with AIS off-air,,radio_nav_warnings_mapping,e8f3824c29af840b44be41bf909d0edb,radio_nav_warnings_mapping__e8f3824c29af840b44be41bf909d0edb
(mast; light; inoperative),due to mast with inoperative light,Signal,188131,6,DiplomaticFacilities,due to mast with inoperative light,,radio_nav_warnings_mapping,10e8ce976d8c5e332c3035d9b27f0b09,radio_nav_warnings_mapping__10e8ce976d8c5e332c3035d9b27f0b09
(mast; light; unreliable),due to mast with unreliable light,Signal,188131,6,Exec,due to mast with unreliable light,,radio_nav_warnings_mapping,5ce502f5d4fe168d2f0dc99dc9df49b7,radio_nav_warnings_mapping__5ce502f5d4fe168d2f0dc99dc9df49b7
(mast; unlit),due to unlit mast,Signal,188131,6,Diplomat,due to unlit mast,,radio_nav_warnings_mapping,6eebf7594daa5b8d7533f4d11324043d,radio_nav_warnings_mapping__6eebf7594daa5b8d7533f4d11324043d
(underwater; cable),due to underwater cable operations,Signal,188131,3,Exec,due to underwater cable operations,,radio_nav_warnings_mapping,0f102dd6a9a2610edbd48cee55bcdbba,radio_nav_warnings_mapping__0f102dd6a9a2610edbd48cee55bcdbba
(fishing gear; abandoned),due to abandoned fishing gear,Signal,188131,7,CompanyKeyword,due to abandoned fishing gear,,radio_nav_warnings_mapping,d306e5d8e0956233ab1765f08c99cb12,radio_nav_warnings_mapping__d306e5d8e0956233ab1765f08c99cb12
(dead; whale),due to dead whale,Signal,188131,3,AAEntity,due to dead whale,,radio_nav_warnings_mapping,ff08462c6c075aef453f3ce64d79657d,radio_nav_warnings_mapping__ff08462c6c075aef453f3ce64d79657d
(tree; adrift),due to tree adrift,Signal,188131,3,space,due to tree adrift,,radio_nav_warnings_mapping,ccd59e9de00b687ca08b73f77cc29c9e,radio_nav_warnings_mapping__ccd59e9de00b687ca08b73f77cc29c9e
(pollution; operations),due to anti-pollution operations,Signal,188131,3,IndustryTerm,due to anti-pollution operations,,radio_nav_warnings_mapping,04e0da17b1d760fd9b7357ca0a101bc9,radio_nav_warnings_mapping__04e0da17b1d760fd9b7357ca0a101bc9
(unreliable; USCG),due to unreliable USCG communications,Signal,188131,4,AAEntity,due to unreliable USCG communications,,radio_nav_warnings_mapping,6797ef47f16a88d720b1819a7e68f9ef,radio_nav_warnings_mapping__6797ef47f16a88d720b1819a7e68f9ef
(underwater; ordnance; detonation),due to underwater ordnance detonation,Local Urgent,188131,1,CompanyKeyword,due to underwater ordnance detonation,,radio_nav_warnings_mapping,86c1152f50f2a1c35a4fda2313bdba96,radio_nav_warnings_mapping__86c1152f50f2a1c35a4fda2313bdba96
(scientific; moorings; established),due to scientific moorings established,Signal,188131,4,FTO,due to scientific moorings established,,radio_nav_warnings_mapping,944972a55275963339bae7b91f3bf38e,radio_nav_warnings_mapping__944972a55275963339bae7b91f3bf38e
(light; established),due to light established,Signal,188131,5,space,due to light established,,radio_nav_warnings_mapping,66834fe19f175829ce42fc897e206c0d,radio_nav_warnings_mapping__66834fe19f175829ce42fc897e206c0d
(hazardous; operations),due to hazardous operations,Signal,188131,2,IndustryTerm,due to hazardous operations,,radio_nav_warnings_mapping,aab1eba3f4e241ce030816e0fc4fa104,radio_nav_warnings_mapping__aab1eba3f4e241ce030816e0fc4fa104
(cable; operations),due to cable operations,Signal,188131,2,Organization,due to cable operations,,radio_nav_warnings_mapping,5a755e17a0e8f7c4579d7df9cfd2541d,radio_nav_warnings_mapping__5a755e17a0e8f7c4579d7df9cfd2541d
(buoys; off station),due to buoys off station,Signal,188131,6,Wells,due to buoys off station,,radio_nav_warnings_mapping,452ce1b0d5b27d4a4792a6e02effd575,radio_nav_warnings_mapping__452ce1b0d5b27d4a4792a6e02effd575
missile exercises,due to missile exercises,National Urgent,188131; 188253; 188251,1,LegislativeCommittee,due to missile exercises,,radio_nav_warnings_mapping,1b6caf748bb4690b5247adb91b9e7a8d,radio_nav_warnings_mapping__1b6caf748bb4690b5247adb91b9e7a8d
