permalink,authority_caption,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
7643513323,"Anti Drug Authority in Lhasa, Tibet",lhasa,Wells,"Anti Drug Authority in Lhasa, Tibet",,dgm_fentanylsources,9bfca195b731dcb4c9de55449acb07f4,dgm_fentanylsources__9bfca195b731dcb4c9de55449acb07f4
5017768505,"Anti Drug Authority in Tacheng, Xinjiang",tacheng,ForeignMinistry,"Anti Drug Authority in Tacheng, Xinjiang",,dgm_fentanylsources,c9567baf19a7dfa7c47ea1d93e310fbf,dgm_fentanylsources__c9567baf19a7dfa7c47ea1d93e310fbf
2822962654,"Anti Drug Authority in Kuqa, Xinjiang",kuqa,FTO,"Anti Drug Authority in Kuqa, Xinjiang",,dgm_fentanylsources,007f8eb833f74dd3730dc8dcb3ba3a84,dgm_fentanylsources__007f8eb833f74dd3730dc8dcb3ba3a84
3296750263,"Anti Drug Authority in Karakax County, Xinjiang",karakax,News,"Anti Drug Authority in Karakax County, Xinjiang",,dgm_fentanylsources,a70e5965b1fc3feeeeeb06bcf77eae32,dgm_fentanylsources__a70e5965b1fc3feeeeeb06bcf77eae32
3257313285,"Anti Drug Authority in Tiantai County, Taizhou, Zhejiang",tiantai,AAEntity,"Anti Drug Authority in Tiantai County, Taizhou, Zhejiang",,dgm_fentanylsources,b2570e447245b32cc55bf5b4cb05914b,dgm_fentanylsources__b2570e447245b32cc55bf5b4cb05914b
6196828557,"Anti Drug Authority in Luonan County, Shaanxi",luonan,AAEntity,"Anti Drug Authority in Luonan County, Shaanxi",,dgm_fentanylsources,ff48373f65e1884a38876aff24463934,dgm_fentanylsources__ff48373f65e1884a38876aff24463934
2718462383,"Anti Drug Authority in Baoji, Shaanxi",baoji,Person,"Anti Drug Authority in Baoji, Shaanxi",,dgm_fentanylsources,5338abbecf90590055507e68adceac06,dgm_fentanylsources__5338abbecf90590055507e68adceac06
7523632095,"Anti Drug Authority in Weinan, Shaanxi",weinan,DiplomaticFacilities,"Anti Drug Authority in Weinan, Shaanxi",,dgm_fentanylsources,b4742db54a4c7dfc482eb01723fb4be0,dgm_fentanylsources__b4742db54a4c7dfc482eb01723fb4be0
5620873129,"Anti Drug Authority in Dingxi, Gansu",dingxi,Media,"Anti Drug Authority in Dingxi, Gansu",,dgm_fentanylsources,bdbc37a6e226acd18c567b1eb22584c8,dgm_fentanylsources__bdbc37a6e226acd18c567b1eb22584c8
6452466661,"Anti Drug Authority in Anding District, Dingxi, Gansu",anding,Wells,"Anti Drug Authority in Anding District, Dingxi, Gansu",,dgm_fentanylsources,b96fc8b7e0b7b5d89e131bf197ed8748,dgm_fentanylsources__b96fc8b7e0b7b5d89e131bf197ed8748
6545714383,"Anti Drug Authority in Weiyuan District, Sichuan",weiyuan,Consulates,"Anti Drug Authority in Weiyuan District, Sichuan",,dgm_fentanylsources,7a7ca1fca7e5ffe5618fa81fe8a64d13,dgm_fentanylsources__7a7ca1fca7e5ffe5618fa81fe8a64d13
5974302250,"Anti Drug Authority in Lingcheng District, Dezhou, Shandong",lingcheng,DiplomaticFacilities,"Anti Drug Authority in Lingcheng District, Dezhou, Shandong",,dgm_fentanylsources,70a588b0056e50eba0d5e3ce275bac62,dgm_fentanylsources__70a588b0056e50eba0d5e3ce275bac62
5710110116,"Anti Drug Authority in Wucheng District, Jinhua, Zhejiang",wucheng,ForeignMinistry,"Anti Drug Authority in Wucheng District, Jinhua, Zhejiang",,dgm_fentanylsources,7b043b8482e4d44cba60750bd88e871f,dgm_fentanylsources__7b043b8482e4d44cba60750bd88e871f
