handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
liferdefempire,Kuwaiti news outlet Shamel News,kuwait,agriculture minister;agriculture ministry,hnmn,Kuwait,29.31166,47.481766,,Hnmn,Kuwaiti news outlet Shamel News,,noneng_dgm_agr_mentioner_entities,eec4fc7d39c14c6410ae1c8d62f68b17,noneng_dgm_agr_mentioner_entities__eec4fc7d39c14c6410ae1c8d62f68b17
watannews,Kuwaiti news outlet Watan News,kuwait,agriculture minister;agriculture ministry,hnmn,Kuwait,29.31166,47.481766,,Hnmn,Kuwaiti news outlet Watan News,,noneng_dgm_agr_mentioner_entities,e94522306be7c4b6295d510bcbc761b4,noneng_dgm_agr_mentioner_entities__e94522306be7c4b6295d510bcbc761b4
azattykmedia,Kyrgyz news outlet Azattyk Media,kyrgyzstan,agriculture minister;agriculture ministry,hnmn,Kyrgyzstan,41.20438,74.766098,,Hnmn,Kyrgyz news outlet Azattyk Media,,noneng_dgm_agr_mentioner_entities,408e15e528757b7f008bca82fcaccea2,noneng_dgm_agr_mentioner_entities__408e15e528757b7f008bca82fcaccea2
barakeldeorg,Kyrgyz news outlet Barakelde,kyrgyzstan,agriculture minister;agriculture ministry,hnmn,Kyrgyzstan,41.20438,74.766098,,Hnmn,Kyrgyz news outlet Barakelde,,noneng_dgm_agr_mentioner_entities,4f5c2e2c50e0cd90f1fa4e31f58fe165,noneng_dgm_agr_mentioner_entities__4f5c2e2c50e0cd90f1fa4e31f58fe165
kaktus_media,Kyrgyz news outlet Kaktus Media,kyrgyzstan,agriculture minister;agriculture ministry,hnmn,Kyrgyzstan,41.20438,74.766098,,Hnmn,Kyrgyz news outlet Kaktus Media,,noneng_dgm_agr_mentioner_entities,22872b1428f1af1ac4953403c9359158,noneng_dgm_agr_mentioner_entities__22872b1428f1af1ac4953403c9359158
kloopnews,Kyrgyz news outlet Kloop,kyrgyzstan,agriculture minister;agriculture ministry,hnmn,Kyrgyzstan,41.20438,74.766098,,Hnmn,Kyrgyz news outlet Kloop,,noneng_dgm_agr_mentioner_entities,5c41ace57b9027a97c8c235f9faaf3c4,noneng_dgm_agr_mentioner_entities__5c41ace57b9027a97c8c235f9faaf3c4
tazabek,Kyrgyz news outlet Tazabek,kyrgyzstan,agriculture minister;agriculture ministry,hnmn,Kyrgyzstan,41.20438,74.766098,,Hnmn,Kyrgyz news outlet Tazabek,,noneng_dgm_agr_mentioner_entities,951d4993f4d09eea711880233bc87bf5,noneng_dgm_agr_mentioner_entities__951d4993f4d09eea711880233bc87bf5
vientiane_times,Laos news outlet Vientiane Times,laos,agriculture minister;agriculture ministry,hnmn,Laos,19.85627,102.495496,,Hnmn,Laos news outlet Vientiane Times,,noneng_dgm_agr_mentioner_entities,2165a0f34e7b3f0ef05a086597eb20f0,noneng_dgm_agr_mentioner_entities__2165a0f34e7b3f0ef05a086597eb20f0
apollo_lv,Latvian news outlet Apollo,latvia,agriculture minister;agriculture ministry,hnmn,Latvia,56.879635,24.603189,,Hnmn,Latvian news outlet Apollo,,noneng_dgm_agr_mentioner_entities,ebaa4d99656c6d9212e24aeca4b90f98,noneng_dgm_agr_mentioner_entities__ebaa4d99656c6d9212e24aeca4b90f98
delfilv,Latvian news outlet DELFI,latvia,agriculture minister;agriculture ministry,hnmn,Latvia,56.879635,24.603189,,Hnmn,Latvian news outlet DELFI,,noneng_dgm_agr_mentioner_entities,75744803e7ce2d8b86e33c9078f15722,noneng_dgm_agr_mentioner_entities__75744803e7ce2d8b86e33c9078f15722
jaunslv,Latvian news outlet Jauns,latvia,agriculture minister;agriculture ministry,hnmn,Latvia,56.879635,24.603189,,Hnmn,Latvian news outlet Jauns,,noneng_dgm_agr_mentioner_entities,5b085cfa87b84b956e9d8749157205cd,noneng_dgm_agr_mentioner_entities__5b085cfa87b84b956e9d8749157205cd
