keyword,keyword_upper,caption_name,location_name,location_lower,location (state),type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
javanmesnard,JavanMesnard,Arizona State Senator Mesnard,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Mesnard,,EO_Mentioner,992e17b575ef046083ae3c22d4bb0115,EO_Mentioner__7849426a13915de70e2d970d77c3155e
robertmeza,RobertMeza,Arizona State Representative Meza,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Meza,,EO_Mentioner,d163fe8fec261a9fc255566478af03d2,EO_Mentioner__eb2c224a6b0bf090f5ea00d7cd37df67
otonielnavarrete,OtonielNavarrete,Arizona State Senator Navarrete,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Navarrete,,EO_Mentioner,6a8809dd1e1b6408cd3c1a408c8ea49b,EO_Mentioner__53a3a80e9e29fe5066ae72288e7461a2
quangnguyen,QuangNguyen,Arizona State Representative Nguyen,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Nguyen,,EO_Mentioner,9a712a9e35251dc9a559bdb4c1baf647,EO_Mentioner__fc7e525ed290fc03ea4804851caca042
beckynutt,BeckyNutt,Arizona State Representative Nutt,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Nutt,,EO_Mentioner,3ceaae4a659c770fe07bdcc16864d3f7,EO_Mentioner__ba9bc98547f482f605e766dce743d893
joanneosborne,JoanneOsborne,Arizona State Representative Osborne,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Osborne,,EO_Mentioner,3af2e8f66689e667d46401ff7cb783dc,EO_Mentioner__cb82877229651eb77189da7ea2b29238
lisaotondo,LisaOtondo,Arizona State Senator Otondo,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Otondo,,EO_Mentioner,7b3b8191c964359b11b1427a96328f0f,EO_Mentioner__e93d4a83fd45a212982c26781bce64fc
tylerpace,TylerPace,Arizona State Senator Pace,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Pace,,EO_Mentioner,c11fd071b84a03df0d7699f38f15039d,EO_Mentioner__14329d2a55437b20621484eb3083a42e
jacquelineparker,JacquelineParker,Arizona State Representative Parker,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Parker,,EO_Mentioner,dd5de9a02f146663ac6629716699dc12,EO_Mentioner__09c3ad790956bba46fb1d0b2054b547b
jenniferpawlik,JenniferPawlik,Arizona State Representative Pawlik,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Pawlik,,EO_Mentioner,a95bbbd1d4675d41342ab34c70927cec,EO_Mentioner__4343b5ed4f9a6e0d36139f8014d53c46
kevinpayne,KevinPayne,Arizona State Representative Payne,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Payne,,EO_Mentioner,9872353d2f76ce98412f4d63f237c472,EO_Mentioner__85e78a93efd243551dff0c256c8728f3
jamescitapeshlakai,JamescitaPeshlakai,Arizona State Senator Peshlakai,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Peshlakai,,EO_Mentioner,8d1ad79cc94ac71babe1fd7afd0e0e0c,EO_Mentioner__3d2b900b3ae47e27c4d214d184084c31
warrenpetersen,WarrenPetersen,Arizona State Senator Peterson,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Peterson,,EO_Mentioner,9d0609a27a0f5dfe9e99672327701e21,EO_Mentioner__39c77261670174e260a83b1287f1c502
beverlypingerelli,BeverlyPingerelli,Arizona State Representative Pingerelli,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Pingerelli,,EO_Mentioner,e9b16a130fc410abc0f6ca1c973c1763,EO_Mentioner__2d8aaabd0d4dff9d90d666a89f600372
pamelapowers hannley,PamelaPowers Hannley,Arizona State Representative Hannley,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Hannley,,EO_Mentioner,2bde56dca87555ce42432c9c9e120e35,EO_Mentioner__5fc0c631668623781d719fbc1215681f
frankpratt,FrankPratt,Arizona State Representative Pratt,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Pratt,,EO_Mentioner,76cdb95817d66a0fd472e38669507d53,EO_Mentioner__c9dd90915ef780d28e8509daadd2c8a0
