keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
必乐透,Big Lots,188278,,,28d88a4eec74c3f84900254f454d6c06,,n,,1,,,,3,Refinery,Big Lots,,dgm_weibo_media_mentionee,724a74602f37cdca3d2b0dd47ee01ef6,dgm_weibo_media_mentionee__ff506cb6ab66feb1ea5dac754b9fe8e1
道达尔,TotalEnergies,188278,,,29d6c4447586ecf5ce4be918e9921324,,n,,1,,,,3,ForeignMinister,TotalEnergies,,dgm_weibo_media_mentionee,2727de702fb9f28476b3b2cf64fdb2ff,dgm_weibo_media_mentionee__bce9c31e12097fb7a89eef522af3f0a5
苹果店,Apple,188278,,,2adac6e9b077021a8c4e5de1a3aa057b,,#N/A,,1,,,,3,Legislator,Apple,,dgm_weibo_media_mentionee,fdfbfc2a6b42dbd190fc216704ab0f19,dgm_weibo_media_mentionee__9f6290f4436e5a2351f12e03b6433c3c
aig,AIG,188278,,,2d443968d5d9c9665e5755709346d6b9,,n,,,,,,3,Keyphrase,AIG,,dgm_weibo_media_mentionee,110154237e38130a5c2bd0a40bf279b7,dgm_weibo_media_mentionee__0036410956c8428ae91c6092045edb5f
中石化,state-owned company Sinopec,188121;188278,,,2e97d04251a30ee94a4237bab2fe9595,y,,,,,,,3,Organization,state-owned company Sinopec,,dgm_weibo_media_mentionee,70681284ed0e175194bce59303035bf9,dgm_weibo_media_mentionee__08168f538605b8d84f5b5304e4389454
房地美,Freddie Mac,188278,,,2f73a63fa56565bb8209179dfe056f48,,n,,1,,,,3,Organization,Freddie Mac,,dgm_weibo_media_mentionee,d81d5179d67e41988b5a0af3a21bcfd7,dgm_weibo_media_mentionee__99fc3471b2182beaebe91a3f43131979
天纳克,Tenneco,188278,,,3147a80115d430468d8fa17281045bc5,,n,,1,,,,3,Pipeline,Tenneco,,dgm_weibo_media_mentionee,5dd6e126b2cb2bdf01a696fffc47e023,dgm_weibo_media_mentionee__52d12158115cbc027edce57133536c48
亚马逊,Amazon,188278,,,32ec5fc746a720416749e18927068772,,#N/A,,2,,,,3,Diplomat,Amazon,,dgm_weibo_media_mentionee,53a48045a9eed651bb8567ff079fb8b1,dgm_weibo_media_mentionee__b3b3a6ac74ecbd56bcdbefa4799fb9df
aws,Amazon Web Services,188278,,,32ec5fc746a720416749e18927068772,,n,,,,,,3,Consulates,Amazon Web Services,,dgm_weibo_media_mentionee,47824de433a74dae3924df361ee0f7ee,dgm_weibo_media_mentionee__6beccc67ff905f7da0b29dece26b0485
沃尔玛,Walmart,188278,,,343b1f841f2758ce00d11e5b07c3a2e9,,n,,4,,,,3,space,Walmart,,dgm_weibo_media_mentionee,e53b939eafdda18ea21526c551dc926e,dgm_weibo_media_mentionee__f1c768f1973bd404670d81a991ee6105
