german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
loy-hering-strasse,"Loy-Hering-Strasse in Ingolstadt, Germany",48.7523963,11.4452435,1,,,,,,space,"Loy-Hering-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,79d1c827ff0e7cb576c1425217aca070,german_fires_ingolstadt_locations__79d1c827ff0e7cb576c1425217aca070
ludwig-steub-strasse,"Ludwig-Steub-Strasse in Ingolstadt, Germany",48.7866679,11.4385088,1,,,,,,Exec,"Ludwig-Steub-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,de500f794c5869a7af905ad166ff7fcf,german_fires_ingolstadt_locations__de500f794c5869a7af905ad166ff7fcf
ludwigstrasse,"Ludwigstrasse in Ingolstadt, Germany",48.7643616,11.4270655,1,,,,,,Person,"Ludwigstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,22783856b2cbab3171290f8ef2564455,german_fires_ingolstadt_locations__22783856b2cbab3171290f8ef2564455
luftgasse,"Luftgasse in Ingolstadt, Germany",48.76357,11.4224443,1,,,,,,AAEntity,"Luftgasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,ca3c03b547ec0ce69f75b528207d801d,german_fires_ingolstadt_locations__ca3c03b547ec0ce69f75b528207d801d
luise-lowenfels-strasse,"Luise-Lowenfels-Strasse in Ingolstadt, Germany",48.7351827,11.417999,1,,,,,,Keyphrase,"Luise-Lowenfels-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,66c1d15c3d5e157f9ffa621fd8c34f9d,german_fires_ingolstadt_locations__66c1d15c3d5e157f9ffa621fd8c34f9d
luise-rinser-strasse,"Luise-Rinser-Strasse in Ingolstadt, Germany",48.7669356,11.4523094,1,,,,,,Refinery,"Luise-Rinser-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,fb90f4b9cba814c972a251db5113979e,german_fires_ingolstadt_locations__fb90f4b9cba814c972a251db5113979e
luitpoldstrasse,"Luitpoldstrasse in Ingolstadt, Germany",48.7544452,11.423032,1,,,,,,Consulates,"Luitpoldstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,99481a81e1e8e6cf223f525052833436,german_fires_ingolstadt_locations__99481a81e1e8e6cf223f525052833436
lukasstrasse,"Lukasstrasse in Ingolstadt, Germany",48.7683623,11.4509245,1,,,,,,Shipping,"Lukasstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,9886497eeefb4f5ce52b12202a95c45f,german_fires_ingolstadt_locations__9886497eeefb4f5ce52b12202a95c45f
lupinenstrasse,"Lupinenstrasse in Ingolstadt, Germany",48.7736622,11.4758116,1,,,,,,ForeignMinister,"Lupinenstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,a9b69a171c5ac7e47001d4ff98f7dd65,german_fires_ingolstadt_locations__a9b69a171c5ac7e47001d4ff98f7dd65
lutzener strasse,"Lutzener Strasse in Ingolstadt, Germany",48.7363827,11.4288877,1,,,,,,ForeignMinister,"Lutzener Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,2dcd949ad49c9a1e78f4bd8ff366358c,german_fires_ingolstadt_locations__2dcd949ad49c9a1e78f4bd8ff366358c
lutzstrasse,"Lutzstrasse in Ingolstadt, Germany",48.7769421,11.4326153,1,,,,,,Organization,"Lutzstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,767186c648c4545b2da3970918cba8a4,german_fires_ingolstadt_locations__767186c648c4545b2da3970918cba8a4
maffeistrasse,"Maffeistrasse in Ingolstadt, Germany",48.7466439,11.4406822,1,,,,,,ForeignMinister,"Maffeistrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,c79206ceeb47bb629874bda24924cd71,german_fires_ingolstadt_locations__c79206ceeb47bb629874bda24924cd71
magdalena-herrle-strasse,"Magdalena-Herrle-Strasse in Ingolstadt, Germany",48.7325477,11.4012987,1,,,,,,CompanyKeyword,"Magdalena-Herrle-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,b452a8a3c19cdb43781323bb3371a50d,german_fires_ingolstadt_locations__b452a8a3c19cdb43781323bb3371a50d
maiglockchenstrasse,"Maiglockchenstrasse in Ingolstadt, Germany",48.7834599,11.478843,1,,,,,,News,"Maiglockchenstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,42468ca4fb9cd8a4c9e841564fcd29bb,german_fires_ingolstadt_locations__42468ca4fb9cd8a4c9e841564fcd29bb
mailinger spitz,"Mailinger Spitz in Ingolstadt, Germany",48.7570492,11.4589809,1,,,,,,Keyphrase,"Mailinger Spitz in Ingolstadt, Germany",,german_fires_ingolstadt_locations,a16b5e497219eb2399c87dce1cbbb98b,german_fires_ingolstadt_locations__a16b5e497219eb2399c87dce1cbbb98b
mailinger weg,"Mailinger Weg in Ingolstadt, Germany",48.7834403,11.4540859,1,,,,,,Organization,"Mailinger Weg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,a649774e263a76810ceb99211f7eb4eb,german_fires_ingolstadt_locations__a649774e263a76810ceb99211f7eb4eb
maisthuberstrasse,"Maisthuberstrasse in Ingolstadt, Germany",48.7486447,11.4437781,1,,,,,,Shipping,"Maisthuberstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,9835673e509232f453075ee77121463d,german_fires_ingolstadt_locations__9835673e509232f453075ee77121463d
malvenstrasse,"Malvenstrasse in Ingolstadt, Germany",48.7742731,11.4807684,1,,,,,,CompanyKeyword,"Malvenstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,ddd8f1d78e3d8ca55628e07e1b8827b6,german_fires_ingolstadt_locations__ddd8f1d78e3d8ca55628e07e1b8827b6
manchinger strasse,"Manchinger Strasse in Ingolstadt, Germany",48.7474464,11.4653886,1,,,,,,Pipeline,"Manchinger Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,8ce481b85a23b6af55dfceb4b4b3f550,german_fires_ingolstadt_locations__8ce481b85a23b6af55dfceb4b4b3f550
mandlfelder teerstrassl,"Mandlfelder Teerstrassl in Ingolstadt, Germany",48.7017335,11.4278425,1,,,,,,Pipeline,"Mandlfelder Teerstrassl in Ingolstadt, Germany",,german_fires_ingolstadt_locations,905c306b2ae77883e0cd599c87b4e026,german_fires_ingolstadt_locations__905c306b2ae77883e0cd599c87b4e026
manfred-hochstatter-strasse,"Manfred-Hochstatter-Strasse in Ingolstadt, Germany",48.8084827,11.3989771,1,,,,,,Exec,"Manfred-Hochstatter-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,8e517e6f2c1c752f34ddbb2c0928a993,german_fires_ingolstadt_locations__8e517e6f2c1c752f34ddbb2c0928a993
manggasse,"Manggasse in Ingolstadt, Germany",48.7620085,11.4261717,1,,,,,,Refinery,"Manggasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,487e6383d6227fda0e7240d949ba6174,german_fires_ingolstadt_locations__487e6383d6227fda0e7240d949ba6174
mangoldstrasse,"Mangoldstrasse in Ingolstadt, Germany",48.7142324,11.4131456,1,,,,,,Shipping,"Mangoldstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,5254e39f233e824affd6c03af6dc3467,german_fires_ingolstadt_locations__5254e39f233e824affd6c03af6dc3467
manisa strasse,"Manisa Strasse in Ingolstadt, Germany",48.7790451,11.4225207,1,,,,,,DiplomaticFacilities,"Manisa Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,8d0175102300ae1e7725c8eca4620bed,german_fires_ingolstadt_locations__8d0175102300ae1e7725c8eca4620bed
margarethenweg,"Margarethenweg in Ingolstadt, Germany",48.7388719,11.4243313,1,,,,,,Person,"Margarethenweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,78987f7086526a8bb6ec6876a0b53565,german_fires_ingolstadt_locations__78987f7086526a8bb6ec6876a0b53565
maria-freymuller-strasse,"Maria-Freymuller-Strasse in Ingolstadt, Germany",48.7661111,11.4202778,1,,,,,,ForeignMinister,"Maria-Freymuller-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,73da707b2a8847cab05dcfd2139edd39,german_fires_ingolstadt_locations__73da707b2a8847cab05dcfd2139edd39
maria-goeppert-strasse,"Maria-Goeppert-Strasse in Ingolstadt, Germany",48.7856495,11.4017276,1,,,,,,space,"Maria-Goeppert-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,4062753ff41be1a18e225cf198f89c37,german_fires_ingolstadt_locations__4062753ff41be1a18e225cf198f89c37
maria-in-der-au,"Maria-in-der-Au in Ingolstadt, Germany",48.7349894,11.4804954,1,,,,,,Wells,"Maria-in-der-Au in Ingolstadt, Germany",,german_fires_ingolstadt_locations,a153ddb96e6a935e43ce58ebce79406d,german_fires_ingolstadt_locations__a153ddb96e6a935e43ce58ebce79406d
maria-ward-strasse,"Maria-Ward-Strasse in Ingolstadt, Germany",48.7516178,11.4229792,1,,,,,,Refinery,"Maria-Ward-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,dc297b963348759ef449d53c7a07de9e,german_fires_ingolstadt_locations__dc297b963348759ef449d53c7a07de9e
marie-curie-strasse,"Marie-Curie-Strasse in Ingolstadt, Germany",48.7851505,11.4772253,1,,,,,,Media,"Marie-Curie-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,6a24cc6d0bd304d135d22847a7ba7534,german_fires_ingolstadt_locations__6a24cc6d0bd304d135d22847a7ba7534
