keyword,caption_name,lat,lon,location_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@tiffanyykw,Former district councillor Tiffany Yuen,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Former district councillor Tiffany Yuen,,hk_ei_terms,f4725dacbc6f23b73eb00f34f7e2c75e,hk_ei_terms__f4725dacbc6f23b73eb00f34f7e2c75e
@leotlchu,District Councillor Leo Chu,22.302711,114.177216,Hong Kong,188369,News,District Councillor Leo Chu,,hk_ei_terms,277ae3fa9a6221aa81d183d3ca5fbdd9,hk_ei_terms__277ae3fa9a6221aa81d183d3ca5fbdd9
@carmenkamanlau,Former district councillor Carmen Lau,22.302711,114.177216,Hong Kong,188369,Media,Former district councillor Carmen Lau,,hk_ei_terms,cc7c4e4dc67568128fb50c6c0d1a770d,hk_ei_terms__cc7c4e4dc67568128fb50c6c0d1a770d
@clarawanchai,District Councillor Clara Cheung,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,District Councillor Clara Cheung,,hk_ei_terms,2c5f66c97c3ed258e17fdd3152e6a25f,hk_ei_terms__2c5f66c97c3ed258e17fdd3152e6a25f
@kaholee_cp,Former district councillor Ka Ho-lee,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Former district councillor Ka Ho-lee,,hk_ei_terms,a084366e3f7a78d24a26d06a05f6dc76,hk_ei_terms__a084366e3f7a78d24a26d06a05f6dc76
@kwoktinlap,Former district councillor Tony Kwok,22.302711,114.177216,Hong Kong,188369,ForeignMinister,Former district councillor Tony Kwok,,hk_ei_terms,09e052cff82df3d9f78573b323a70410,hk_ei_terms__09e052cff82df3d9f78573b323a70410
@lslbecky,District Councillor Becky Li,22.302711,114.177216,Hong Kong,188369,Person,District Councillor Becky Li,,hk_ei_terms,3a20a54aa6a23f094383951cc3a89097,hk_ei_terms__3a20a54aa6a23f094383951cc3a89097
@oktinau,Former legislative council member Au Nok-hin,22.302711,114.177216,Hong Kong,188369,Organization,Former legislative council member Au Nok-hin,,hk_ei_terms,deae53e8d5be40d104ef26acf4f7b4b6,hk_ei_terms__deae53e8d5be40d104ef26acf4f7b4b6
@chengchungtai,Former legislative council member Cheng Chung-tai,22.302711,114.177216,Hong Kong,188369,Exec,Former legislative council member Cheng Chung-tai,,hk_ei_terms,dac9d07ce7a49c273f8def4a99d5d79b,hk_ei_terms__dac9d07ce7a49c273f8def4a99d5d79b
@kahosaiwan,District Councillor Jordan Pang,22.302711,114.177216,Hong Kong,188369,Exec,District Councillor Jordan Pang,,hk_ei_terms,792c430d668ec87612690dec18a16644,hk_ei_terms__792c430d668ec87612690dec18a16644
@lauchikitchris,Former district councillor Chris Lau,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Former district councillor Chris Lau,,hk_ei_terms,e97e6f8a1b973cbb91ca644a69cb0859,hk_ei_terms__e97e6f8a1b973cbb91ca644a69cb0859
@owanliowanli,Former district councillor Owan Li,22.302711,114.177216,Hong Kong,188369,Diplomat,Former district councillor Owan Li,,hk_ei_terms,895ad23428989aaf40122a48e93a5f9c,hk_ei_terms__895ad23428989aaf40122a48e93a5f9c
@jimmyshamtszkit,Former Civil Human Rights Front convenor Jimmy Sham,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Former Civil Human Rights Front convenor Jimmy Sham,,hk_ei_terms,f5d1ccfb802fe25d12a2a050d83059de,hk_ei_terms__f5d1ccfb802fe25d12a2a050d83059de
