handle,caption_name,location_lower,exclude_groups,Location City,Location Country,Alternate Location (city/statge/region/country/constituency),.1,.2,Firstname,Lastname,Entity Type,Entity Type 2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aureliabubi,Italian Legislator Bubisutti,italy,italy,Rome,Italy,Friuli Venezia Giulia,Chamber of Deputies of Italy,Lega Nord,Aurelia,Bubisutti,Legislator,Member of the Romanian Chamber of Deputies,Wells,Italian Legislator Bubisutti,,int_leg_handles,9ab67ee3f05df30396ff23af9eaf3ebc,int_leg_handles__9ab67ee3f05df30396ff23af9eaf3ebc
azzurra_c,Italian Legislator Cancelleri,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Azzurra,Cancelleri,Legislator,Member of the Romanian Chamber of Deputies,Organization,Italian Legislator Cancelleri,,int_leg_handles,3c52dfaf930f4bd9b905234bfcc97c51,int_leg_handles__3c52dfaf930f4bd9b905234bfcc97c51
bsaltamartini,Italian Legislator Saltamartini,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,National Alliance,Barbara,Saltamartini,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinister,Italian Legislator Saltamartini,,int_leg_handles,acb132c50bc02154ceb7ec20de4f4988,int_leg_handles__acb132c50bc02154ceb7ec20de4f4988
bealorenzin,Italian Legislator Lorenzin,italy,italy,Rome,Italy,Modena,Chamber of Deputies of Italy,Popular Alternative,Beatrice,Lorenzin,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinistry,Italian Legislator Lorenzin,,int_leg_handles,843de43350b5fd75c2b7d21b6ef64632,int_leg_handles__843de43350b5fd75c2b7d21b6ef64632
bennyfiorini,Italian Legislator Fiorini,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Forza Italia (2013),Benedetta,Fiorini,Legislator,Member of the Romanian Chamber of Deputies,Refinery,Italian Legislator Fiorini,,int_leg_handles,41f55bc9d9ac562d68c740b95b90e291,int_leg_handles__41f55bc9d9ac562d68c740b95b90e291
brunotabacci,Italian Legislator Tabacci,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Democratic Centre,Bruno,Tabacci,Legislator,Member of the Romanian Chamber of Deputies,News,Italian Legislator Tabacci,,int_leg_handles,ea7944ea31a94de812521ebd1f436081,int_leg_handles__ea7944ea31a94de812521ebd1f436081
cantonecarla,Italian Legislator Cantone,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Carla,Cantone,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinistry,Italian Legislator Cantone,,int_leg_handles,62b3aaef95c102047f501c9bc4c30692,int_leg_handles__62b3aaef95c102047f501c9bc4c30692
carlam5s,Italian Legislator Giuliano,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Carla,Giuliano,Legislator,Member of the Romanian Chamber of Deputies,Person,Italian Legislator Giuliano,,int_leg_handles,0389fed4114ad067db15224c5c2e9561,int_leg_handles__0389fed4114ad067db15224c5c2e9561
carlaruocco1,Italian Legislator Ruocco,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Carla,Ruocco,Legislator,Member of the Romanian Chamber of Deputies,AAEntity,Italian Legislator Ruocco,,int_leg_handles,a5168e228ca2ff3836dd835c12040d8b,int_leg_handles__a5168e228ca2ff3836dd835c12040d8b
carlo_fatuzzo,Italian Legislator Fatuzzo,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Pensioners' Party,Carlo,Fatuzzo,Legislator,Member of the Romanian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Fatuzzo,,int_leg_handles,f08849849668faeea294d14aebda3f99,int_leg_handles__f08849849668faeea294d14aebda3f99
carlosibilia,Italian Legislator Sibilia,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Carlo,Sibilia,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinistry,Italian Legislator Sibilia,,int_leg_handles,88f6c09f0c5c368e2d21a4b56f6186a6,int_leg_handles__88f6c09f0c5c368e2d21a4b56f6186a6
melindagrippa,Italian Legislator Grippa,italy,italy,Rome,Italy,Abruzzo,Chamber of Deputies of Italy,Five Star Movement,Carmela,Grippa,Legislator,Member of the Romanian Chamber of Deputies,Legislator,Italian Legislator Grippa,,int_leg_handles,de96081c1c2f90307ad31fcd106bc886,int_leg_handles__de96081c1c2f90307ad31fcd106bc886
massimo_misiti,Italian Legislator Misiti,italy,italy,Rome,Italy,Calabria,Chamber of Deputies of Italy,Five Star Movement,Carmelo,Misiti,Legislator,Member of the Romanian Chamber of Deputies,Diplomat,Italian Legislator Misiti,,int_leg_handles,ca778be213bc3879014b9fc69298ed1c,int_leg_handles__ca778be213bc3879014b9fc69298ed1c
