keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Cyprus,Cyprus,Cyprus,Country,Country,Cyprus,,dgm_traveladvisories_countries_aus,ea2ba3f8011e19e3101ce65fdcefbcc4,dgm_traveladvisories_countries_aus__ea2ba3f8011e19e3101ce65fdcefbcc4
Czech Republic,Czech Republic,Czech Republic,Country,Country,Czech Republic,,dgm_traveladvisories_countries_aus,51802d8bb965d0e5be697f07d16922e8,dgm_traveladvisories_countries_aus__51802d8bb965d0e5be697f07d16922e8
Denmark,Denmark,Denmark,Country,Country,Denmark,,dgm_traveladvisories_countries_aus,424214945ba5615eca039bfe5d731c09,dgm_traveladvisories_countries_aus__424214945ba5615eca039bfe5d731c09
Djibouti,Djibouti,Djibouti,Country,Country,Djibouti,,dgm_traveladvisories_countries_aus,902f92c09660b797958acb27421fd9ac,dgm_traveladvisories_countries_aus__902f92c09660b797958acb27421fd9ac
Dominica,Dominica,Dominica,Country,Country,Dominica,,dgm_traveladvisories_countries_aus,531c552093668f148d3c826fca6e3cc8,dgm_traveladvisories_countries_aus__531c552093668f148d3c826fca6e3cc8
Dominican Republic,Dominican Republic,Dominican Republic,Country,Country,Dominican Republic,,dgm_traveladvisories_countries_aus,662c15622f9c9c5decc0db80edb6c416,dgm_traveladvisories_countries_aus__662c15622f9c9c5decc0db80edb6c416
Ecuador,Ecuador,Ecuador,Country,Country,Ecuador,,dgm_traveladvisories_countries_aus,4d5d85af33ec2aaedb674d2d6a7d53b6,dgm_traveladvisories_countries_aus__4d5d85af33ec2aaedb674d2d6a7d53b6
Egypt,Egypt,Egypt,Country,Country,Egypt,,dgm_traveladvisories_countries_aus,e31959fe2842dacea4d16d36e9813620,dgm_traveladvisories_countries_aus__e31959fe2842dacea4d16d36e9813620
El Salvador,El Salvador,El Salvador,Country,Country,El Salvador,,dgm_traveladvisories_countries_aus,e96d24bdfc024e04f49f1f0cc011ca20,dgm_traveladvisories_countries_aus__e96d24bdfc024e04f49f1f0cc011ca20
England,England,England,Country,Country,England,,dgm_traveladvisories_countries_aus,64f607906be7598a02d75dbc1e979662,dgm_traveladvisories_countries_aus__64f607906be7598a02d75dbc1e979662
