keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
basf business services gmbh,BASF,8d49b8dc5ba98024dc999c10317deae7,,,DiplomaticFacilities,BASF,,shodan_keyword_to_guid,1672f5c14b0beab044c02884a30f1e5b,shodan_keyword_to_guid__1672f5c14b0beab044c02884a30f1e5b
basf corporation,BASF,8d49b8dc5ba98024dc999c10317deae7,,,CompanyKeyword,BASF,,shodan_keyword_to_guid,1672f5c14b0beab044c02884a30f1e5b,shodan_keyword_to_guid__1672f5c14b0beab044c02884a30f1e5b
baxter.com,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,,Wells,Baxter,,shodan_keyword_to_guid,f0488d54d65b1563e02319b540ab191f,shodan_keyword_to_guid__f0488d54d65b1563e02319b540ab191f
baxter healthcare,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,,DiplomaticFacilities,Baxter,,shodan_keyword_to_guid,f0488d54d65b1563e02319b540ab191f,shodan_keyword_to_guid__f0488d54d65b1563e02319b540ab191f
baxter healthcare corporation,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,,Organization,Baxter,,shodan_keyword_to_guid,f0488d54d65b1563e02319b540ab191f,shodan_keyword_to_guid__f0488d54d65b1563e02319b540ab191f
bbt.com,BB&T,2916b651bbc29138a226e7904de313ff,,,Legislator,BB&T,,shodan_keyword_to_guid,eb50b6281b9cd0eab5f472d9889e3307,shodan_keyword_to_guid__eb50b6281b9cd0eab5f472d9889e3307
branch banking and trust company,BB&T,2916b651bbc29138a226e7904de313ff,,,Shipping,BB&T,,shodan_keyword_to_guid,eb50b6281b9cd0eab5f472d9889e3307,shodan_keyword_to_guid__eb50b6281b9cd0eab5f472d9889e3307
bcg.com,BCG,2e782cdf90647fa9b827009f6d6818e9,,,Exec,BCG,,shodan_keyword_to_guid,50e4648f3bfd8d45c92d0b4b87e88de5,shodan_keyword_to_guid__50e4648f3bfd8d45c92d0b4b87e88de5
bcg attorney search,BCG,2e782cdf90647fa9b827009f6d6818e9,,,Consulates,BCG,,shodan_keyword_to_guid,50e4648f3bfd8d45c92d0b4b87e88de5,shodan_keyword_to_guid__50e4648f3bfd8d45c92d0b4b87e88de5
the boston consulting group,BCG,2e782cdf90647fa9b827009f6d6818e9,,,IndustryTerm,BCG,,shodan_keyword_to_guid,50e4648f3bfd8d45c92d0b4b87e88de5,shodan_keyword_to_guid__50e4648f3bfd8d45c92d0b4b87e88de5
textronfinancial.com,Textron Financial,8ff2b75def56d2753aeeae9dcc5eb5d6,,,space,Textron Financial,,shodan_keyword_to_guid,766176f65483dbfae6a7fb0efe55ab6d,shodan_keyword_to_guid__766176f65483dbfae6a7fb0efe55ab6d
textron inc.,Textron Financial,8ff2b75def56d2753aeeae9dcc5eb5d6,,,AAEntity,Textron Financial,,shodan_keyword_to_guid,766176f65483dbfae6a7fb0efe55ab6d,shodan_keyword_to_guid__766176f65483dbfae6a7fb0efe55ab6d
