german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jakobskamp,"Jakobskamp in Hanover, Germany",52.3351325,9.8342153,1,,,,,,,,,Exec,"Jakobskamp in Hanover, Germany",,german_fires_hannover_locations,e45a73f20973fd1b463d533d516a2d3a,german_fires_hannover_locations__c57f3beb91878b7c773f93ec9cae37b8
janusz-korczak-allee,"Janusz-Korczak-Allee in Hanover, Germany",52.3604118,9.7754938,1,,,,,,,,,Exec,"Janusz-Korczak-Allee in Hanover, Germany",,german_fires_hannover_locations,f285b4d3aa723b9f1bfbb76bb2ac69e2,german_fires_hannover_locations__79034c2a18e3b1976f71e568e3056cbd
jasminweg,"Jasminweg in Hanover, Germany",52.4135272,9.7172348,1,,,,,,,,,Person,"Jasminweg in Hanover, Germany",,german_fires_hannover_locations,9de677d6690d47e925553738f55f131a,german_fires_hannover_locations__e9fee03233c2dad49f70805343732f10
jathostrasse,"Jathostrasse in Hanover, Germany",52.404484,9.7391849,1,,,,,,,,,Media,"Jathostrasse in Hanover, Germany",,german_fires_hannover_locations,c932f9b7d0b446f261201b5a6b948a5c,german_fires_hannover_locations__e1c99fbb6e1a08d7d80cf2f70c1b5de4
jenaer weg,"Jenaer Weg in Hanover, Germany",52.4138463,9.742952,1,,,,,,,,,Person,"Jenaer Weg in Hanover, Germany",,german_fires_hannover_locations,fb49f3ec8102ad36cb606f874874cd83,german_fires_hannover_locations__d718f5ba642d6c9a11d9f4b6e1628b3b
joachimstrasse,"Joachimstrasse in Hanover, Germany",52.3750711,9.7431286,1,,,,,,,,,CompanyKeyword,"Joachimstrasse in Hanover, Germany",,german_fires_hannover_locations,6e8c6d0c305d1a22ce6ae469be26ffb0,german_fires_hannover_locations__f430472b9f5deac9b9b5eb7b25b1ddb3
jobstweg,"Jobstweg in Hanover, Germany",52.4100463,9.6840006,1,,,,,,,,,space,"Jobstweg in Hanover, Germany",,german_fires_hannover_locations,c75b0dcb0e27543032c0a6df898f5d33,german_fires_hannover_locations__c0bb210e0cc5bde3b2db180b69332434
johann-piltz-ring,"Johann-Piltz-Ring in Hanover, Germany",52.3896527,9.8344485,1,,,,,,,,,LegislativeCommittee,"Johann-Piltz-Ring in Hanover, Germany",,german_fires_hannover_locations,14b0e5f7590fae4138b531976dbafba8,german_fires_hannover_locations__75a529dc36e1a7f32513183cbbfd71b0
johann-trollmann-weg,"Johann-Trollmann-Weg in Hanover, Germany",52.3733552,9.731926,1,,,,,,,,,Organization,"Johann-Trollmann-Weg in Hanover, Germany",,german_fires_hannover_locations,ef7b78a3f8bab6814b6ccabd0b622bcc,german_fires_hannover_locations__57d0d8b0b2739798c2b08a4846e90072
johannes-lau-hof,"Johannes-Lau-Hof in Hanover, Germany",52.3942667,9.7319424,1,,,,,,,,,Pipeline,"Johannes-Lau-Hof in Hanover, Germany",,german_fires_hannover_locations,d2af9edfe871814323a88ffb7cac6bac,german_fires_hannover_locations__9f60b49faa670ec843c0e7d45f02bfde
johannes-schuler-weg,"Johannes-Schuler-Weg in Hanover, Germany",52.4071827,9.7881845,1,,,,,,,,,Media,"Johannes-Schuler-Weg in Hanover, Germany",,german_fires_hannover_locations,bc662314e5d30e74be8db8027577c346,german_fires_hannover_locations__94a9b1f3cfcef9126bb82c2987ba0d1d
johanneskamp,"Johanneskamp in Hanover, Germany",52.3358058,9.8358503,1,,,,,,,,,Person,"Johanneskamp in Hanover, Germany",,german_fires_hannover_locations,243978c6d7c0edd9c22962214dfb6d14,german_fires_hannover_locations__725c14a513585a0aa65aa3269bf5ed5c
