keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
derrumban,Collapse reported,188417,Refinery,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrumbaría,Collapse reported,188417,Shipping,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
colapso,Collapse reported,188417,Pipeline,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
colapsar,Collapse reported,188417,Legislator,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
colapsando,Collapse reported,188417,Diplomat,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
colapsaría,Collapse reported,188417,IndustryTerm,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
colapsa,Collapse reported,188417,AAEntity,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrame,Leak reported,188113,CompanyKeyword,Leak reported,,dgm_santiago_event,27ccfc0d123cdd6048e41c8c843ddb32,dgm_santiago_event__27ccfc0d123cdd6048e41c8c843ddb32
derrames,Leak reported,188113,CompanyKeyword,Leak reported,,dgm_santiago_event,27ccfc0d123cdd6048e41c8c843ddb32,dgm_santiago_event__27ccfc0d123cdd6048e41c8c843ddb32
hazmat,Hazmat,188122,Organization,Hazmat,,dgm_santiago_event,e5cf0e6cf866a058ee76a6ba8f33fd59,dgm_santiago_event__e5cf0e6cf866a058ee76a6ba8f33fd59
desplomar,Collapse reported,188417,FTO,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
desplomando,Collapse reported,188417,Pipeline,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
desplomado,Collapse reported,188417,DiplomaticFacilities,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
desplomaría,Collapse reported,188417,Pipeline,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
desplomas,Collapse reported,188417,Wells,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
víctimas fallecidas,Deceased victims,188409,Diplomat,Deceased victims,,dgm_santiago_event,67f12670cb0b7c2a78463ba0aada19ac,dgm_santiago_event__67f12670cb0b7c2a78463ba0aada19ac
víctimas mortales,Deceased victims,188409,Pipeline,Deceased victims,,dgm_santiago_event,67f12670cb0b7c2a78463ba0aada19ac,dgm_santiago_event__67f12670cb0b7c2a78463ba0aada19ac
varios heridos,Several injured,188409,Shipping,Several injured,,dgm_santiago_event,0f536d3148bdc7e731946520cfd6f8e5,dgm_santiago_event__0f536d3148bdc7e731946520cfd6f8e5
fallecidos,Death reported,188409,Exec,Death reported,,dgm_santiago_event,1b8aff5fb865e97baf22bdfef20657b3,dgm_santiago_event__1b8aff5fb865e97baf22bdfef20657b3
hundido,Collapse reported,188285,Pipeline,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
hundirse,Collapse reported,188285,FTO,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
hundió,Collapse reported,188285,Pipeline,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
zozobrar,Capsize,188285,Wells,Capsize,,dgm_santiago_event,31fc5cf4368ec20c877ccf71a66ff850,dgm_santiago_event__31fc5cf4368ec20c877ccf71a66ff850
zozobró,Capsize,188285,Person,Capsize,,dgm_santiago_event,31fc5cf4368ec20c877ccf71a66ff850,dgm_santiago_event__31fc5cf4368ec20c877ccf71a66ff850
zozobrando,Capsize,188285,space,Capsize,,dgm_santiago_event,31fc5cf4368ec20c877ccf71a66ff850,dgm_santiago_event__31fc5cf4368ec20c877ccf71a66ff850
rescatar,Rescue reported,188290,Consulates,Rescue reported,,dgm_santiago_event,4a7d831a40a3efa280a32e8874b22790,dgm_santiago_event__4a7d831a40a3efa280a32e8874b22790
rescatando,Rescue reported,188290,AAEntity,Rescue reported,,dgm_santiago_event,4a7d831a40a3efa280a32e8874b22790,dgm_santiago_event__4a7d831a40a3efa280a32e8874b22790
rescatado,Rescue reported,188290,ForeignMinistry,Rescue reported,,dgm_santiago_event,4a7d831a40a3efa280a32e8874b22790,dgm_santiago_event__4a7d831a40a3efa280a32e8874b22790
rescató,Rescue reported,188290,LegislativeCommittee,Rescue reported,,dgm_santiago_event,4a7d831a40a3efa280a32e8874b22790,dgm_santiago_event__4a7d831a40a3efa280a32e8874b22790
rescates,Rescue reported,188290,Wells,Rescue reported,,dgm_santiago_event,4a7d831a40a3efa280a32e8874b22790,dgm_santiago_event__4a7d831a40a3efa280a32e8874b22790
acido,Acid reported,188122,LegislativeCommittee,Acid reported,,dgm_santiago_event,765ad6e857c6482221dbe3f4b3b8bf15,dgm_santiago_event__765ad6e857c6482221dbe3f4b3b8bf15
