german_text,caption_text,lat,lon,.1,default location,default_lat,default_lon,.2,handle:einszweizweibot,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
horschlag,"Horschlag, Austria",48.5829233,14.4461421,,,,,,,Keyphrase,"Horschlag, Austria",,upper_austria_locations,7ff88f233cc9534cc9b9075e97dec2f0,upper_austria_locations__7ff88f233cc9534cc9b9075e97dec2f0
horstorf,"Horstorf, Austria",48.18747822,14.69838983,,,,,,,IndustryTerm,"Horstorf, Austria",,upper_austria_locations,c94768d1261788073c78a7c1cb7a6c7f,upper_austria_locations__c94768d1261788073c78a7c1cb7a6c7f
hub,"Hub, Austria",48.1869641,14.6985186,,,,,,,Consulates,"Hub, Austria",,upper_austria_locations,fb2d85503f2e3283969009aae7db5b39,upper_austria_locations__fb2d85503f2e3283969009aae7db5b39
humertsham,"Humertsham, Austria",48.1995713,16.3459031,,,,,,,Organization,"Humertsham, Austria",,upper_austria_locations,92510e8a2c36cdff2004fae362c84cc0,upper_austria_locations__92510e8a2c36cdff2004fae362c84cc0
humplberg,"Humplberg, Austria",48.14562,13.87131,,,,,,,AAEntity,"Humplberg, Austria",,upper_austria_locations,79232b60943c11d52652a0491883f7cd,upper_austria_locations__79232b60943c11d52652a0491883f7cd
hundbrenning,"Hundbrenning, Austria",48.5816,14.01664,,,,,,,Legislator,"Hundbrenning, Austria",,upper_austria_locations,1344e33f5b47f9895f67658491a09344,upper_austria_locations__1344e33f5b47f9895f67658491a09344
hundsdorf,"Hundsdorf, Austria",47.23726,12.98679,,,,,,,Shipping,"Hundsdorf, Austria",,upper_austria_locations,15deb4ae7babcdce44ca280c89773b1d,upper_austria_locations__15deb4ae7babcdce44ca280c89773b1d
hundsham,"Hundsham, Austria",48.23305,14.01678,,,,,,,Organization,"Hundsham, Austria",,upper_austria_locations,f69a9267292576eefb1746bdff37b413,upper_austria_locations__f69a9267292576eefb1746bdff37b413
ibm,"Ibm, Austria",48.2135418,16.3768304,,,,,,,DiplomaticFacilities,"Ibm, Austria",,upper_austria_locations,5ff6b2899647361326a1f27d0de6df64,upper_austria_locations__5ff6b2899647361326a1f27d0de6df64
igling,"Igling, Austria",48.39906,13.54599,,,,,,,Consulates,"Igling, Austria",,upper_austria_locations,6177115a684b0b65c9f12d404714b839,upper_austria_locations__6177115a684b0b65c9f12d404714b839
innerbreitenau,"Innerbreitenau, Austria",47.87318,14.33042,,,,,,,News,"Innerbreitenau, Austria",,upper_austria_locations,4b1e0308d5ec3b2221621e07bdfea5fd,upper_austria_locations__4b1e0308d5ec3b2221621e07bdfea5fd
innernschlag,"Innernschlag, Austria",48.46037,14.24343,,,,,,,News,"Innernschlag, Austria",,upper_austria_locations,d44edee71e59185f9d8f5eca1a8ff51c,upper_austria_locations__d44edee71e59185f9d8f5eca1a8ff51c
innernsee,"Innernsee, Austria",48.2136,13.69336,,,,,,,News,"Innernsee, Austria",,upper_austria_locations,b10a22e3e54028637c9284ebe93f5950,upper_austria_locations__b10a22e3e54028637c9284ebe93f5950
