keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#la libertad refinery,La Libertad refinery,188162;188132,refinery,la libertad refinery;la libertad refinery,,Refinery,La Libertad refinery,,og_mentionee_v3,74057631a98f9d5adfc34e4aa2826e8a,og_mentionee_v3__e64d79a21ec6a723754c0269e7ae1e1c
la libertad refinery,La Libertad refinery,188162;188132,refinery,la libertad refinery;la libertad refinery,,Refinery,La Libertad refinery,,og_mentionee_v3,11f62ee493c71eae7058b850f414dcee,og_mentionee_v3__e64d79a21ec6a723754c0269e7ae1e1c
#la mede refinery,La Mede refinery,188162;188132,refinery,la mede refinery;la mede refinery,,Refinery,La Mede refinery,,og_mentionee_v3,ab8bb55b86de92447b072233ce17e636,og_mentionee_v3__a01890de34173b30c0c66d5c22310daf
la mede refinery,La Mede refinery,188162;188132,refinery,la mede refinery;la mede refinery,,Refinery,La Mede refinery,,og_mentionee_v3,1bb137781c06b95eabbacc73201b7ce7,og_mentionee_v3__a01890de34173b30c0c66d5c22310daf
#la pampilla refinery,La Pampilla refinery,188162;188132,refinery,la pampilla refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,359c4acd1de0397d7af005a59e079a5b,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
#pampilla de lima refinery,La Pampilla refinery,188162;188132,refinery,pampilla de lima refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,7eaa7350a65d2fe0d8d5435aaef1c835,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
#pampilla lima refinery,La Pampilla refinery,188162;188132,refinery,pampilla lima refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,dfd53ca28d8876cea79a204fd96a7063,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
la pampilla refinery,La Pampilla refinery,188162;188132,refinery,la pampilla refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,d92c0b3ccb1b02c4618ea9c6973e23bb,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
pampilla de lima refinery,La Pampilla refinery,188162;188132,refinery,pampilla de lima refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,b37f5684715e8c059b166ca0a7d7e451,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
pampilla lima refinery,La Pampilla refinery,188162;188132,refinery,pampilla lima refinery;la pampilla refinery,,Refinery,La Pampilla refinery,,og_mentionee_v3,1d26319f2cba127fee98e37b07a8f846,og_mentionee_v3__c71104d200ef6e96c69d258999bd72ee
#la plata refinery,La Plata refinery,188162;188132,refinery,la plata refinery;la plata refinery,,Refinery,La Plata refinery,,og_mentionee_v3,b2e8d2f3eb4c8933608d15128c8df186,og_mentionee_v3__4edca77d69317fffdc6f11b3ca315bf5
la plata refinery,La Plata refinery,188162;188132,refinery,la plata refinery;la plata refinery,,Refinery,La Plata refinery,,og_mentionee_v3,6bbf558b0219db56a67b852e891446c5,og_mentionee_v3__4edca77d69317fffdc6f11b3ca315bf5
#la teja refinery,La Teja refinery,188162;188132,refinery,la teja refinery;la teja refinery,,Refinery,La Teja refinery,,og_mentionee_v3,e625dfd6ff5a8b1c13ae5b1992713e56,og_mentionee_v3__7adea47d46962ccc38956cf61e5f5bb6
#montevideo refinery,La Teja refinery,188162;188132,refinery,montevideo refinery;la teja refinery,,Refinery,La Teja refinery,,og_mentionee_v3,d9c1d7bef89fc2db3cc870261821678a,og_mentionee_v3__7adea47d46962ccc38956cf61e5f5bb6
la teja refinery,La Teja refinery,188162;188132,refinery,la teja refinery;la teja refinery,,Refinery,La Teja refinery,,og_mentionee_v3,c456829e19a67cf810a72a05474464be,og_mentionee_v3__7adea47d46962ccc38956cf61e5f5bb6
montevideo refinery,La Teja refinery,188162;188132,refinery,montevideo refinery;la teja refinery,,Refinery,La Teja refinery,,og_mentionee_v3,95e92c8b6baea9d289167e5ce9e37e7b,og_mentionee_v3__7adea47d46962ccc38956cf61e5f5bb6
#labuan crude,Labuan crude,188162;188132,industry term,labuan crude;labuan crude,,IndustryTerm,Labuan crude,,og_mentionee_v3,e840781b20606a63221c84751d1c4b37,og_mentionee_v3__20c84988e68e1c08ff02037c1abe2156
labuan crude,Labuan crude,188162;188132,industry term,labuan crude;labuan crude,,IndustryTerm,Labuan crude,,og_mentionee_v3,8fd7d7e3e5c0b200606aefb9766a7d83,og_mentionee_v3__20c84988e68e1c08ff02037c1abe2156
#lake charles refinery,Lake Charles refinery,188162;188132,refinery,lake charles refinery;lake charles refinery,,Refinery,Lake Charles refinery,,og_mentionee_v3,ad862689b5b3bdd2f2a65c612055a479,og_mentionee_v3__f2ff233104bdfcee1c976fbcc236f280
#westlake refinery,Lake Charles refinery,188162;188132,refinery,westlake refinery;lake charles refinery,,Refinery,Lake Charles refinery,,og_mentionee_v3,8e78bd86002b82d34e032220d449ad5b,og_mentionee_v3__f2ff233104bdfcee1c976fbcc236f280
lake charles refinery,Lake Charles refinery,188162;188132,refinery,lake charles refinery;lake charles refinery,,Refinery,Lake Charles refinery,,og_mentionee_v3,ca63e24229fdf06cedf9a75c422278c4,og_mentionee_v3__f2ff233104bdfcee1c976fbcc236f280
westlake refinery,Lake Charles refinery,188162;188132,refinery,westlake refinery;lake charles refinery,,Refinery,Lake Charles refinery,,og_mentionee_v3,fe2abea0ab46bae68114518a5691dcf3,og_mentionee_v3__f2ff233104bdfcee1c976fbcc236f280
#rlam refinery,Landulpho Alves refinery,188162;188132,refinery,rlam refinery;landulpho alves refinery,,Refinery,Landulpho Alves refinery,,og_mentionee_v3,d9bbd0855fe4aaed7a57abfd972dbc2a,og_mentionee_v3__69a0e463e39bf5854da0825267438a09
rlam refinery,Landulpho Alves refinery,188162;188132,refinery,rlam refinery;landulpho alves refinery,,Refinery,Landulpho Alves refinery,,og_mentionee_v3,42415141ad980214c9331a6905afc1c0,og_mentionee_v3__69a0e463e39bf5854da0825267438a09
#lanzhou refinery,Lanzhou refinery,188162;188132,refinery,lanzhou refinery;lanzhou refinery,,Refinery,Lanzhou refinery,,og_mentionee_v3,4fb812097c17ddfe0453bb28b978344a,og_mentionee_v3__d2836989cfd489463ea4bb38180901ee
lanzhou refinery,Lanzhou refinery,188162;188132,refinery,lanzhou refinery;lanzhou refinery,,Refinery,Lanzhou refinery,,og_mentionee_v3,2384b6cb03cdc1df8a2460cac740d3ea,og_mentionee_v3__d2836989cfd489463ea4bb38180901ee
lapa field,Lapa oil field,188162;188132,o&g field,carioca;lapa oil field,,O&gField,Lapa oil field,,og_mentionee_v3,2c7a771a38c0ef8bd5db870e573612ac,og_mentionee_v3__0402f84f96bf22609542838e7902e1f0
lapa oil field,Lapa oil field,188162;188132,o&g field,carioca;lapa oil field,,O&gField,Lapa oil field,,og_mentionee_v3,50f950a0f892eab80ef6df872615c186,og_mentionee_v3__0402f84f96bf22609542838e7902e1f0
#laurel refinery,Laurel refinery,188162;188132,refinery,laurel refinery;laurel refinery,,Refinery,Laurel refinery,,og_mentionee_v3,bc646ab1d36d5853137bd6b93d9f3c4d,og_mentionee_v3__7b9948e363edf7a70cf066664dd4d541
laurel refinery,Laurel refinery,188162;188132,refinery,laurel refinery;laurel refinery,,Refinery,Laurel refinery,,og_mentionee_v3,483c6e612cdef1c72c2339f503a23a9d,og_mentionee_v3__7b9948e363edf7a70cf066664dd4d541
#lavera refinery,Lavera refinery,188162;188132,refinery,lavera refinery;lavera refinery,,Refinery,Lavera refinery,,og_mentionee_v3,d37d9587dadbdaf9a19a5324b572915b,og_mentionee_v3__1efceb5f65f0a9ac2c0e20d62b80bdc1
lavera refinery,Lavera refinery,188162;188132,refinery,lavera refinery;lavera refinery,,Refinery,Lavera refinery,,og_mentionee_v3,e2eb2c8320126b5e3ac7edad88ab6190,og_mentionee_v3__1efceb5f65f0a9ac2c0e20d62b80bdc1
leach xpress pipeline,Leach Xpress pipeline,188162;188132,pipeline,leach xpress;leach xpress pipeline,,Pipeline,Leach Xpress pipeline,,og_mentionee_v3,19d12fdd20203092820d2a5981562871,og_mentionee_v3__8c1e12a87848e1cdaea9b9bfcbe5171f
#tetco,Lebanese oil and gas company TETCO group,188162;188132,company keyword,tetco group;tetco,,CompanyKeyword,Lebanese oil and gas company TETCO group,,og_mentionee_v3,b1dd8c7d2d6b92de0d4cdbffba3d94de,og_mentionee_v3__9bc792ecb790a10fafa923d13f50bfa3
tetco,Lebanese oil and gas company TETCO group,188162;188132,company keyword,tetco group;tetco,,CompanyKeyword,Lebanese oil and gas company TETCO group,,og_mentionee_v3,6125e84704c5decb8afa5ca90a971115,og_mentionee_v3__9bc792ecb790a10fafa923d13f50bfa3
#lemont refinery,Lemont refinery,188162;188132,refinery,lemont refinery;lemont refinery,,Refinery,Lemont refinery,,og_mentionee_v3,d35ddc40116a5a52e285488a18debe59,og_mentionee_v3__cfc71c24c0c2105c75fa11b48dd95ab2
lemont refinery,Lemont refinery,188162;188132,refinery,lemont refinery;lemont refinery,,Refinery,Lemont refinery,,og_mentionee_v3,ad51f50d9572675b2588ac855c7c3985,og_mentionee_v3__cfc71c24c0c2105c75fa11b48dd95ab2
#lhs crude,LHS crude,188162;188132,industry term,lhs crude;lhs crude,,IndustryTerm,LHS crude,,og_mentionee_v3,46462938fde8a0c3b7350b26552a64f5,og_mentionee_v3__666f724554f7e23f94f932b7415c25d4
lhs crude,LHS crude,188162;188132,industry term,lhs crude;lhs crude,,IndustryTerm,LHS crude,,og_mentionee_v3,7261b256712c8cd53aa8c96706fdce4a,og_mentionee_v3__666f724554f7e23f94f932b7415c25d4
#liaoning refinery,Liaoning refinery,188162;188132,refinery,liaoning refinery;liaoning refinery,,Refinery,Liaoning refinery,,og_mentionee_v3,c08337948b3f66e614b6fb3aa961529a,og_mentionee_v3__3710db3ddfb32126152366e60112d0e6
liaoning refinery,Liaoning refinery,188162;188132,refinery,liaoning refinery;liaoning refinery,,Refinery,Liaoning refinery,,og_mentionee_v3,c6787276cb53e65ee0ac59038e551e5d,og_mentionee_v3__3710db3ddfb32126152366e60112d0e6
#liaoyang refinery,Liaoyang refinery,188162;188132,refinery,liaoyang refinery;liaoyang refinery,,Refinery,Liaoyang refinery,,og_mentionee_v3,9301e38ec08142200e76e0c758f0579f,og_mentionee_v3__9cea2cd284a58e134528a8cea7f4083e
liaoyang refinery,Liaoyang refinery,188162;188132,refinery,liaoyang refinery;liaoyang refinery,,Refinery,Liaoyang refinery,,og_mentionee_v3,0a72522c1987200840235d7610a40e33,og_mentionee_v3__9cea2cd284a58e134528a8cea7f4083e
#harouge oil operations,Libyan oil and gas company Harouge Oil Operations,188162;188132,company keyword,noc;harouge oil operations;harouge oil operations,,CompanyKeyword,Libyan oil and gas company Harouge Oil Operations,,og_mentionee_v3,f3b4bbeee16c228f0906b7c36c1d383d,og_mentionee_v3__75742eb56dc05fc99db05611f16d3e94
