keyword,caption_name,topic_id,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,Source link,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pflugerville animal shelter,Pflugerville Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://www.pflugervilletx.gov/city-government/animal-welfare-services?fbclid=IwAR2KxLi_WOIfkGEx2f9E_TLJ4K3LrUtgBE3A0vCSlKnBm3dBy5KsRflZ1sQ,Diplomat,Pflugerville Animal Shelter,,burbio_groups,21192faeca97958877cf6480beea6fa5,burbio_groups__21192faeca97958877cf6480beea6fa5
plano animal services department,Plano Animal Services Department,188153,,,,,,,,,,,,,,,,,,http://plano.gov,ForeignMinister,Plano Animal Services Department,,burbio_groups,99c050e62dcee1b5d56d0e57e7ffa474,burbio_groups__99c050e62dcee1b5d56d0e57e7ffa474
pocatello animal services,Pocatello Animal Services,188153,,,,,,,,,,,,,,,,,,http://pocatello.us,Exec,Pocatello Animal Services,,burbio_groups,b6b774518856cde202a484f161df06bc,burbio_groups__b6b774518856cde202a484f161df06bc
redlands animal shelter,Redlands Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://www.cityofredlands.org/animal-control,ForeignMinister,Redlands Animal Shelter,,burbio_groups,3aff99328b6e8cae650fa7d52a7016a6,burbio_groups__3aff99328b6e8cae650fa7d52a7016a6
sachse animal shelter,Sachse Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://www.cityofsachse.com/?fbclid=IwAR0ZyKSlvn4bY-komqVfshymH0AFUPzTfsV-KkuU14ntefIWkzgicovXObE,Wells,Sachse Animal Shelter,,burbio_groups,fd6069b8f279d6764185e26850785e1c,burbio_groups__fd6069b8f279d6764185e26850785e1c
city of san antonio animal care services,City of San Antonio Animal Care Services,188153,,,,,,,,,,,,,,,,,,http://sanantonio.gov,Shipping,City of San Antonio Animal Care Services,,burbio_groups,ae5109fe2c7f67037c9aad476fc7d9e3,burbio_groups__ae5109fe2c7f67037c9aad476fc7d9e3
santa barbara city animal control,Santa Barbara City Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.santabarbaraca.gov/,Shipping,Santa Barbara City Animal Control,,burbio_groups,cd789bc8a4b017b230fbc6e67e99d648,burbio_groups__cd789bc8a4b017b230fbc6e67e99d648
sherman animal shelter,Sherman Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://ci.sherman.tx.us/,Consulates,Sherman Animal Shelter,,burbio_groups,23a5e788252641ee38cd3fd715c07800,burbio_groups__23a5e788252641ee38cd3fd715c07800
tullahoma animal shelter,Tullahoma Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://tullahomatn.gov,Legislator,Tullahoma Animal Shelter,,burbio_groups,b13adfb61d463d604523a1702f6c28c8,burbio_groups__b13adfb61d463d604523a1702f6c28c8
city of tulsa animal welfare,City of Tulsa Animal Welfare,188153,,,,,,,,,,,,,,,,,,https://www.cityoftulsa.org/government/departments/working-in-neighborhoods/animal-welfare/,Keyphrase,City of Tulsa Animal Welfare,,burbio_groups,e9d2cd7b19259507264e33bde47683c3,burbio_groups__e9d2cd7b19259507264e33bde47683c3
"tyler, texas animal control",Tyler Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.cityoftyler.org/Departments/AnimalServices.aspx?fbclid=IwAR0jqe6-TAGM8hVikDHk7DlICUb6I2bpGEn1nNsCR0_tzdxFfZwDaEo1lEI,Media,Tyler Animal Control,,burbio_groups,a51929891b082a4e4811950ad15cdd0c,burbio_groups__a51929891b082a4e4811950ad15cdd0c
