handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chethankumartoi,Defense reporter,Organization,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
dperi84,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
p_vineeta,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
writetake,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
pradiprsagar,Defense reporter,Wells,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
manupubby,Defense reporter,Exec,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
sneheshphilip,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
opallrome,Defense reporter,Person,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
judaharigross,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cencio4,Defense reporter,Organization,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kimgamel,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
joshjonsmith,Defense reporter,Legislator,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
mahmouedgamal44,Defense reporter,Exec,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
janearraf,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
