handle,caption_name,location,Type,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jimgaffigan,Jim Gaffigan,United States,Entertainment,united states,Entertainment,Jim Gaffigan,,entertainment_mentioner,2b56cf3b82ce15171fe87155c1a153c9,entertainment_mentioner__2b56cf3b82ce15171fe87155c1a153c9
ramonbautista,Actor Ramon Bautista,United States,Entertainment,united states,Entertainment,Actor Ramon Bautista,,entertainment_mentioner,7fba416a48b31aa85ce5bbe2adab959e,entertainment_mentioner__7fba416a48b31aa85ce5bbe2adab959e
mchammer,MC Hammer,United States,Entertainment,united states,Entertainment,MC Hammer,,entertainment_mentioner,f564db76b0cb783febe19dcf0e8ec3c2,entertainment_mentioner__f564db76b0cb783febe19dcf0e8ec3c2
onerepublic,OneRepublic,United States,Entertainment,united states,Entertainment,OneRepublic,,entertainment_mentioner,d7e3dd80f6f0f13230cd1d13025196ea,entertainment_mentioner__d7e3dd80f6f0f13230cd1d13025196ea
deepakchopra,Deepak Chopra,United States,Entertainment,united states,Entertainment,Deepak Chopra,,entertainment_mentioner,b0d70bbc6e7dd61b2d39137e94c0214f,entertainment_mentioner__b0d70bbc6e7dd61b2d39137e94c0214f
omarsy,Actor Omar Sy,United States,Entertainment,united states,Entertainment,Actor Omar Sy,,entertainment_mentioner,448bfe12318115f480f7e91fd32bc756,entertainment_mentioner__448bfe12318115f480f7e91fd32bc756
yalinonline,Singer Yalin,United States,Entertainment,united states,Entertainment,Singer Yalin,,entertainment_mentioner,e515f738b4e25dc9eafba9128528c4e9,entertainment_mentioner__e515f738b4e25dc9eafba9128528c4e9
jotaquest,Band Jota Quest,United States,Entertainment,united states,Entertainment,Band Jota Quest,,entertainment_mentioner,dc9b871c2fe5ba29e8f408dfa2b96f28,entertainment_mentioner__dc9b871c2fe5ba29e8f408dfa2b96f28
joshdevinedrums,Drummer Josh Devine,United States,Entertainment,united states,Entertainment,Drummer Josh Devine,,entertainment_mentioner,3898ee4ff24dbca3da92d54140aff776,entertainment_mentioner__3898ee4ff24dbca3da92d54140aff776
sirpareshrawal,Actor Paresh Rawal,United States,Entertainment,united states,Entertainment,Actor Paresh Rawal,,entertainment_mentioner,b3358f75b3f418dbfc685736a196ef77,entertainment_mentioner__b3358f75b3f418dbfc685736a196ef77
jemima_khan,Producer Jemima Goldsmith,United States,Entertainment,united states,Entertainment,Producer Jemima Goldsmith,,entertainment_mentioner,f336147ab3798aa24c8cd49ac489413a,entertainment_mentioner__f336147ab3798aa24c8cd49ac489413a
georgetakei,George Takei,United States,Entertainment,united states,Entertainment,George Takei,,entertainment_mentioner,b6663486f421ae9dc7212a7b545c96c0,entertainment_mentioner__b6663486f421ae9dc7212a7b545c96c0
shankarshanmugh,Filmmaker Shankar Shanmugham,United States,Entertainment,united states,Entertainment,Filmmaker Shankar Shanmugham,,entertainment_mentioner,5055f1c88e3896aa3c02cd3e840718c5,entertainment_mentioner__5055f1c88e3896aa3c02cd3e840718c5
charlieputh,Charlie Puth,United States,Entertainment,united states,Entertainment,Charlie Puth,,entertainment_mentioner,5909241f525ec8eaab77303877d2c2ce,entertainment_mentioner__5909241f525ec8eaab77303877d2c2ce
jodistamaria,Actor Jodi Sta Maria,United States,Entertainment,united states,Entertainment,Actor Jodi Sta Maria,,entertainment_mentioner,f6636446f362fc113cb019666ce7d82b,entertainment_mentioner__f6636446f362fc113cb019666ce7d82b
actor_nithiin,Actor Nithiin,United States,Entertainment,united states,Entertainment,Actor Nithiin,,entertainment_mentioner,c68af3cab8218d265405da3e94c90957,entertainment_mentioner__c68af3cab8218d265405da3e94c90957
boakwon,Singer BoA,United States,Entertainment,united states,Entertainment,Singer BoA,,entertainment_mentioner,bb3a8f1a3744dbd8cc40c322324afa6a,entertainment_mentioner__bb3a8f1a3744dbd8cc40c322324afa6a
mohammedassaf89,Singer Mohammed Assaf,United States,Entertainment,united states,Entertainment,Singer Mohammed Assaf,,entertainment_mentioner,87a723a6974a59d2cec37a96919b84b2,entertainment_mentioner__87a723a6974a59d2cec37a96919b84b2
joeyessex_,Television personality Joey Essex,United States,Entertainment,united states,Entertainment,Television personality Joey Essex,,entertainment_mentioner,330afd868f87d8304c035e691032a65b,entertainment_mentioner__330afd868f87d8304c035e691032a65b
patorankingfire,Singer Patoranking,United States,Entertainment,united states,Entertainment,Singer Patoranking,,entertainment_mentioner,1ba8ce97e9f0296aba251ed40dc460a4,entertainment_mentioner__1ba8ce97e9f0296aba251ed40dc460a4
thejohnabraham,Actor John Abraham,United States,Entertainment,united states,Entertainment,Actor John Abraham,,entertainment_mentioner,482bd31cd285f8f1bb7fd3ffbc8d3cb2,entertainment_mentioner__482bd31cd285f8f1bb7fd3ffbc8d3cb2
normani,Singer Normani,United States,Entertainment,united states,Entertainment,Singer Normani,,entertainment_mentioner,4ef5f8166fb6597d39d8cae8b5094223,entertainment_mentioner__4ef5f8166fb6597d39d8cae8b5094223
emilyosment,Actor Emily Osment,United States,Entertainment,united states,Entertainment,Actor Emily Osment,,entertainment_mentioner,20dcdabbb8679da287f55536f61e6afd,entertainment_mentioner__20dcdabbb8679da287f55536f61e6afd
missmarisracal,Actor Maris Racal,United States,Entertainment,united states,Entertainment,Actor Maris Racal,,entertainment_mentioner,7f6f7b41c05fa36627aca5cca188da1c,entertainment_mentioner__7f6f7b41c05fa36627aca5cca188da1c
official2baba,Singer 2Baba,United States,Entertainment,united states,Entertainment,Singer 2Baba,,entertainment_mentioner,8cd66042d15c3c5041e757d443b6e653,entertainment_mentioner__8cd66042d15c3c5041e757d443b6e653
4everbrandy,Brandy,United States,Entertainment,united states,Entertainment,Brandy,,entertainment_mentioner,4c532b4eaea99aa1f9c4f0b1898d6fc5,entertainment_mentioner__4c532b4eaea99aa1f9c4f0b1898d6fc5
kumailn,Actor Kumail Nanjiani,United States,Entertainment,united states,Entertainment,Actor Kumail Nanjiani,,entertainment_mentioner,846530ad115a72915fae9ed8362bc5d9,entertainment_mentioner__846530ad115a72915fae9ed8362bc5d9
tonyrobbins,Tony Robbins,United States,Entertainment,united states,Entertainment,Tony Robbins,,entertainment_mentioner,c8e0815a471134e151517a3f7996a560,entertainment_mentioner__c8e0815a471134e151517a3f7996a560
mrpeterandre,Singer Peter Andre,United States,Entertainment,united states,Entertainment,Singer Peter Andre,,entertainment_mentioner,a990a8b73e3a3d6a7974ba7aa3149cfe,entertainment_mentioner__a990a8b73e3a3d6a7974ba7aa3149cfe
robdyrdek,Entrepreneur Rob Dyrdek,United States,Entertainment,united states,Entertainment,Entrepreneur Rob Dyrdek,,entertainment_mentioner,1fbc69c02427d3abf8ebaebac54d308a,entertainment_mentioner__1fbc69c02427d3abf8ebaebac54d308a
