german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pulheimer strasse,"Pulheimer strasse in Cologne, Germany",51.004864,6.8980204,1,,,,,,DiplomaticFacilities,"Pulheimer strasse in Cologne, Germany",,german_fires_cologne_locations,69b94f9ae192d70639e84fa73c6e0be3,german_fires_cologne_locations__69b94f9ae192d70639e84fa73c6e0be3
putzlachstrasse,"Putzlachstrasse in Cologne, Germany",51.0048909,6.9759461,1,,,,,,Person,"Putzlachstrasse in Cologne, Germany",,german_fires_cologne_locations,2c781f369fe9a747054cc4f933ab4753,german_fires_cologne_locations__2c781f369fe9a747054cc4f933ab4753
pyrmonter strasse,"Pyrmonter strasse in Cologne, Germany",50.9490872,7.0044135,1,,,,,,Shipping,"Pyrmonter strasse in Cologne, Germany",,german_fires_cologne_locations,3dea05ddf26b5e46a6e5abfa9878654f,german_fires_cologne_locations__3dea05ddf26b5e46a6e5abfa9878654f
quadrather strasse,"Quadrather strasse in Cologne, Germany",50.9429676,6.8754568,1,,,,,,space,"Quadrather strasse in Cologne, Germany",,german_fires_cologne_locations,43a59d8d1679cb59af9a3270ec258ac3,german_fires_cologne_locations__43a59d8d1679cb59af9a3270ec258ac3
quatermarkt,"Quatermarkt in Cologne, Germany",50.9367847,6.9579688,1,,,,,,FTO,"Quatermarkt in Cologne, Germany",,german_fires_cologne_locations,8ce8d19d645760a515893ab0b5246bcd,german_fires_cologne_locations__8ce8d19d645760a515893ab0b5246bcd
quedlinburger weg,"Quedlinburger Weg in Cologne, Germany",50.9824013,7.0199507,1,,,,,,Person,"Quedlinburger Weg in Cologne, Germany",,german_fires_cologne_locations,7050644b4201757d7c2cf860ce4f9309,german_fires_cologne_locations__7050644b4201757d7c2cf860ce4f9309
quentelstrasse,"Quentelstrasse in Cologne, Germany",50.9263221,6.9597684,1,,,,,,ForeignMinister,"Quentelstrasse in Cologne, Germany",,german_fires_cologne_locations,cabe62bc7710a2c80f4235032c6b18ba,german_fires_cologne_locations__cabe62bc7710a2c80f4235032c6b18ba
querstrasse,"Querstrasse in Cologne, Germany",50.9694015,7.0379591,1,,,,,,FTO,"Querstrasse in Cologne, Germany",,german_fires_cologne_locations,a1e18567a9941ebb5a58c8d350ea6abd,german_fires_cologne_locations__a1e18567a9941ebb5a58c8d350ea6abd
quettinghofstrasse,"Quettinghofstrasse in Cologne, Germany",51.0387415,6.8454039,1,,,,,,Diplomat,"Quettinghofstrasse in Cologne, Germany",,german_fires_cologne_locations,911d1eeb8c372d6b68a3985a865a348b,german_fires_cologne_locations__911d1eeb8c372d6b68a3985a865a348b
quickbornweg,"Quickbornweg in Cologne, Germany",50.982237,7.0295894,1,,,,,,LegislativeCommittee,"Quickbornweg in Cologne, Germany",,german_fires_cologne_locations,35b6b70760be854afd3516daa85f4d09,german_fires_cologne_locations__35b6b70760be854afd3516daa85f4d09
