org,caption_name,guid,hq_address,hq_lat,hq_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
paypal,PayPal,cb5aa0e62a22c02eea509f4ed369f97e,"PayPal HQ, San Jose, USA",37.3768507,-121.9227332,IndustryTerm,PayPal,,bug_bounty_hackerone_mapping,ad69e733ebae8d264bccaa38d68830e8,bug_bounty_hackerone_mapping__ad69e733ebae8d264bccaa38d68830e8
qiwi,QIWI,092c8a75f1c3b8eaf08d83e40eedf8d9,"Kennedy 12, Business Centre Kennedy,, 2nd Floor, P.O. 1087, Nicosia, CY",35.1585284,33.364364,Shipping,QIWI,,bug_bounty_hackerone_mapping,29e157a0723067e0d310b08ea728a518,bug_bounty_hackerone_mapping__29e157a0723067e0d310b08ea728a518
mtn group,MTN Group,37c9f2518074bbf54a95df3703181d2e,"216-14th Avenue Fairland 2195 PO Box 9955 Cresta, South Africa",-26.1505604,27.9321122,Organization,MTN Group,,bug_bounty_hackerone_mapping,8a0198e69032c9248674a478e0112276,bug_bounty_hackerone_mapping__8a0198e69032c9248674a478e0112276
zomato,Zomato,,"Vipul Tech Square, Golf Course Road, DLF Phase 5, Sector 43, Gurugram.",28.4597907,77.0956631,Exec,Zomato,,bug_bounty_hackerone_mapping,39543e8bccc074553ae6fa2282ddf63e,bug_bounty_hackerone_mapping__39543e8bccc074553ae6fa2282ddf63e
airbnb,Airbnb,549f9e87cdd69547c3f20392345a00b5,"Airbnb HQ, San Francisco, CA, USA",37.7719769,-122.4050479,IndustryTerm,Airbnb,,bug_bounty_hackerone_mapping,09e31a5bddc6d6628252a7bff57d5dce,bug_bounty_hackerone_mapping__09e31a5bddc6d6628252a7bff57d5dce
vk.com,VK.com,,"VK, St Petersburg, Russia",59.9356765,30.3259352,FTO,VK.com,,bug_bounty_hackerone_mapping,1a76721f2486f81107746670a065068b,bug_bounty_hackerone_mapping__1a76721f2486f81107746670a065068b
gitlab,GitLab,,"268 Bush St, San Francisco, CA",37.7911917,-122.4018184,Keyphrase,GitLab,,bug_bounty_hackerone_mapping,cf0a6993a4b526850302726c7cca0e7f,bug_bounty_hackerone_mapping__cf0a6993a4b526850302726c7cca0e7f
spotify,Spotify,0b2c6af04a2e879090b61bd684361355,"Spotify USA Inc 4 World Trade Center 150 Greenwich Street, New York, NY, USA",40.7103908,-74.0119894,Person,Spotify,,bug_bounty_hackerone_mapping,fd539ca17a17132049c4fef4619df638,bug_bounty_hackerone_mapping__fd539ca17a17132049c4fef4619df638
valve,Valve,,"PO BOX 1688; Bellevue, WA, USA",47.6101153,-122.2001506,IndustryTerm,Valve,,bug_bounty_hackerone_mapping,104400e7d4632e6a82bf0b206b9c32dd,bug_bounty_hackerone_mapping__104400e7d4632e6a82bf0b206b9c32dd
github,GitHub,7c377fca4f949c69f19ecb7a4d53daeb,"88 Colin P Kelly Jr Street San Francisco, CA, USA",37.7802617,-122.3905797,Exec,GitHub,,bug_bounty_hackerone_mapping,d3b7c913cd04ebfec0e9ec32cb6fd58c,bug_bounty_hackerone_mapping__d3b7c913cd04ebfec0e9ec32cb6fd58c
