keyword,guid,caption_name,topic_guid,topic_name,concatenated,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
richlesser,2037bdb717b3511c220447491342823c,British American Tobacco CEO Rich Lesser,214218,Reputation,hashtagContains:RichLesser,AAEntity,British American Tobacco CEO Rich Lesser,,lte_hashtag_contains_mapping,c505413e22e3afd4f139240f83abdcc9,lte_hashtag_contains_mapping__c505413e22e3afd4f139240f83abdcc9
britishamericantobacco,2037bdb717b3511c220447491342823c,British American Tobacco,214218,Reputation,hashtagContains:BritishAmericanTobacco,Pipeline,British American Tobacco,,lte_hashtag_contains_mapping,a13c37478a66be4a7bbe4b077a1816c5,lte_hashtag_contains_mapping__a13c37478a66be4a7bbe4b077a1816c5
jackbowles,173ffc846f2c3792c5e439621237cc2b,Cargill CEO Jack Bowles,214218,Reputation,hashtagContains:JackBowles,FTO,Cargill CEO Jack Bowles,,lte_hashtag_contains_mapping,ab1195e4d912442c4ad8d29ed4e85321,lte_hashtag_contains_mapping__ab1195e4d912442c4ad8d29ed4e85321
cargill,173ffc846f2c3792c5e439621237cc2b,Cargill,214218,Reputation,hashtagContains:Cargill,IndustryTerm,Cargill,,lte_hashtag_contains_mapping,556d98e75f0e9956d6120436fb17523f,lte_hashtag_contains_mapping__556d98e75f0e9956d6120436fb17523f
davidmaclennan,aa4f7640a7be9a678a3c2e6e104f82ec,Cedar Fair CEO David MacLennan,214218,Reputation,hashtagContains:DavidMacLennan,Legislator,Cedar Fair CEO David MacLennan,,lte_hashtag_contains_mapping,1475fdb3672e576df6c1fad6fa281458,lte_hashtag_contains_mapping__1475fdb3672e576df6c1fad6fa281458
cedarfair,aa4f7640a7be9a678a3c2e6e104f82ec,Cedar Fair,214218,Reputation,hashtagContains:CedarFair,Diplomat,Cedar Fair,,lte_hashtag_contains_mapping,890f6479ea587c73d5450c9712b86b7e,lte_hashtag_contains_mapping__890f6479ea587c73d5450c9712b86b7e
richardzimmerman,998856a8c6d77c6142e78b7789e36792,Church of Jesus Christ of Latter Day Saints CEO Richard Zimmerman,214218,Reputation,hashtagContains:RichardZimmerman,Shipping,Church of Jesus Christ of Latter Day Saints CEO Richard Zimmerman,,lte_hashtag_contains_mapping,c6267e2eb7e49698f21bb43ee8d11437,lte_hashtag_contains_mapping__c6267e2eb7e49698f21bb43ee8d11437
latterdaysaints,998856a8c6d77c6142e78b7789e36792,Church of Jesus Christ of Latter Day Saints,214218,Reputation,hashtagContains:LatterDaySaints,Media,Church of Jesus Christ of Latter Day Saints,,lte_hashtag_contains_mapping,ae8dec3e5f329362d06a679b094bb805,lte_hashtag_contains_mapping__ae8dec3e5f329362d06a679b094bb805
russellnelson,fb8cb1d75ce0a544ab419d5e263a5215,Cleveland Clinic CEO Russell Nelson,214218,Reputation,hashtagContains:RussellNelson,LegislativeCommittee,Cleveland Clinic CEO Russell Nelson,,lte_hashtag_contains_mapping,0441656091662afa7aacc3965366891a,lte_hashtag_contains_mapping__0441656091662afa7aacc3965366891a
clevelandclinic,fb8cb1d75ce0a544ab419d5e263a5215,Cleveland Clinic,214218,Reputation,hashtagContains:ClevelandClinic,Consulates,Cleveland Clinic,,lte_hashtag_contains_mapping,6532a6f89c78d994222df0fa29fe8c7d,lte_hashtag_contains_mapping__6532a6f89c78d994222df0fa29fe8c7d
tomislavmihaljevic,49cfc3783b7905abaebdc749346ba24a,Molson Coors Brewing Company CEO Tomislav Mihaljevic,214218,Reputation,hashtagContains:TomislavMihaljevic,Shipping,Molson Coors Brewing Company CEO Tomislav Mihaljevic,,lte_hashtag_contains_mapping,d814c7138d9bf5103cde62b4fabb7086,lte_hashtag_contains_mapping__d814c7138d9bf5103cde62b4fabb7086
molsoncoors,49cfc3783b7905abaebdc749346ba24a,Molson Coors Brewing Company,214218,Reputation,hashtagContains:MolsonCoors,Legislator,Molson Coors Brewing Company,,lte_hashtag_contains_mapping,9725223511df5a914edb0bfa3c2bdf93,lte_hashtag_contains_mapping__9725223511df5a914edb0bfa3c2bdf93
gavinhattersley,4c1cc52d48963075b04cb3ae577b4ea7,Deutsche Boerse CEO Gavin Hattersley,214218,Reputation,hashtagContains:GavinHattersley,Organization,Deutsche Boerse CEO Gavin Hattersley,,lte_hashtag_contains_mapping,9e8f21ef889813442fd4a726e3d2a6e5,lte_hashtag_contains_mapping__9e8f21ef889813442fd4a726e3d2a6e5
