german_text,caption_text,lat,lon,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#flughafen,"Flughafen in Dresden, Germany",51.1321529,13.7672072,,,,IndustryTerm,"Flughafen in Dresden, Germany",,german_fires_dresden_locations,f47d83aa195ecd53ea3f7549109d99de,german_fires_dresden_locations__f47d83aa195ecd53ea3f7549109d99de
#industriegebietklotzsche,"Industriegebiet Klotzsche in Dresden, Germany",51.1154638,13.7464998,,,,Person,"Industriegebiet Klotzsche in Dresden, Germany",,german_fires_dresden_locations,318a4a03f91dab9176aa2dbf3d7120f3,german_fires_dresden_locations__318a4a03f91dab9176aa2dbf3d7120f3
#kauscha,"Kauscha in Dresden, Germany",50.9972973,13.7763285,,,,Person,"Kauscha in Dresden, Germany",,german_fires_dresden_locations,a256ac13e8899a862b2586434c3bcf3f,german_fires_dresden_locations__a256ac13e8899a862b2586434c3bcf3f
#nickern,"Nickern in Dresden, Germany",50.9956114,13.7903802,,,,Diplomat,"Nickern in Dresden, Germany",,german_fires_dresden_locations,f35e3faccdec702e3f52e7eeae5d6028,german_fires_dresden_locations__f35e3faccdec702e3f52e7eeae5d6028
#luga,"Luga in Dresden, Germany",50.9845814,13.8324385,,,,Refinery,"Luga in Dresden, Germany",,german_fires_dresden_locations,f46f6b0113aace5281539141bd19d658,german_fires_dresden_locations__f46f6b0113aace5281539141bd19d658
#torna,"Torna in Dresden, Germany",51.0067024,13.7754566,,,,Shipping,"Torna in Dresden, Germany",,german_fires_dresden_locations,552cc2fbc070fde9e4ef40d6699a5bd1,german_fires_dresden_locations__552cc2fbc070fde9e4ef40d6699a5bd1
#reicknordwest,"Reick-Nordwest in Dresden, Germany",51.024895,13.7678094,,,,Wells,"Reick-Nordwest in Dresden, Germany",,german_fires_dresden_locations,d20e145e97e804f4e5bf1b901f241154,german_fires_dresden_locations__d20e145e97e804f4e5bf1b901f241154
#mockritzost,"Mockritz-Ost in Dresden, Germany",51.0165478,13.7487283,,,,AAEntity,"Mockritz-Ost in Dresden, Germany",,german_fires_dresden_locations,3b09bdf1999c433957bee572ed416672,german_fires_dresden_locations__3b09bdf1999c433957bee572ed416672
#hellerberge,"Hellerberge in Dresden, Germany",51.0981199,13.7560054,,,,Exec,"Hellerberge in Dresden, Germany",,german_fires_dresden_locations,7dce075a76a80a65105c2c7c818f830a,german_fires_dresden_locations__7dce075a76a80a65105c2c7c818f830a
#niedersedlitznord,"Niedersedlitz-Nord in Dresden, Germany",51.0031025,13.8164992,,,,Legislator,"Niedersedlitz-Nord in Dresden, Germany",,german_fires_dresden_locations,9e7ff4599f05d3ec27c9b53751164808,german_fires_dresden_locations__9e7ff4599f05d3ec27c9b53751164808
#dobritzsud,"Dobritz-Sud in Dresden, Germany",51.0198145,13.8125927,,,,DiplomaticFacilities,"Dobritz-Sud in Dresden, Germany",,german_fires_dresden_locations,0fd6d35caa9a68e390c6345d5e6c4505,german_fires_dresden_locations__0fd6d35caa9a68e390c6345d5e6c4505
#leuben,"Leuben in Dresden, Germany",51.0100836,13.8306906,,,,Diplomat,"Leuben in Dresden, Germany",,german_fires_dresden_locations,ea13a6f8fcfcc983059e713a16a57a8f,german_fires_dresden_locations__ea13a6f8fcfcc983059e713a16a57a8f
#alttolkewitz,"Alttolkewitz in Dresden, Germany",51.031338,13.8310261,,,,Wells,"Alttolkewitz in Dresden, Germany",,german_fires_dresden_locations,e16766dd17189d66ee7fb2280d6ce5da,german_fires_dresden_locations__e16766dd17189d66ee7fb2280d6ce5da
#laubegast,"Laubegast in Dresden, Germany",51.0249046,13.8374459,,,,Refinery,"Laubegast in Dresden, Germany",,german_fires_dresden_locations,ade2d91ceb4c141f809f918962269932,german_fires_dresden_locations__ade2d91ceb4c141f809f918962269932
#kleinzschachwitz,"Kleinzschachwitz in Dresden, Germany",51.0101414,13.8512768,,,,Pipeline,"Kleinzschachwitz in Dresden, Germany",,german_fires_dresden_locations,6e6b1212e0decad3816167656406ddf6,german_fires_dresden_locations__6e6b1212e0decad3816167656406ddf6
#zschieren,"Zschieren in Dresden, Germany",50.9920162,13.8698242,,,,News,"Zschieren in Dresden, Germany",,german_fires_dresden_locations,d7c17bb1ddea11eccb765d209d7702bd,german_fires_dresden_locations__d7c17bb1ddea11eccb765d209d7702bd
#meusslitz,"Meusslitz in Dresden, Germany",51.0019825,13.84983,,,,Consulates,"Meusslitz in Dresden, Germany",,german_fires_dresden_locations,15ed1fadd602540059b63a8263942a4d,german_fires_dresden_locations__15ed1fadd602540059b63a8263942a4d
#sporbitz,"Sporbitz in Dresden, Germany",50.9931015,13.8508302,,,,AAEntity,"Sporbitz in Dresden, Germany",,german_fires_dresden_locations,4403875c6377ab54faacd3e869812bfe,german_fires_dresden_locations__4403875c6377ab54faacd3e869812bfe
#grosszschachwitz,"Grosszschachwitz in Dresden, Germany",51.0015405,13.8396626,,,,ForeignMinister,"Grosszschachwitz in Dresden, Germany",,german_fires_dresden_locations,0bc133a91d74e1c3522b4ef86b085946,german_fires_dresden_locations__0bc133a91d74e1c3522b4ef86b085946
#wachwitz,"Wachwitz in Dresden, Germany",51.0375895,13.8316664,,,,Keyphrase,"Wachwitz in Dresden, Germany",,german_fires_dresden_locations,0fe5e94ad90b27ff65df3fbba3114bc5,german_fires_dresden_locations__0fe5e94ad90b27ff65df3fbba3114bc5
#loschwitz,"Loschwitz in Dresden, Germany",51.0542554,13.8145314,,,,News,"Loschwitz in Dresden, Germany",,german_fires_dresden_locations,d6a8b3b88f412d5937b4e273859f7588,german_fires_dresden_locations__d6a8b3b88f412d5937b4e273859f7588
#buhlau,"Buhlau in Dresden, Germany",51.0618896,13.854905,,,,IndustryTerm,"Buhlau in Dresden, Germany",,german_fires_dresden_locations,558fe4521abf1d74a0b6e27b56bc1262,german_fires_dresden_locations__558fe4521abf1d74a0b6e27b56bc1262
#weisser,"Weisser in Dresden, Germany",51.0640401,13.8205582,,,,CompanyKeyword,"Weisser in Dresden, Germany",,german_fires_dresden_locations,2d23d67f22622eb3563e039300001bbb,german_fires_dresden_locations__2d23d67f22622eb3563e039300001bbb
#hosterwitz,"Hosterwitz in Dresden, Germany",51.0157492,13.8605695,,,,LegislativeCommittee,"Hosterwitz in Dresden, Germany",,german_fires_dresden_locations,31352c559629d5b3bc57bd0f425f1ae0,german_fires_dresden_locations__31352c559629d5b3bc57bd0f425f1ae0
#pillnitz,"Pillnitz in Dresden, Germany",51.008917,13.8740246,,,,Legislator,"Pillnitz in Dresden, Germany",,german_fires_dresden_locations,4c4fd7ad853f2e8278448257ff2eb110,german_fires_dresden_locations__4c4fd7ad853f2e8278448257ff2eb110
#dresdner,"Dresdner in Dresden, Germany",51.0504088,13.7372621,,,,Legislator,"Dresdner in Dresden, Germany",,german_fires_dresden_locations,fc16ebc60f1b16d621b09efb04109f65,german_fires_dresden_locations__fc16ebc60f1b16d621b09efb04109f65
#aussereneustadt,"aussere Neustadt in Dresden, Germany",51.0692444,13.7527402,,,,Refinery,"aussere Neustadt in Dresden, Germany",,german_fires_dresden_locations,c85a7ee939706d5e6f15162d887b6640,german_fires_dresden_locations__c85a7ee939706d5e6f15162d887b6640
#radebergervorstadt,"Radeberger Vorstadt in Dresden, Germany",51.0682858,13.7710823,,,,space,"Radeberger Vorstadt in Dresden, Germany",,german_fires_dresden_locations,1fd1d0d195879bba48703d7708093297,german_fires_dresden_locations__1fd1d0d195879bba48703d7708093297
#innereneustadt,"Innere Neustadt in Dresden, Germany",51.0592066,13.7477155,,,,News,"Innere Neustadt in Dresden, Germany",,german_fires_dresden_locations,af3319f1570c4b4af8a505dec23cc857,german_fires_dresden_locations__af3319f1570c4b4af8a505dec23cc857
#leipzigervorstadt,"Leipziger Vorstadt in Dresden, Germany",51.0759476,13.7411739,,,,Exec,"Leipziger Vorstadt in Dresden, Germany",,german_fires_dresden_locations,6779f599ee881b42a2a625373d882523,german_fires_dresden_locations__6779f599ee881b42a2a625373d882523
