handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hksamyip,Former district councillor Sam Yip,News,Former district councillor Sam Yip,,dgm_hong_kong_ei_key_authors,8034935f8be8396bb4d096d53931304b,dgm_hong_kong_ei_key_authors__8034935f8be8396bb4d096d53931304b
samuelmchu,Pro-democracy activist Samuel Chu,IndustryTerm,Pro-democracy activist Samuel Chu,,dgm_hong_kong_ei_key_authors,8465ca0b10488168e7c98fd4151b921a,dgm_hong_kong_ei_key_authors__8465ca0b10488168e7c98fd4151b921a
hkliberty_team,Pro-democracy group Hong Kong Liberty,Legislator,Pro-democracy group Hong Kong Liberty,,dgm_hong_kong_ei_key_authors,2456cca22458d1f860cc28c925658748,dgm_hong_kong_ei_key_authors__2456cca22458d1f860cc28c925658748
hkglobalconnect,Pro-democracy group Hong Kong Global Connect,Shipping,Pro-democracy group Hong Kong Global Connect,,dgm_hong_kong_ei_key_authors,cb42dd6122edda1a26f097d683429ec8,dgm_hong_kong_ei_key_authors__cb42dd6122edda1a26f097d683429ec8
citizenspc,Pro-democracy group Citizens' Press Conference,CompanyKeyword,Pro-democracy group Citizens' Press Conference,,dgm_hong_kong_ei_key_authors,0991a6cb0ade658e23ce6cd704317624,dgm_hong_kong_ei_key_authors__0991a6cb0ade658e23ce6cd704317624
freedomhkg,Pro-democracy group Freedom Hong Kong,ForeignMinister,Pro-democracy group Freedom Hong Kong,,dgm_hong_kong_ei_key_authors,ecaefea9ffc9feb0b0af64ca82c086d0,dgm_hong_kong_ei_key_authors__ecaefea9ffc9feb0b0af64ca82c086d0
chrf_hk,Pro-democracy group Civil Human Rights Front,ForeignMinistry,Pro-democracy group Civil Human Rights Front,,dgm_hong_kong_ei_key_authors,fd1d346bd5c8daa1ae35da0ff3a18106,dgm_hong_kong_ei_key_authors__fd1d346bd5c8daa1ae35da0ff3a18106
stand_with_hk,Pro-democracy group Stand with Hong Kong,FTO,Pro-democracy group Stand with Hong Kong,,dgm_hong_kong_ei_key_authors,1ae00f58974e87dcb6f737862f1447d8,dgm_hong_kong_ei_key_authors__1ae00f58974e87dcb6f737862f1447d8
jwmc831,Pro-democracy activist Jim Wong,AAEntity,Pro-democracy activist Jim Wong,,dgm_hong_kong_ei_key_authors,32963e963cc1d077fff14f7c0b3dc050,dgm_hong_kong_ei_key_authors__32963e963cc1d077fff14f7c0b3dc050
alvinllum,Reporter Alvin Lum,Organization,Reporter Alvin Lum,,dgm_hong_kong_ei_key_authors,803445090416d5d117543d286414d588,dgm_hong_kong_ei_key_authors__803445090416d5d117543d286414d588
save12hkyouths,Pro-democracy group Save 12 HK Youths,Refinery,Pro-democracy group Save 12 HK Youths,,dgm_hong_kong_ei_key_authors,311affdbcfaceba3dc7ebf788f415239,dgm_hong_kong_ei_key_authors__311affdbcfaceba3dc7ebf788f415239
chenqiushi404,Chinese lawyer and activist Chen Qiushi,Legislator,Chinese lawyer and activist Chen Qiushi,,dgm_hong_kong_ei_key_authors,365aa2ebe2606c7027915cda2e5a9fda,dgm_hong_kong_ei_key_authors__365aa2ebe2606c7027915cda2e5a9fda
hkdc_us,Pro-democracy group Hong Kong Democracy Council,Organization,Pro-democracy group Hong Kong Democracy Council,,dgm_hong_kong_ei_key_authors,6641f67b8641a6c106fa7387e6aea24a,dgm_hong_kong_ei_key_authors__6641f67b8641a6c106fa7387e6aea24a
jooeysiiu,Pro-democracy activist Joey Siu,Keyphrase,Pro-democracy activist Joey Siu,,dgm_hong_kong_ei_key_authors,7a2e2d22125247d97b8087fa5765b33a,dgm_hong_kong_ei_key_authors__7a2e2d22125247d97b8087fa5765b33a
hkhiiad,Pro-democracy group Hong Kong Higher Institutions International Affairs Delegation,Diplomat,Pro-democracy group Hong Kong Higher Institutions International Affairs Delegation,,dgm_hong_kong_ei_key_authors,21d53ab7dcfa95ae17f5ab65d43a7f9e,dgm_hong_kong_ei_key_authors__21d53ab7dcfa95ae17f5ab65d43a7f9e
demosisto,Pro-democracy group Demosisto,space,Pro-democracy group Demosisto,,dgm_hong_kong_ei_key_authors,8a0af4f74c9c2809f406db0dc8007485,dgm_hong_kong_ei_key_authors__8a0af4f74c9c2809f406db0dc8007485
figochanhowun,Pro-democracy activist Figo Chan,LegislativeCommittee,Pro-democracy activist Figo Chan,,dgm_hong_kong_ei_key_authors,9636e8f2c513118e6a1e060f618889fc,dgm_hong_kong_ei_key_authors__9636e8f2c513118e6a1e060f618889fc
lukedepulford,Pro-democracy activist Luke De Pulford,Exec,Pro-democracy activist Luke De Pulford,,dgm_hong_kong_ei_key_authors,5e848834a8de89146635421ccc04f57c,dgm_hong_kong_ei_key_authors__5e848834a8de89146635421ccc04f57c
sumlokkei,Reporter Sum Lok-kei,Person,Reporter Sum Lok-kei,,dgm_hong_kong_ei_key_authors,9211291347429fe8dd6139eb8190a94c,dgm_hong_kong_ei_key_authors__9211291347429fe8dd6139eb8190a94c
xinqisu,Reporter Su Xin-qi,LegislativeCommittee,Reporter Su Xin-qi,,dgm_hong_kong_ei_key_authors,bf1301150b97a8b7b8a0b8a90c0e596b,dgm_hong_kong_ei_key_authors__bf1301150b97a8b7b8a0b8a90c0e596b
razvenhk,Reporter Razven,Keyphrase,Reporter Razven,,dgm_hong_kong_ei_key_authors,610aea9f0f90bf1909009be51f13fa27,dgm_hong_kong_ei_key_authors__610aea9f0f90bf1909009be51f13fa27
