keyword,caption_name,groups,topic_id,entity_type,guid,Lat,Lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
planemasters,Planemasters,airline operators,,airline operators,,,,AirlineOperators,Planemasters,,dgm_tsa_mentioned_entities,6e39efd25bd0bd080bc73d7f20368294,dgm_tsa_mentioned_entities__6e39efd25bd0bd080bc73d7f20368294
pinnacleairlines,Endeavor Air,airline operators,,airline operators,,,,AirlineOperators,Endeavor Air,,dgm_tsa_mentioned_entities,877b9f73cd76ec739e9611b773415f8b,dgm_tsa_mentioned_entities__877b9f73cd76ec739e9611b773415f8b
piedmontairlines,Piedmont Airlines,airline operators,,airline operators,,,,AirlineOperators,Piedmont Airlines,,dgm_tsa_mentioned_entities,d665640768bc3eea29f0cd3568b4a625,dgm_tsa_mentioned_entities__d665640768bc3eea29f0cd3568b4a625
piedmont airlines,Piedmont Airlines,airline operators,,airline operators,,,,AirlineOperators,Piedmont Airlines,,dgm_tsa_mentioned_entities,881adbdd64b9d63287e243ea9f40bc40,dgm_tsa_mentioned_entities__881adbdd64b9d63287e243ea9f40bc40
phoenixairgroup,Phoenix Air,airline operators,,airline operators,,,,AirlineOperators,Phoenix Air,,dgm_tsa_mentioned_entities,dbb806239a283edb83895d462c277092,dgm_tsa_mentioned_entities__dbb806239a283edb83895d462c277092
phoenixair,Phoenix Air,airline operators,,airline operators,,,,AirlineOperators,Phoenix Air,,dgm_tsa_mentioned_entities,e713c1e9e0af84a0a86be1e385068ee0,dgm_tsa_mentioned_entities__e713c1e9e0af84a0a86be1e385068ee0
phoenix air,Phoenix Air,airline operators,,airline operators,,,,AirlineOperators,Phoenix Air,,dgm_tsa_mentioned_entities,d265eb549467f75a3b8dc8ee30267518,dgm_tsa_mentioned_entities__d265eb549467f75a3b8dc8ee30267518
philippine airlines,Philippine Airlines,airline operators,,airline operators,73102134771d80ff3cbff5e6b7eeba5f,,,AirlineOperators,Philippine Airlines,,dgm_tsa_mentioned_entities,e18e3c00d6d3db34da4f6687ad08fa70,dgm_tsa_mentioned_entities__e18e3c00d6d3db34da4f6687ad08fa70
pentastaraviation,Pentastar Aviation,airline operators,,airline operators,,,,AirlineOperators,Pentastar Aviation,,dgm_tsa_mentioned_entities,49a1537faedf15df4a9f5877340019b0,dgm_tsa_mentioned_entities__49a1537faedf15df4a9f5877340019b0
pentastar,Pentastar Aviation,airline operators,,airline operators,,,,AirlineOperators,Pentastar Aviation,,dgm_tsa_mentioned_entities,38bcec1bb3842d800cb5ed208575a6c5,dgm_tsa_mentioned_entities__38bcec1bb3842d800cb5ed208575a6c5
orbest,Orbest,airline operators,,airline operators,,,,AirlineOperators,Orbest,,dgm_tsa_mentioned_entities,c2b505b6436e3d1b3edd71a9b38e1a97,dgm_tsa_mentioned_entities__c2b505b6436e3d1b3edd71a9b38e1a97
openskies,Openskies Airlines,airline operators,,airline operators,,,,AirlineOperators,Openskies Airlines,,dgm_tsa_mentioned_entities,e1ff415b8f3c502cb8e8a193f14f5856,dgm_tsa_mentioned_entities__e1ff415b8f3c502cb8e8a193f14f5856
open skies,Openskies Airlines,airline operators,,airline operators,,,,AirlineOperators,Openskies Airlines,,dgm_tsa_mentioned_entities,19d8d0905944d0efc4f2ddbd56772596,dgm_tsa_mentioned_entities__19d8d0905944d0efc4f2ddbd56772596
onur air,Onur Air,airline operators,,airline operators,,,,AirlineOperators,Onur Air,,dgm_tsa_mentioned_entities,80ecbb3d9874626784967a96a1026b5b,dgm_tsa_mentioned_entities__80ecbb3d9874626784967a96a1026b5b
omniairinternational,Omni Air International,airline operators,,airline operators,,,,AirlineOperators,Omni Air International,,dgm_tsa_mentioned_entities,c235a093020c232d36cb74fe1c34d6b5,dgm_tsa_mentioned_entities__c235a093020c232d36cb74fe1c34d6b5
omniairexpress,Omni Air International,airline operators,,airline operators,,,,AirlineOperators,Omni Air International,,dgm_tsa_mentioned_entities,eeb0c3921024801d8b42dadd4243488c,dgm_tsa_mentioned_entities__eeb0c3921024801d8b42dadd4243488c
omniair,Omni Air International,airline operators,,airline operators,,,,AirlineOperators,Omni Air International,,dgm_tsa_mentioned_entities,3807aefbf20a237433e12732264d968d,dgm_tsa_mentioned_entities__3807aefbf20a237433e12732264d968d
omni air,Omni Air International,airline operators,,airline operators,,,,AirlineOperators,Omni Air International,,dgm_tsa_mentioned_entities,bd392b7b013b7d738c8cd73f84fef831,dgm_tsa_mentioned_entities__bd392b7b013b7d738c8cd73f84fef831
oakair,Oak Air,airline operators,,airline operators,,,,AirlineOperators,Oak Air,,dgm_tsa_mentioned_entities,922362bc96c6da780b29f00814b7d1e5,dgm_tsa_mentioned_entities__922362bc96c6da780b29f00814b7d1e5
oak air,Oak Air,airline operators,,airline operators,,,,AirlineOperators,Oak Air,,dgm_tsa_mentioned_entities,37bc276ae080bac592109b9445a62d1a,dgm_tsa_mentioned_entities__37bc276ae080bac592109b9445a62d1a
norwegian air uk,NORWEGIAN AIR UK,airline operators,,airline operators,,,,AirlineOperators,NORWEGIAN AIR UK,,dgm_tsa_mentioned_entities,7e4e148a0c3e9b61c5a683a0ba8ee369,dgm_tsa_mentioned_entities__7e4e148a0c3e9b61c5a683a0ba8ee369
norwegian air sweden,Norwegian Air Sweden,airline operators,,airline operators,,,,AirlineOperators,Norwegian Air Sweden,,dgm_tsa_mentioned_entities,553bed9cdfc4c498b652a4659f7757c8,dgm_tsa_mentioned_entities__553bed9cdfc4c498b652a4659f7757c8
norwegian air,Norwegian Air,airline operators,,airline operators,542eec26b62f878192377aa1a9fccf8e,,,AirlineOperators,Norwegian Air,,dgm_tsa_mentioned_entities,8be3f3a15e1241ded4370368d48db5ac,dgm_tsa_mentioned_entities__8be3f3a15e1241ded4370368d48db5ac
northernaircargo,Northern Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Northern Air Cargo,,dgm_tsa_mentioned_entities,f7fb32f91ec241786ec68e2683552f1b,dgm_tsa_mentioned_entities__f7fb32f91ec241786ec68e2683552f1b
northernair,Northern Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Northern Air Cargo,,dgm_tsa_mentioned_entities,cb1dfe222d739756eb19e9d5722df5e9,dgm_tsa_mentioned_entities__cb1dfe222d739756eb19e9d5722df5e9
northern air,Northern Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Northern Air Cargo,,dgm_tsa_mentioned_entities,d8fff81e8bd6d8f8814091ed04fa36f5,dgm_tsa_mentioned_entities__d8fff81e8bd6d8f8814091ed04fa36f5
nolinor,Nolinor Aviation,airline operators,,airline operators,,,,AirlineOperators,Nolinor Aviation,,dgm_tsa_mentioned_entities,a6090beab9243b2771196c9222c23099,dgm_tsa_mentioned_entities__a6090beab9243b2771196c9222c23099
