german_word,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Brennt Papiermulltonne,trash can on fire,Signal,188118,19,Refinery,trash can on fire,,german_mapping_eventType,339ee4dfaec1651f1f6c2d2922760be4,german_mapping_eventType__339ee4dfaec1651f1f6c2d2922760be4
#wohnungsbrand,apartment fire,Signal,188118,19,space,apartment fire,,german_mapping_eventType,8ae17bc1787465d64f70bafc949958b3,german_mapping_eventType__8ae17bc1787465d64f70bafc949958b3
wohnungsbrand,apartment fire,Signal,188118,19,Diplomat,apartment fire,,german_mapping_eventType,8ae17bc1787465d64f70bafc949958b3,german_mapping_eventType__8ae17bc1787465d64f70bafc949958b3
Heimrauchmelder,fire alarm,Signal,188118,30,Shipping,fire alarm,,german_mapping_eventType,1133e0d9630e7e4f2158776df786993f,german_mapping_eventType__1133e0d9630e7e4f2158776df786993f
vollbrand,large fire,Signal,188118,19,News,large fire,,german_mapping_eventType,913d1eb00584266a43c8e6296ed291a9,german_mapping_eventType__913d1eb00584266a43c8e6296ed291a9
PKW in Vollbrand,car on fire,Signal,"188130, 188118",18,Consulates,car on fire,,german_mapping_eventType,02bd50aefef257ea5bea9cdf6a7bca0f,german_mapping_eventType__02bd50aefef257ea5bea9cdf6a7bca0f
Brandbekampfung,fire,Signal,188118,19,Consulates,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
H:ol-Land,fuel leak,Signal,188130,15,Refinery,fuel leak,,german_mapping_eventType,f708dd41a418c5ee43568a9d2eaaee2b,german_mapping_eventType__f708dd41a418c5ee43568a9d2eaaee2b
Rasenflache gebrannt,brush fire,Signal,188118,19,Person,brush fire,,german_mapping_eventType,acb7ac644261ba9d6fffa0432032079d,german_mapping_eventType__acb7ac644261ba9d6fffa0432032079d
fehlalarm,no fire found after smoke detector alarm,Local Signal,188118,18,Keyphrase,no fire found after smoke detector alarm,,german_mapping_eventType,dfc834406460dba3974bb4e50d8c6202,german_mapping_eventType__dfc834406460dba3974bb4e50d8c6202
brand mit starker rauchentwicklung,fire with large smoke development,Signal,188118,19,DiplomaticFacilities,fire with large smoke development,,german_mapping_eventType,bdac66d57eac820ded89c86f2c8f8f41,german_mapping_eventType__bdac66d57eac820ded89c86f2c8f8f41
Rauchentwicklung,smoke development,Signal,188118,19,ForeignMinister,smoke development,,german_mapping_eventType,bad60da01d9a579edbb290ced12ec8ea,german_mapping_eventType__bad60da01d9a579edbb290ced12ec8ea
testen stadtweit alle Warnsirenen,warning siren test,Signal,188118,33,DiplomaticFacilities,warning siren test,,german_mapping_eventType,3a1cd8cafa82e545be5e5ae78b10f47f,german_mapping_eventType__3a1cd8cafa82e545be5e5ae78b10f47f
testen Warnsirenen,warning siren test,Signal,188118,33,Keyphrase,warning siren test,,german_mapping_eventType,3a1cd8cafa82e545be5e5ae78b10f47f,german_mapping_eventType__3a1cd8cafa82e545be5e5ae78b10f47f
BMA,fire alarm,Signal,188118,30,DiplomaticFacilities,fire alarm,,german_mapping_eventType,1133e0d9630e7e4f2158776df786993f,german_mapping_eventType__1133e0d9630e7e4f2158776df786993f
Fassadenbrand,building facade on fire,Signal,188118,19,ForeignMinistry,building facade on fire,,german_mapping_eventType,1021a2bc6b1635fe494c5663627cee30,german_mapping_eventType__1021a2bc6b1635fe494c5663627cee30
