keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
paipa,"Paipa, Colombia",paipacolombia,colombia,Colombia,Keyphrase,"Paipa, Colombia",,dgm_latamnarcoticslocations,305320682bd381c27b88aff53d52f600,dgm_latamnarcoticslocations__305320682bd381c27b88aff53d52f600
pajarito,"Pajarito, Colombia",pajaritocolombia,colombia,Colombia,IndustryTerm,"Pajarito, Colombia",,dgm_latamnarcoticslocations,d7e76cc0bc5d22e996478180e31e5e22,dgm_latamnarcoticslocations__d7e76cc0bc5d22e996478180e31e5e22
panqueba,"Panqueba, Colombia",panquebacolombia,colombia,Colombia,ForeignMinister,"Panqueba, Colombia",,dgm_latamnarcoticslocations,4fb6f6b0acf73da5897cac3285aab859,dgm_latamnarcoticslocations__4fb6f6b0acf73da5897cac3285aab859
pauna,"Pauna, Colombia",paunacolombia,colombia,Colombia,Organization,"Pauna, Colombia",,dgm_latamnarcoticslocations,295c6eabd37730998400fb0d5cba1415,dgm_latamnarcoticslocations__295c6eabd37730998400fb0d5cba1415
paya,"Paya, Colombia",payacolombia,colombia,Colombia,News,"Paya, Colombia",,dgm_latamnarcoticslocations,a6f2901730b4335c616c69fa3afd780c,dgm_latamnarcoticslocations__a6f2901730b4335c616c69fa3afd780c
paz de rio,"Paz de Rio, Colombia",pazderiocolombia,colombia,Colombia,ForeignMinister,"Paz de Rio, Colombia",,dgm_latamnarcoticslocations,6d6a02fda7f480e7869a420b75b733fc,dgm_latamnarcoticslocations__6d6a02fda7f480e7869a420b75b733fc
pesca,"Pesca, Colombia",pescacolombia,colombia,Colombia,Person,"Pesca, Colombia",,dgm_latamnarcoticslocations,9722f1d893dfb77be0bf01af3d193067,dgm_latamnarcoticslocations__9722f1d893dfb77be0bf01af3d193067
pisba,"Pisba, Colombia",pisbacolombia,colombia,Colombia,Diplomat,"Pisba, Colombia",,dgm_latamnarcoticslocations,d117c1d68301ad4e39b6d9e5798853b4,dgm_latamnarcoticslocations__d117c1d68301ad4e39b6d9e5798853b4
puerto boyaca,"Puerto Boyaca, Colombia",puertoboyacacolombia,colombia,Colombia,Wells,"Puerto Boyaca, Colombia",,dgm_latamnarcoticslocations,518e8fd1bd1a706cc228335235e09eab,dgm_latamnarcoticslocations__518e8fd1bd1a706cc228335235e09eab
quipama,"Quipama, Colombia",quipamacolombia,colombia,Colombia,Exec,"Quipama, Colombia",,dgm_latamnarcoticslocations,a3a0b97b267768b9fefa53b521b3ebf4,dgm_latamnarcoticslocations__a3a0b97b267768b9fefa53b521b3ebf4
ramiriqui,"Ramiriqui, Colombia",ramiriquicolombia,colombia,Colombia,CompanyKeyword,"Ramiriqui, Colombia",,dgm_latamnarcoticslocations,9fc3b9f63321e4bb6d80beb728b15c46,dgm_latamnarcoticslocations__9fc3b9f63321e4bb6d80beb728b15c46
raquira,"Raquira, Colombia",raquiracolombia,colombia,Colombia,LegislativeCommittee,"Raquira, Colombia",,dgm_latamnarcoticslocations,e3e780db9bab68cce4ec4be678bc1cb2,dgm_latamnarcoticslocations__e3e780db9bab68cce4ec4be678bc1cb2
rondon,"Rondon, Colombia",rondoncolombia,colombia,Colombia,IndustryTerm,"Rondon, Colombia",,dgm_latamnarcoticslocations,4bf468b139b1ae30a6e2ccb0a6f61311,dgm_latamnarcoticslocations__4bf468b139b1ae30a6e2ccb0a6f61311
saboya,"Saboya, Colombia",saboyacolombia,colombia,Colombia,Media,"Saboya, Colombia",,dgm_latamnarcoticslocations,fcf199da8aa8f6cbdaa4460637d32ed7,dgm_latamnarcoticslocations__fcf199da8aa8f6cbdaa4460637d32ed7
sachica,"Sachica, Colombia",sachicacolombia,colombia,Colombia,Organization,"Sachica, Colombia",,dgm_latamnarcoticslocations,20a619d8ceaf541dfa0703c0b674bb23,dgm_latamnarcoticslocations__20a619d8ceaf541dfa0703c0b674bb23
samaca,"Samaca, Colombia",samacacolombia,colombia,Colombia,AAEntity,"Samaca, Colombia",,dgm_latamnarcoticslocations,951aa839b73684b536d7cc86d85dbf82,dgm_latamnarcoticslocations__951aa839b73684b536d7cc86d85dbf82
san eduardo,"San Eduardo, Colombia",saneduardocolombia,colombia,Colombia,IndustryTerm,"San Eduardo, Colombia",,dgm_latamnarcoticslocations,96e9184f8f45a81ade2310fc5476d905,dgm_latamnarcoticslocations__96e9184f8f45a81ade2310fc5476d905
san jose de pare,"San Jose de Pare, Colombia",sanjosedeparecolombia,colombia,Colombia,Consulates,"San Jose de Pare, Colombia",,dgm_latamnarcoticslocations,c9912cfcb32fb0e90a5e6190a5c252c9,dgm_latamnarcoticslocations__c9912cfcb32fb0e90a5e6190a5c252c9
san luis de gaceno,"San Luis de Gaceno, Colombia",sanluisdegacenocolombia,colombia,Colombia,News,"San Luis de Gaceno, Colombia",,dgm_latamnarcoticslocations,38f63548d028367bdaa5705172f02677,dgm_latamnarcoticslocations__38f63548d028367bdaa5705172f02677
san mateo,"San Mateo, Colombia",sanmateocolombia,colombia,Colombia,Shipping,"San Mateo, Colombia",,dgm_latamnarcoticslocations,a9e08ff1474fccedd3a17ff31508357d,dgm_latamnarcoticslocations__a9e08ff1474fccedd3a17ff31508357d
san miguel de sema,"San Miguel de Sema, Colombia",sanmigueldesemacolombia,colombia,Colombia,FTO,"San Miguel de Sema, Colombia",,dgm_latamnarcoticslocations,fd9e433fa44d68efe5db11c9c65c702d,dgm_latamnarcoticslocations__fd9e433fa44d68efe5db11c9c65c702d
san pablo de borbur,"San Pablo de Borbur, Colombia",sanpablodeborburcolombia,colombia,Colombia,Diplomat,"San Pablo de Borbur, Colombia",,dgm_latamnarcoticslocations,1331fe34c39bd53df27fcd35c56ba219,dgm_latamnarcoticslocations__1331fe34c39bd53df27fcd35c56ba219
santa rosa de viterbo,"Santa Rosa de Viterbo, Colombia",santarosadeviterbocolombia,colombia,Colombia,Keyphrase,"Santa Rosa de Viterbo, Colombia",,dgm_latamnarcoticslocations,ded167492550a13be2a091a88749767f,dgm_latamnarcoticslocations__ded167492550a13be2a091a88749767f
santa sofia,"Santa Sofia, Colombia",santasofiacolombia,colombia,Colombia,LegislativeCommittee,"Santa Sofia, Colombia",,dgm_latamnarcoticslocations,cb7f55d917155b12b8659dcd7a84a94f,dgm_latamnarcoticslocations__cb7f55d917155b12b8659dcd7a84a94f
sativanorte,"Sativanorte, Colombia",sativanortecolombia,colombia,Colombia,Exec,"Sativanorte, Colombia",,dgm_latamnarcoticslocations,0662948a615e565545048438824b969b,dgm_latamnarcoticslocations__0662948a615e565545048438824b969b
sativasur,"Sativasur, Colombia",sativasurcolombia,colombia,Colombia,FTO,"Sativasur, Colombia",,dgm_latamnarcoticslocations,7cda994881d3d39dbf3cf9dec81c573b,dgm_latamnarcoticslocations__7cda994881d3d39dbf3cf9dec81c573b
siachoque,"Siachoque, Colombia",siachoquecolombia,colombia,Colombia,Shipping,"Siachoque, Colombia",,dgm_latamnarcoticslocations,9a40dd4e49444066b23cb27a2fa75bc6,dgm_latamnarcoticslocations__9a40dd4e49444066b23cb27a2fa75bc6
soata,"Soata, Colombia",soatacolombia,colombia,Colombia,Media,"Soata, Colombia",,dgm_latamnarcoticslocations,6f9e3e1b475b97803a310ef6a209913f,dgm_latamnarcoticslocations__6f9e3e1b475b97803a310ef6a209913f
socha,"Socha, Colombia",sochacolombia,colombia,Colombia,DiplomaticFacilities,"Socha, Colombia",,dgm_latamnarcoticslocations,4dbf1417c1f4e908489354890046a5a8,dgm_latamnarcoticslocations__4dbf1417c1f4e908489354890046a5a8
