german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
glockenfeld,"Glockenfeld in Hildesheim, Germany",52.1359179,9.9234492,1,,,,,Refinery,"Glockenfeld in Hildesheim, Germany",,german_fires_hildesheim_locations,9e7bddd0b668e847eb7457ff0169e485,german_fires_hildesheim_locations__9e7bddd0b668e847eb7457ff0169e485
glockengiesserweg,"Glockengiesserweg in Hildesheim, Germany",52.1482525,9.9694133,1,,,,,CompanyKeyword,"Glockengiesserweg in Hildesheim, Germany",,german_fires_hildesheim_locations,8e6edc1878b9f6596918bca11c0e90e4,german_fires_hildesheim_locations__8e6edc1878b9f6596918bca11c0e90e4
glogauer strasse,"Glogauer Strasse in Hildesheim, Germany",52.1417037,9.8828627,1,,,,,Diplomat,"Glogauer Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,88dce4963ba7e7f12630648fb4b9f634,german_fires_hildesheim_locations__88dce4963ba7e7f12630648fb4b9f634
gneisenaustrasse,"Gneisenaustrasse in Hildesheim, Germany",52.1341887,9.9723504,1,,,,,Keyphrase,"Gneisenaustrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,cb0d70463736017cc7a4d987145131bc,german_fires_hildesheim_locations__cb0d70463736017cc7a4d987145131bc
godehardistrasse,"Godehardistrasse in Hildesheim, Germany",52.1506515,9.924767,1,,,,,FTO,"Godehardistrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,2d8a44a93931301bad0f88923577451f,german_fires_hildesheim_locations__2d8a44a93931301bad0f88923577451f
godehardsplatz,"Godehardsplatz in Hildesheim, Germany",52.1458545,9.9496631,1,,,,,Keyphrase,"Godehardsplatz in Hildesheim, Germany",,german_fires_hildesheim_locations,85d16ea09a5abb60c1ff582484000728,german_fires_hildesheim_locations__85d16ea09a5abb60c1ff582484000728
goebenstrasse,"Goebenstrasse in Hildesheim, Germany",52.1546748,9.9643919,1,,,,,News,"Goebenstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,13105e3f16204f94cb795a7692cd7772,german_fires_hildesheim_locations__13105e3f16204f94cb795a7692cd7772
goethestrasse,"Goethestrasse in Hildesheim, Germany",52.1539266,9.9639497,1,,,,,Refinery,"Goethestrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,4f054b1a13316e3aadc01432b13ff3e6,german_fires_hildesheim_locations__4f054b1a13316e3aadc01432b13ff3e6
goffauxstrasse,"Goffauxstrasse in Hildesheim, Germany",52.1277378,9.991036,1,,,,,Exec,"Goffauxstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,abad0e0d0074922ab199aa0b2405724b,german_fires_hildesheim_locations__abad0e0d0074922ab199aa0b2405724b
goldene hufe,"Goldene Hufe in Hildesheim, Germany",52.1132304,9.9925785,1,,,,,CompanyKeyword,"Goldene Hufe in Hildesheim, Germany",,german_fires_hildesheim_locations,325f4cd22f744a68d696c8935f0c7957,german_fires_hildesheim_locations__325f4cd22f744a68d696c8935f0c7957
