company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kaiser foundation health plan,97b2c9471ac17188f3f3b80bbd9ae27a,Kaiser Foundation Health Plan,,Diplomat,Kaiser Foundation Health Plan,,CrunchbaseFunding_CompanyMapping,143dc761504cb15b879a6f282a0ede01,CrunchbaseFunding_CompanyMapping__143dc761504cb15b879a6f282a0ede01
kaiser permanente,97b2c9471ac17188f3f3b80bbd9ae27a,Kaiser Permanente,,Exec,Kaiser Permanente,,CrunchbaseFunding_CompanyMapping,44a7d876ec26be342fe11b05f75c0f90,CrunchbaseFunding_CompanyMapping__44a7d876ec26be342fe11b05f75c0f90
exelon,983ea6f2b5aa00a786749b22b71a9801,Exelon,,News,Exelon,,CrunchbaseFunding_CompanyMapping,652a631cf2aae7c16286182499d4813c,CrunchbaseFunding_CompanyMapping__652a631cf2aae7c16286182499d4813c
massmutual,9840d12d7106af14a89ac2210a37d90f,MassMutual,,Legislator,MassMutual,,CrunchbaseFunding_CompanyMapping,e016bb6146016d209ca9204bff0643e3,CrunchbaseFunding_CompanyMapping__e016bb6146016d209ca9204bff0643e3
mass mutual,9840d12d7106af14a89ac2210a37d90f,MassMutual,,Legislator,MassMutual,,CrunchbaseFunding_CompanyMapping,e016bb6146016d209ca9204bff0643e3,CrunchbaseFunding_CompanyMapping__e016bb6146016d209ca9204bff0643e3
massmututal,9840d12d7106af14a89ac2210a37d90f,MassMutual,,DiplomaticFacilities,MassMutual,,CrunchbaseFunding_CompanyMapping,e016bb6146016d209ca9204bff0643e3,CrunchbaseFunding_CompanyMapping__e016bb6146016d209ca9204bff0643e3
east west bancorp,984d8d09a5449a6a8e277202fb4b0d7a,East West Bancorp,,Person,East West Bancorp,,CrunchbaseFunding_CompanyMapping,af2c9ed74341f7967e09b1b0bb8933c9,CrunchbaseFunding_CompanyMapping__af2c9ed74341f7967e09b1b0bb8933c9
hp,9872fe0f85baf90ec27234ae213ad9b7,HP,,Legislator,HP,,CrunchbaseFunding_CompanyMapping,e6fc8ce107f2bdf0955f021a391514ce,CrunchbaseFunding_CompanyMapping__e6fc8ce107f2bdf0955f021a391514ce
hewlett packard,9872fe0f85baf90ec27234ae213ad9b7,HP,,Wells,HP,,CrunchbaseFunding_CompanyMapping,e6fc8ce107f2bdf0955f021a391514ce,CrunchbaseFunding_CompanyMapping__e6fc8ce107f2bdf0955f021a391514ce
hewlettpackard,9872fe0f85baf90ec27234ae213ad9b7,HP,,Consulates,HP,,CrunchbaseFunding_CompanyMapping,e6fc8ce107f2bdf0955f021a391514ce,CrunchbaseFunding_CompanyMapping__e6fc8ce107f2bdf0955f021a391514ce
take-two interactive software,989a38bf2134eaf523c7899e1bc1905b,Take-Two Interactive Software,,AAEntity,Take-Two Interactive Software,,CrunchbaseFunding_CompanyMapping,53d8dfeefbba7c502f22d5c13a2e3dd9,CrunchbaseFunding_CompanyMapping__53d8dfeefbba7c502f22d5c13a2e3dd9
take-two,989a38bf2134eaf523c7899e1bc1905b,Take-Two Interactive Software,,ForeignMinister,Take-Two Interactive Software,,CrunchbaseFunding_CompanyMapping,53d8dfeefbba7c502f22d5c13a2e3dd9,CrunchbaseFunding_CompanyMapping__53d8dfeefbba7c502f22d5c13a2e3dd9
sonoco,98a4ea7eb0b5b962c7f90f3178ae9ec2,Sonoco,,Media,Sonoco,,CrunchbaseFunding_CompanyMapping,677d74b72a8465c44ab20a081b39a392,CrunchbaseFunding_CompanyMapping__677d74b72a8465c44ab20a081b39a392
asus,98c0bc8470a9bc632bd151315bebace1,ASUS,,Legislator,ASUS,,CrunchbaseFunding_CompanyMapping,5ed0b5f41b21804e51e82664dc24e2dd,CrunchbaseFunding_CompanyMapping__5ed0b5f41b21804e51e82664dc24e2dd
church of jesus christ of latter day saints,998856a8c6d77c6142e78b7789e36792,Church of Jesus Christ of Latter Day Saints,,Person,Church of Jesus Christ of Latter Day Saints,,CrunchbaseFunding_CompanyMapping,ae8dec3e5f329362d06a679b094bb805,CrunchbaseFunding_CompanyMapping__ae8dec3e5f329362d06a679b094bb805
united healthcare services,99aa9c11bdcea2b4a023466ccb364950,United Healthcare Services,,Diplomat,United Healthcare Services,,CrunchbaseFunding_CompanyMapping,6a868e60b911365738ab548dbe942173,CrunchbaseFunding_CompanyMapping__6a868e60b911365738ab548dbe942173
teradyne,9a24db94917d17349998946dd69ab821,Teradyne,,Consulates,Teradyne,,CrunchbaseFunding_CompanyMapping,b36b23a3aa8afa1c84b4c45c1fdf168b,CrunchbaseFunding_CompanyMapping__b36b23a3aa8afa1c84b4c45c1fdf168b
rackspace,9a3e1ecad927c8f9d033f33bb87006c9,Rackspace,,Shipping,Rackspace,,CrunchbaseFunding_CompanyMapping,bbf5fca8ad3b69ce8532e8a1b08d45fb,CrunchbaseFunding_CompanyMapping__bbf5fca8ad3b69ce8532e8a1b08d45fb
