keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hochheim am main,"Hochheim am Main, Germany",hochheim am main,50.0147576,8.3558664,Shipping,"Hochheim am Main, Germany",,dgm_german_location,47d12e9f0118d5a3d9b193d1ca60fa47,dgm_german_location__47d12e9f0118d5a3d9b193d1ca60fa47
höchstadt a.d.aisch,"Höchstadt, Germany",höchstadt a.d.aisch,49.7095692,10.8128359,FTO,"Höchstadt, Germany",,dgm_german_location,415d9f08136109c88d2df0173fa14854,dgm_german_location__415d9f08136109c88d2df0173fa14854
höchstädt a.d.donau,"Höchstädt an der Donau, Germany",höchstädt a.d.donau,48.6155443,10.5669971,IndustryTerm,"Höchstädt an der Donau, Germany",,dgm_german_location,e450ca8e4c3cb6ea88d8506934b20720,dgm_german_location__e450ca8e4c3cb6ea88d8506934b20720
hockenheim,"Hockenheim, Germany",hockenheim,49.3298956,8.5709249,Pipeline,"Hockenheim, Germany",,dgm_german_location,dfb848f2c2d601cdbd013d2f7ee630d9,dgm_german_location__dfb848f2c2d601cdbd013d2f7ee630d9
hof,"Hof, Germany",hof,50.3135391,11.9127814,Diplomat,"Hof, Germany",,dgm_german_location,217cbc5165fa94f7b2e87ab151224b27,dgm_german_location__217cbc5165fa94f7b2e87ab151224b27
hofgeismar,"Hofgeismar, Germany",hofgeismar,51.4970925,9.3860472,Refinery,"Hofgeismar, Germany",,dgm_german_location,6b0495274bd2a9a54075c5b7b701ebf2,dgm_german_location__6b0495274bd2a9a54075c5b7b701ebf2
hofheim am taunus,"Hofheim am Taunus, Germany",hofheim am taunus,50.0841829,8.4432295,CompanyKeyword,"Hofheim am Taunus, Germany",,dgm_german_location,9bf1c305f41dfc7142e99950023f3f71,dgm_german_location__9bf1c305f41dfc7142e99950023f3f71
hofheim i.ufr.,"Hofheim, Germany",hofheim i.ufr.,50.1384866,10.5233354,Exec,"Hofheim, Germany",,dgm_german_location,a774fddfd571eb397d85be711c0c08ad,dgm_german_location__a774fddfd571eb397d85be711c0c08ad
hohen neuendorf,"Hohen Neuendorf, Germany",hohen neuendorf,52.6720645,13.2786739,FTO,"Hohen Neuendorf, Germany",,dgm_german_location,5e106ef915904069920372e7ebe06824,dgm_german_location__5e106ef915904069920372e7ebe06824
hohenberg a.d.eger,"Hohenberg an der Eger, Germany",hohenberg a.d.eger,50.0953502,12.219608,ForeignMinistry,"Hohenberg an der Eger, Germany",,dgm_german_location,77242e9fc0f51c3e1988ab1640f53b5d,dgm_german_location__77242e9fc0f51c3e1988ab1640f53b5d
