keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Mosambik,Mozambique,Mozambique,Country,Country,Mozambique,,dgm_traveladvisories_country_ger,a6d3bea3fa66775952e080b90bb0c4f1,dgm_traveladvisories_country_ger__a6d3bea3fa66775952e080b90bb0c4f1
Myanmar,Myanmar,Myanmar,Country,Country,Myanmar,,dgm_traveladvisories_country_ger,217fa54cc9351504fcde32147bff005d,dgm_traveladvisories_country_ger__217fa54cc9351504fcde32147bff005d
Namibia,Namibia,Namibia,Country,Country,Namibia,,dgm_traveladvisories_country_ger,69f4287626aee77f93e2c891b518838b,dgm_traveladvisories_country_ger__69f4287626aee77f93e2c891b518838b
Nauru,Nauru,Nauru,Country,Country,Nauru,,dgm_traveladvisories_country_ger,d0c5ab6bebe308a495693e990a2947bc,dgm_traveladvisories_country_ger__d0c5ab6bebe308a495693e990a2947bc
Nepal,Nepal,Nepal,Country,Country,Nepal,,dgm_traveladvisories_country_ger,7fef6b003c726890ea5ca3708fe8ff56,dgm_traveladvisories_country_ger__7fef6b003c726890ea5ca3708fe8ff56
Niederlande,Netherlands,Netherlands,Country,Country,Netherlands,,dgm_traveladvisories_country_ger,a67d4cbdd1b59e0ffccc6bafc83eb033,dgm_traveladvisories_country_ger__a67d4cbdd1b59e0ffccc6bafc83eb033
Neuseeland,New Zealand,New Zealand,Country,Country,New Zealand,,dgm_traveladvisories_country_ger,c51ed580ea5e20c910d951f692512b4d,dgm_traveladvisories_country_ger__c51ed580ea5e20c910d951f692512b4d
Nicaragua,Nicaragua,Nicaragua,Country,Country,Nicaragua,,dgm_traveladvisories_country_ger,3bfe17f6c2d1b8941df303de7aec2eb0,dgm_traveladvisories_country_ger__3bfe17f6c2d1b8941df303de7aec2eb0
Niger,Niger,Niger,Country,Country,Niger,,dgm_traveladvisories_country_ger,bf2ec44b27fc25c6fd8a38792b9ef2a8,dgm_traveladvisories_country_ger__bf2ec44b27fc25c6fd8a38792b9ef2a8
Nigeria,Nigeria,Nigeria,Country,Country,Nigeria,,dgm_traveladvisories_country_ger,5d839147c83e283c1d1bb705dc50586f,dgm_traveladvisories_country_ger__5d839147c83e283c1d1bb705dc50586f
Nordkorea,North Korea,North Korea,Country,Country,North Korea,,dgm_traveladvisories_country_ger,855b3780658ec33023cefc8b4e397a1d,dgm_traveladvisories_country_ger__855b3780658ec33023cefc8b4e397a1d
Norwegen,Norway,Norway,Country,Country,Norway,,dgm_traveladvisories_country_ger,d5b9290a0b67727d4ba1ca6059dc31a6,dgm_traveladvisories_country_ger__d5b9290a0b67727d4ba1ca6059dc31a6
