german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
handelstrasse,"Handelstrasse in Solingen, Germany",51.163987,7.0085368,1,,,,,,,,,CompanyKeyword,"Handelstrasse in Solingen, Germany",,german_fires_solingen_locations,c7136b58e3d6371feb2c5cc99937ff31,german_fires_solingen_locations__c7136b58e3d6371feb2c5cc99937ff31
hans-kessler-strasse,"Hans-Kessler-Strasse in Solingen, Germany",51.1634518,6.992244,1,,,,,,,,,DiplomaticFacilities,"Hans-Kessler-Strasse in Solingen, Germany",,german_fires_solingen_locations,a742140efdec3305eb522bbfd794805f,german_fires_solingen_locations__a742140efdec3305eb522bbfd794805f
hansastrasse,"Hansastrasse in Solingen, Germany",51.1630833,7.0056383,1,,,,,,,,,Consulates,"Hansastrasse in Solingen, Germany",,german_fires_solingen_locations,329f36aa8d8b7ad906791bef1cc98299,german_fires_solingen_locations__329f36aa8d8b7ad906791bef1cc98299
hartmannstrasse,"Hartmannstrasse in Solingen, Germany",51.1945776,7.0572832,1,,,,,,,,,IndustryTerm,"Hartmannstrasse in Solingen, Germany",,german_fires_solingen_locations,c562826107c20b5cdefef5f7e10ec75b,german_fires_solingen_locations__c562826107c20b5cdefef5f7e10ec75b
hasencleverstrasse,"Hasencleverstrasse in Solingen, Germany",51.1346301,7.1403792,1,,,,,,,,,Legislator,"Hasencleverstrasse in Solingen, Germany",,german_fires_solingen_locations,c7af97971987c83fa4e05265eaed8c95,german_fires_solingen_locations__c7af97971987c83fa4e05265eaed8c95
hasselstrasse,"Hasselstrasse in Solingen, Germany",51.182449,7.1017391,1,,,,,,,,,Exec,"Hasselstrasse in Solingen, Germany",,german_fires_solingen_locations,4ed496ce9c1bf45bba55c8144951e574,german_fires_solingen_locations__4ed496ce9c1bf45bba55c8144951e574
hasten,"Hasten in Solingen, Germany",51.1444102,7.1117561,1,,,,,,,,,AAEntity,"Hasten in Solingen, Germany",,german_fires_solingen_locations,dca35e68bc7a492a9af738af8f4d6550,german_fires_solingen_locations__dca35e68bc7a492a9af738af8f4d6550
hastener weg,"Hastener Weg in Solingen, Germany",51.1505414,7.1033594,1,,,,,,,,,Refinery,"Hastener Weg in Solingen, Germany",,german_fires_solingen_locations,66d7dc746c398182c74709ddcd413eca,german_fires_solingen_locations__66d7dc746c398182c74709ddcd413eca
hauffstrasse,"Hauffstrasse in Solingen, Germany",51.1966319,7.0640185,1,,,,,,,,,FTO,"Hauffstrasse in Solingen, Germany",,german_fires_solingen_locations,f0b2a364e3dc6d45c816e9a19c493c9f,german_fires_solingen_locations__f0b2a364e3dc6d45c816e9a19c493c9f
haumannstrasse,"Haumannstrasse in Solingen, Germany",51.1789987,7.0852935,1,,,,,,,,,IndustryTerm,"Haumannstrasse in Solingen, Germany",,german_fires_solingen_locations,49cf0d35489a7a3a5952481668dcceb5,german_fires_solingen_locations__49cf0d35489a7a3a5952481668dcceb5
