keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chief justice,chief justice,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
chief justices,chief justices,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
supremecourtjustice,supremecourtjustice,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
supremecourtjustices,supremecourtjustices,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
the supreme court justice,the supreme court justice,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
the supreme court justices,the supreme court justices,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
supreme court justice,supreme court justice,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
supreme court justices,supreme court justices,US Supreme Court Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice,,dgm_SCOTUS,2cbf8810179aad241c52c044607d8900,dgm_SCOTUS__2cbf8810179aad241c52c044607d8900
scotus,scotus,US Supreme Court,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court,,dgm_SCOTUS,ce7295478ae644e21c84f0af0de85069,dgm_SCOTUS__ce7295478ae644e21c84f0af0de85069
supremecourt,supremecourt,US Supreme Court,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court,,dgm_SCOTUS,ce7295478ae644e21c84f0af0de85069,dgm_SCOTUS__ce7295478ae644e21c84f0af0de85069
the supreme court,the supreme court,US Supreme Court,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court,,dgm_SCOTUS,ce7295478ae644e21c84f0af0de85069,dgm_SCOTUS__ce7295478ae644e21c84f0af0de85069
supreme court,supreme court,US Supreme Court,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court,,dgm_SCOTUS,ce7295478ae644e21c84f0af0de85069,dgm_SCOTUS__ce7295478ae644e21c84f0af0de85069
